
[00:00:00.000 --> 00:00:05.600]  各位觀眾各位觀眾大家好
[00:00:05.600 --> 00:00:08.320]  歡迎大家收看三藩市報道會
[00:00:08.320 --> 00:00:10.320]  網上午堂十拜
[00:00:10.320 --> 00:00:14.520]  我們繼續思想論盡人生這個系列
[00:00:14.520 --> 00:00:17.520]  題目叫做「身與臂」
[00:00:17.520 --> 00:00:22.720]  經文記載在羅馬書第十二章一節至第二節
[00:00:22.720 --> 00:00:25.440]  未開始思想這段聖經之前
[00:00:25.440 --> 00:00:27.440]  請同心一同祈禱
[00:00:27.440 --> 00:00:30.440]  慈悲的王一天父我們滿心感謝你
[00:00:30.440 --> 00:00:35.440]  因為若有人在基督裡他就是新的創造
[00:00:35.440 --> 00:00:38.440]  舊是已過已變成新的
[00:00:38.440 --> 00:00:42.440]  感謝你讓我們有新的生命
[00:00:42.440 --> 00:00:44.440]  讓我們有新的生活
[00:00:44.440 --> 00:00:48.440]  令我們能夠活得精彩
[00:00:48.440 --> 00:00:53.440]  願你的話語提醒、勸勉、教導、安慰、督責我們
[00:00:53.440 --> 00:00:56.440]  我們今天禱告是奉耶穌基督的名禱
[00:00:56.440 --> 00:00:57.440]  阿們
[00:00:57.440 --> 00:01:01.440]  魯舍是中國很有名的作家
[00:01:01.440 --> 00:01:04.440]  他寫過一個非常有趣的故事
[00:01:04.440 --> 00:01:06.440]  名叫魯智浩
[00:01:06.440 --> 00:01:08.440]  故事內容是這樣的
[00:01:08.440 --> 00:01:12.440]  三合牆是一間賣綢緞的魯智浩
[00:01:12.440 --> 00:01:16.440]  他的門牌、氣勢、格局
[00:01:16.440 --> 00:01:19.440]  完全是魯智浩的本色
[00:01:19.440 --> 00:01:21.440]  金匾刻字招牌
[00:01:21.440 --> 00:01:23.440]  大堂擺設舊茶几
[00:01:23.440 --> 00:01:25.440]  門口掛著燈籠
[00:01:25.440 --> 00:01:28.440]  既是魯智浩一切新潮的方式
[00:01:28.440 --> 00:01:32.440]  完全不用賣廣告、不做宣傳
[00:01:32.440 --> 00:01:35.440]  更不像那些夥計大聲講話
[00:01:35.440 --> 00:01:38.440]  魯智浩三合牆的前掌櫃
[00:01:38.440 --> 00:01:41.440]  有個得力助手叫做辛德志
[00:01:41.440 --> 00:01:44.440]  他在三合牆工作了十五多年
[00:01:44.440 --> 00:01:47.440]  他的講話、他的咳嗽
[00:01:47.440 --> 00:01:51.440]  他所穿的藍布大衫
[00:01:51.440 --> 00:01:53.440]  完全是三合牆給他的
[00:01:53.440 --> 00:01:56.440]  他為此而感到自豪
[00:01:56.440 --> 00:02:00.440]  前掌櫃年老了、退休了
[00:02:00.440 --> 00:02:04.440]  三合牆就來了一個新的掌櫃
[00:02:04.440 --> 00:02:06.440]  叫做周掌櫃
[00:02:06.440 --> 00:02:08.440]  在辛德志的眼中
[00:02:08.440 --> 00:02:11.440]  這個周掌櫃簡直是隻野雞
[00:02:11.440 --> 00:02:14.440]  完全破壞了三合牆的老規矩
[00:02:14.440 --> 00:02:16.440]  他上任了兩天
[00:02:16.440 --> 00:02:20.440]  換了個彩排寫著大減價三個字
[00:02:20.440 --> 00:02:22.440]  更安排一檔洋骨
[00:02:22.440 --> 00:02:24.440]  從天罡吹到三更
[00:02:24.440 --> 00:02:26.440]  又派傳單、廣告
[00:02:26.440 --> 00:02:28.440]  客人一來送煙送茶
[00:02:28.440 --> 00:02:30.440]  買布一匹就送一匹
[00:02:30.440 --> 00:02:34.440]  還贈送羊媽媽護客
[00:02:34.440 --> 00:02:37.440]  買夠十元的貨物
[00:02:37.440 --> 00:02:39.440]  公司就送貨
[00:02:39.440 --> 00:02:42.440]  因此就增加了兩部自行車
[00:02:42.440 --> 00:02:45.440]  辛德志看到這樣的情形
[00:02:45.440 --> 00:02:47.440]  很不高興
[00:02:47.440 --> 00:02:51.440]  因為周掌櫃破壞了三合牆優良的傳統
[00:02:51.440 --> 00:02:53.440]  降價了
[00:02:53.440 --> 00:02:55.440]  令到他愈來愈辭職不幹
[00:02:55.440 --> 00:02:58.440]  誰知周掌櫃就讓他先走一步
[00:02:58.440 --> 00:03:01.440]  因為他覺得三合牆的老規矩
[00:03:01.440 --> 00:03:04.440]  太根深蒂固、無可藥救
[00:03:04.440 --> 00:03:06.440]  更難發揮他的所長
[00:03:06.440 --> 00:03:08.440]  所以辭職不幹
[00:03:08.440 --> 00:03:10.440]  周掌櫃走了之後
[00:03:10.440 --> 00:03:12.440]  前掌櫃東山復出
[00:03:12.440 --> 00:03:14.440]  一切恢復舊觀
[00:03:14.440 --> 00:03:16.440]  在新統領下
[00:03:16.440 --> 00:03:21.440]  三合牆恢復昔日的莊嚴保守氣勢
[00:03:21.440 --> 00:03:24.440]  沒多久他發現對面街
[00:03:24.440 --> 00:03:27.440]  建了一間新的囚奸店
[00:03:27.440 --> 00:03:29.440]  再看清楚
[00:03:29.440 --> 00:03:33.440]  原來是周掌櫃主持的
[00:03:33.440 --> 00:03:36.440]  他想和三合牆一較高低
[00:03:36.440 --> 00:03:38.440]  為了節省開支
[00:03:38.440 --> 00:03:41.440]  三合牆開始削減員工
[00:03:41.440 --> 00:03:44.440]  新的字更是一人薪兼數職
[00:03:44.440 --> 00:03:47.440]  他相信顧客不是傻的
[00:03:47.440 --> 00:03:51.440]  能夠分辨出什麼是好什麼是歹
[00:03:51.440 --> 00:03:54.440]  不會被周掌櫃的噱頭愚弄
[00:03:54.440 --> 00:03:57.440]  可惜顧客真的那麼傻
[00:03:57.440 --> 00:04:00.440]  不到一年三合牆就倒閉了
[00:04:00.440 --> 00:04:03.440]  第二個故事我想和大家講的叫
[00:04:03.440 --> 00:04:05.440]  《角圈圈傳》
[00:04:05.440 --> 00:04:07.440]  主角就是角圈圈
[00:04:07.440 --> 00:04:09.440]  大家不要讀錯名字
