
[00:00:00.000 --> 00:00:07.280]  路德記第四章 亦是最後的一章書
[00:00:07.280 --> 00:00:11.080]  我曾經說過路德記真的很有意思
[00:00:11.080 --> 00:00:13.680]  每一章書都有一個重要的主題
[00:00:13.680 --> 00:00:16.240]  例如第一章是說到
[00:00:16.240 --> 00:00:19.680]  以利米納和拿俄米離開了以色列
[00:00:19.680 --> 00:00:24.480]  離開了摩訶一個不能被神祝福的地方
[00:00:24.480 --> 00:00:28.480]  但是當以利米納和他兩個兒子死了之後
[00:00:28.480 --> 00:00:31.680]  拿俄米願意回去以色列
[00:00:31.680 --> 00:00:34.480]  帶著路德回去
[00:00:34.480 --> 00:00:36.960]  所以第一章的訊息是什麼?
[00:00:36.960 --> 00:00:40.800]  是回到能夠被神祝福的地方
[00:00:40.800 --> 00:00:47.280]  第二章的訊息是說到路德願意離開摩訶地
[00:00:47.280 --> 00:00:49.680]  去到一個他不認識的地方
[00:00:49.680 --> 00:00:52.160]  接受一位他不認識的神
[00:00:52.160 --> 00:00:55.760]  所以第二章最主要的主題就是
[00:00:55.760 --> 00:00:59.440]  要改變環境才能改變你的內心
[00:00:59.440 --> 00:01:03.120]  他願意跟拿俄米回去以色列
[00:01:03.120 --> 00:01:06.560]  他也願意聽神的話語
[00:01:06.560 --> 00:01:08.320]  聽神的律例典章
[00:01:08.320 --> 00:01:12.080]  因為神的律例典章說他可以去到田裡
[00:01:12.080 --> 00:01:14.320]  來收拾那些墨水
[00:01:14.320 --> 00:01:17.120]  以至他認識了波亞斯
[00:01:17.120 --> 00:01:19.280]  所以改變了他的心態
[00:01:19.280 --> 00:01:21.520]  也改變了他的環境
[00:01:21.520 --> 00:01:26.320]  第三章我上次說作好份內事
[00:01:26.320 --> 00:01:28.560]  來等待主作供
[00:01:28.560 --> 00:01:32.240]  就是路德願意聽拿俄米的教導
[00:01:32.240 --> 00:01:34.960]  叫他潔淨自己 高沒自己
[00:01:34.960 --> 00:01:39.360]  穿上新衣來向波亞斯示愛
[00:01:39.360 --> 00:01:43.120]  結果波亞斯真的願意娶他為妻
[00:01:43.120 --> 00:01:48.000]  但上次我說突然間殺出一個情咬金
[00:01:48.000 --> 00:01:52.080]  有個人比波亞斯更親近伊利米納
[00:01:52.080 --> 00:01:56.160]  今天我們就要看這件事的發展是怎樣
[00:01:56.160 --> 00:01:58.320]  我今天叫今天的訊息做
[00:01:58.320 --> 00:02:02.400]  世事難料 但神仍然掌權
[00:02:02.400 --> 00:02:05.840]  不只是在第四章神仍然掌權
[00:02:05.840 --> 00:02:09.040]  有沒有看到在第一章開始他已經掌權
[00:02:09.040 --> 00:02:12.160]  他令到伯利恆有糧食
[00:02:12.160 --> 00:02:15.520]  帶領拿俄米回到以色列
[00:02:15.520 --> 00:02:20.800]  他又帶領路德去到波亞斯的田裡
[00:02:20.800 --> 00:02:25.280]  有沒有看到神的手不斷地帶領路德
