
[00:00:00.000 --> 00:00:07.000]  我們今天要研究的主角就是阿伯拉罕
[00:00:07.000 --> 00:00:11.000]  剛才我所讀的兩段經文當然只不過是其中的一部分
[00:00:11.000 --> 00:00:15.000]  我希望有機會你回去的時候可以看完很多章
[00:00:15.000 --> 00:00:17.000]  都是創世紀的
[00:00:17.000 --> 00:00:21.000]  有一個大綱大家可以拿出來對照著
[00:00:21.000 --> 00:00:23.000]  因為大綱是特別長的
[00:00:23.000 --> 00:00:27.000]  特別長的大綱是幫助我講得快一點的意思
[00:00:27.000 --> 00:00:29.000]  不用擔心
[00:00:29.000 --> 00:00:33.000]  我們今天一起看阿伯拉罕
[00:00:33.000 --> 00:00:37.000]  我記得在全福堂我都不是第一次講阿伯拉罕
[00:00:37.000 --> 00:00:43.000]  講過他幾次有不同的生命值得我們留意的地方
[00:00:43.000 --> 00:00:49.000]  這次可能是我能夠想到阿伯拉罕可以講的最後一次
[00:00:49.000 --> 00:00:53.000]  但這次我跟大家講阿伯拉罕的錯
[00:00:53.000 --> 00:01:00.000]  阿伯拉罕以信心之父這麼偉大的聖經人物
[00:01:00.000 --> 00:01:03.000]  但仍然他會錯的
[00:01:03.000 --> 00:01:05.000]  聖經真的厲害
[00:01:05.000 --> 00:01:08.000]  聖經不會因為你有信心
[00:01:08.000 --> 00:01:10.000]  是神所喜悅
[00:01:10.000 --> 00:01:12.000]  就會隱藏你的錯
[00:01:12.000 --> 00:01:17.000]  聖經同樣的讓我們看到阿伯拉罕的生命當中
[00:01:17.000 --> 00:01:21.000]  有四次其實是在信仰上
[00:01:21.000 --> 00:01:24.000]  在道德上污點
[00:01:24.000 --> 00:01:27.000]  今天我們一定要問一個這麼偉大的人
[00:01:27.000 --> 00:01:29.000]  為什麼都會習慣
[00:01:29.000 --> 00:01:32.000]  這麼偉大的人都可以習慣
[00:01:32.000 --> 00:01:35.000]  我相信你跟我真的值得留意
[00:01:35.000 --> 00:01:38.000]  我們都會很容易犯這樣的錯
[00:01:38.000 --> 00:01:41.000]  我們經常說阿伯拉罕很偉大
[00:01:41.000 --> 00:01:44.000]  但事實上是真的
[00:01:44.000 --> 00:01:46.000]  如果從某個角度來說
[00:01:46.000 --> 00:01:49.000]  阿伯拉罕不單在聖經的角度
[00:01:49.000 --> 00:01:52.000]  他是信心之父
[00:01:52.000 --> 00:01:55.000]  他值得我們敬佩的一個人
[00:01:55.000 --> 00:01:58.000]  就算在人類的歷史裡
[00:01:58.000 --> 00:02:01.000]  他可以說是其中一個
[00:02:01.000 --> 00:02:04.000]  甚至是最偉大的宗教人物
[00:02:04.000 --> 00:02:06.000]  為什麼可以這樣說
[00:02:06.000 --> 00:02:09.000]  因為世界上有三個宗教
[00:02:09.000 --> 00:02:12.000]  祖宗都是來自阿伯拉罕
[00:02:12.000 --> 00:02:15.000]  猶太教就不需要說
[00:02:15.000 --> 00:02:17.000]  在民族上在信仰上
