
[00:00:00.000 --> 00:00:04.120]  題目就是關於天國的謠言
[00:00:04.120 --> 00:00:05.880]  關於天國的謠傳
[00:00:05.880 --> 00:00:10.200]  是從《路加福音》第九章
[00:00:10.200 --> 00:00:13.600]  如果注意一下現在我們的牧者在談吐
[00:00:13.600 --> 00:00:17.480]  有時我們有些很有趣的講論
[00:00:17.480 --> 00:00:19.000]  我最近聽到兩個牧者在談吐
[00:00:19.000 --> 00:00:23.800]  他們在說教會增長究竟是甚麼一種竅門呢?
[00:00:23.800 --> 00:00:26.080]  一個牧師比較年輕
[00:00:26.080 --> 00:00:28.920]  他的教會可以說是比較前衛的
[00:00:28.920 --> 00:00:34.440]  他說有辦法把整個建築物做一個黑V-mount
[00:00:34.440 --> 00:00:36.920]  好像夜總會那樣
[00:00:36.920 --> 00:00:38.400]  他真的這樣說很有趣
[00:00:38.400 --> 00:00:40.560]  有人說調大聲一點結他
[00:00:40.560 --> 00:00:41.880]  鼓大聲一點
[00:00:41.880 --> 00:00:44.840]  當然老人家全部都不理
[00:00:44.840 --> 00:00:48.160]  不過他的教會都挺興旺 挺多人的
[00:00:48.160 --> 00:00:51.720]  不過大部份都是一些我年紀以下
[00:00:51.720 --> 00:00:55.360]  不過年紀沒有你想像的那麼年輕
[00:00:55.360 --> 00:00:56.800]  現在有很多不同的竅門
[00:00:56.800 --> 00:00:58.800]  怎樣教會增長
[00:00:58.800 --> 00:01:01.480]  怎樣能夠把福音興旺
[00:01:01.480 --> 00:01:04.440]  現在發覺有很多教會增長的書
[00:01:04.440 --> 00:01:07.440]  教你怎樣做法
[00:01:07.440 --> 00:01:12.280]  剛好我今天所說的經文和短宣隊有配合
[00:01:12.280 --> 00:01:13.320]  我不喜歡說剛好
[00:01:13.320 --> 00:01:15.400]  可能有上帝預備
[00:01:15.400 --> 00:01:17.640]  不過我不知道你有短宣這件事
[00:01:17.640 --> 00:01:21.160]  在這些教會在這個時間在做的
[00:01:21.160 --> 00:01:22.120]  所以都讚美主
[00:01:22.120 --> 00:01:24.880]  我們今天有第九章在《路加福音》
[00:01:24.880 --> 00:01:26.880]  是第一次聖經裏面
[00:01:26.880 --> 00:01:31.800]  《路加福音》裏面給我們看到的短宣的時封
[00:01:31.800 --> 00:01:39.240]  究竟耶穌怎樣把天國的福音傳講出去
[00:01:39.240 --> 00:01:43.040]  當它做第一次的短宣呢?
[00:01:43.040 --> 00:01:48.080]  其實耶穌給他們很簡單的三個步驟
[00:01:48.080 --> 00:01:50.000]  第一個步驟是第三節告訴我們
[00:01:50.000 --> 00:01:52.720]  這個步驟是一個比較負面的步驟
[00:01:52.720 --> 00:01:55.320]  耶穌對他們說
[00:01:55.320 --> 00:01:56.280]  說甚麼呢?
[00:01:56.280 --> 00:01:59.400]  「行路的時候不要帶拐杖和口袋
[00:01:59.400 --> 00:02:01.800]  不要帶食物和銀紙
[00:02:01.800 --> 00:02:06.800]  也不要帶兩件襪子」
[00:02:06.800 --> 00:02:11.320]  有很多不要帶的東西
[00:02:11.320 --> 00:02:15.120]  「不用帶拐杖和口袋」
[00:02:15.120 --> 00:02:17.640]  為甚麼要帶拐杖呢?
[00:02:17.640 --> 00:02:21.080]  因為走得遠就走到腳都軟了
[00:02:21.080 --> 00:02:23.080]  所以就要帶拐杖
[00:02:23.080 --> 00:02:24.480]  不單要帶拐杖
[00:02:24.480 --> 00:02:26.480]  還要帶甚麼呢?
[00:02:26.480 --> 00:02:29.520]  不要帶口袋
[00:02:29.520 --> 00:02:30.960]  為甚麼不要帶口袋呢?
[00:02:30.960 --> 00:02:34.000]  因為不需要帶食物和銀紙
