
[00:00:00.000 --> 00:00:03.000]  (影片即將開始,請點擊「訂閱」、「按鈴鐺」)
[00:00:03.000 --> 00:00:06.000]  我們今天繼續講我們的系列
[00:00:06.000 --> 00:00:10.000]  如何背起十字架來跟從耶穌基督
[00:00:10.000 --> 00:00:11.500]  如果大家記得的話
[00:00:11.500 --> 00:00:14.500]  我上次是在講門徒的標誌
[00:00:14.500 --> 00:00:19.500]  而第一個標誌我講的就是近似耶穌基督
[00:00:19.500 --> 00:00:24.000]  今天是要講第二個標誌
[00:00:24.000 --> 00:00:27.000]  第二個標誌是什麼呢?
[00:00:27.000 --> 00:00:28.500]  首先問問你們
[00:00:28.500 --> 00:00:33.500]  知不知道聖經裡面最常見的命令是什麼?
[00:00:33.500 --> 00:00:39.000]  不是說要我們盡心盡意盡性來愛神
[00:00:39.000 --> 00:00:42.000]  不是說要我們不住禱告
[00:00:42.000 --> 00:00:45.000]  也不是說要我們專一來敬拜
[00:00:45.000 --> 00:00:47.500]  最常見的是什麼?
[00:00:47.500 --> 00:00:50.500]  最常見的原來是
[00:00:50.500 --> 00:00:53.500]  不動
[00:00:53.500 --> 00:00:58.000]  不是最常見的命令是不動
[00:00:58.000 --> 00:01:04.000]  我是說我的控制器不動
[00:01:04.000 --> 00:01:08.000]  可不可以幫我
[00:01:08.000 --> 00:01:10.000]  現在下一個動了
[00:01:10.000 --> 00:01:14.500]  最常見的是不要懼怕
[00:01:14.500 --> 00:01:21.000]  不要懼怕這個命令在聖經裡面出現了一共365次
[00:01:21.000 --> 00:01:24.500]  我們知道一年有多少天?
[00:01:24.500 --> 00:01:27.500]  一年剛剛就有365天
[00:01:27.500 --> 00:01:30.000]  就好像神跟我們說
[00:01:30.000 --> 00:01:33.000]  叫我們每天都不要懼怕
[00:01:33.000 --> 00:01:34.500]  很有趣
[00:01:34.500 --> 00:01:38.000]  耶穌基督時時跟門徒說
[00:01:38.000 --> 00:01:40.500]  叫門徒不要懼怕
[00:01:40.500 --> 00:01:42.000]  祂跟門徒說
[00:01:42.000 --> 00:01:46.000]  你們不要憂愁也不要膽怯
[00:01:46.000 --> 00:01:49.500]  在耶穌基督釘十字架復活之後
[00:01:49.500 --> 00:01:52.000]  祂向門徒顯現
[00:01:52.000 --> 00:01:55.000]  祂說不要害怕
[00:01:55.000 --> 00:01:58.000]  在今天的經文馬太福音十章
[00:01:58.000 --> 00:02:02.000]  26節、28節和31節
[00:02:02.000 --> 00:02:07.500]  三次耶穌基督提到叫我們不要懼怕
[00:02:07.500 --> 00:02:12.500]  所以不要懼怕真的是一個很重要的命令
[00:02:12.500 --> 00:02:15.500]  可不可以下一章
[00:02:15.500 --> 00:02:17.500]  我時時跟大家說
[00:02:17.500 --> 00:02:19.000]  如果你們認識我的話
[00:02:19.000 --> 00:02:23.500]  你都知道我很喜歡說聖經的經文結構
[00:02:23.500 --> 00:02:26.000]  我跟大家說過很多首尾對牛
[00:02:26.000 --> 00:02:28.000]  說到你們可能都聽悶了
[00:02:28.000 --> 00:02:31.000]  經常說像是片皮鴨
[00:02:31.000 --> 00:02:34.000]  五節的經文第一節和第五節
