
[00:00:00.000 --> 00:00:03.500]  我們讀到《馬太福音》第25章
[00:00:03.500 --> 00:00:06.500]  十個同類的比喻
[00:00:06.500 --> 00:00:10.500]  就是來到三段經過
[00:00:10.500 --> 00:00:12.500]  知道我說什麼嗎?
[00:00:12.500 --> 00:00:20.000]  教會的年曆按著每一個主日
[00:00:20.000 --> 00:00:23.500]  來到最後一個月了
[00:00:23.500 --> 00:00:28.500]  因為教會的年曆不是從一月開始的
[00:00:28.500 --> 00:00:32.000]  考你了,從什麼時候開始?
[00:00:32.000 --> 00:00:37.000]  不知道,不怪你,因為年年不同
[00:00:37.000 --> 00:00:47.000]  張臨節是聖誕日之前的四個星期日開始
[00:00:47.000 --> 00:00:51.000]  用簡單的方法記,不過也要數手指
[00:00:51.000 --> 00:00:57.000]  就是11月30日最接近的主日
[00:00:57.000 --> 00:01:02.000]  今年很好,剛剛就剛好11月30日
[00:01:02.000 --> 00:01:06.000]  不過這些不要緊,教會每年都幫你計算好了
[00:01:06.000 --> 00:01:09.000]  不只是羅馬天主教會的傳統
[00:01:09.000 --> 00:01:11.000]  不只是聖公會的傳統
[00:01:11.000 --> 00:01:13.000]  不只是信義會的傳統
[00:01:13.000 --> 00:01:19.000]  我們跟著三段經過的編排
[00:01:19.000 --> 00:01:26.000]  其實是改革中美國Reform的傳統
[00:01:26.000 --> 00:01:32.000]  加以文的傳統教會他們的安排
[00:01:32.000 --> 00:01:36.000]  所以有不同的傳統,不過年曆是一致的
[00:01:36.000 --> 00:01:39.000]  但是如果你去聖公會聚會
[00:01:39.000 --> 00:01:42.000]  就下個星期才會讀這段經文
[00:01:42.000 --> 00:01:44.000]  相差一個星期,這是不同的教會傳統
[00:01:44.000 --> 00:01:48.000]  這個三段經過的循環是三年的
[00:01:48.000 --> 00:01:50.000]  你開始明白了
[00:01:50.000 --> 00:01:52.000]  第一年讀《馬太福音》
[00:01:52.000 --> 00:01:56.000]  第二年讀《馬可福音》
[00:01:56.000 --> 00:01:59.000]  第三年《路加福音》
[00:01:59.000 --> 00:02:02.000]  所以三卷福音書就每一年
[00:02:02.000 --> 00:02:05.000]  不是從頭到尾都讀完,不夠分的
