
[00:00:00.000 --> 00:00:06.440]  領主 我覺得我是很開心
[00:00:06.440 --> 00:00:08.200]  也是很珍惜這個機會
[00:00:08.200 --> 00:00:11.000]  可以在全幅四週年的時候
[00:00:11.000 --> 00:00:15.860]  我和大家一起去整個週末來分享不同的信息
[00:00:15.860 --> 00:00:22.740]  全幅和我的感情的關係 我相信是很特別的
[00:00:22.740 --> 00:00:26.100]  不知道為什麼昨天下午第一次看到
[00:00:26.100 --> 00:00:27.980]  我看了三次了
[00:00:27.980 --> 00:00:33.940]  因為看到這些相片的時候 我一直在流淚
[00:00:33.940 --> 00:00:36.940]  今天早上再看的時候 又在流淚
[00:00:36.940 --> 00:00:42.180]  尤其是那些受浸的相片
[00:00:42.180 --> 00:00:46.420]  我一直在問為什麼我會心裡這麼受感動
[00:00:46.420 --> 00:00:49.020]  後來我想明白了
[00:00:49.020 --> 00:00:53.740]  每一幅受浸的相片的人
[00:00:53.740 --> 00:00:58.460]  無論他的表情是很嚴肅的 有些是很興奮的
[00:00:58.460 --> 00:01:02.940]  有些是很緊張的 但每一個面孔
[00:01:02.940 --> 00:01:07.180]  都帶著神自己的榮光
[00:01:07.180 --> 00:01:09.220]  我發覺我是受那種感動的
[00:01:09.220 --> 00:01:12.580]  就是有一種榮光在那裡
[00:01:12.580 --> 00:01:16.020]  我突然間就明白了 全幅堂
[00:01:16.020 --> 00:01:22.580]  全幅堂是一個有血有肉的一群體影姐妹
[00:01:22.580 --> 00:01:25.620]  走在一起的 就是全幅堂
[00:01:25.620 --> 00:01:28.380]  全幅堂沒有名人 全幅堂沒有偉人
[00:01:28.380 --> 00:01:31.660]  但全幅堂有這一群的弟兄姐妹 就是你和我
[00:01:31.660 --> 00:01:34.380]  這一群人我們都不是完美的人
[00:01:34.380 --> 00:01:37.660]  我們都有我們的弱點 我們都不是特別厲害
[00:01:37.660 --> 00:01:41.260]  有些人就厲害一點 有些人沒那麼厲害
[00:01:41.260 --> 00:01:43.260]  但最重要的是我們這一群人
[00:01:43.260 --> 00:01:46.540]  就是帶著一個很真誠的心走在一起
[00:01:46.540 --> 00:01:48.940]  我們一起去愛神
[00:01:48.940 --> 00:01:50.900]  和我們這一群人走在一起的時候
[00:01:50.900 --> 00:01:53.500]  我們盡力去愛大家
[00:01:53.500 --> 00:01:56.980]  有時忍不住 但我們盡力去愛大家
[00:01:56.980 --> 00:01:59.340]  我們盡力去愛神 盡力去愛大家
[00:01:59.340 --> 00:02:01.260]  這個就是全幅堂 就是這樣
[00:02:01.260 --> 00:02:03.180]  全幅堂是一群有血有肉的人
[00:02:03.180 --> 00:02:05.340]  我開始體會到這件事
[00:02:05.340 --> 00:02:08.780]  不是一個牧師 不是哪個人
[00:02:08.780 --> 00:02:11.660]  不是一間建築物 就是我們這一群弟兄姐妹
[00:02:11.660 --> 00:02:14.740]  弟兄姐妹希望你和我都很珍惜
[00:02:14.740 --> 00:02:18.020]  這種的寶貝 就是我們
[00:02:18.020 --> 00:02:20.180]  我們有神的地方 我們大家走在一起
[00:02:20.180 --> 00:02:21.980]  有些圈外的人進來了
[00:02:21.980 --> 00:02:23.980]  有些圈內的我們在一起
[00:02:23.980 --> 00:02:29.260]  我們互相聯繫 我們在圈外繼續找人回來
[00:02:29.260 --> 00:02:32.340]  不是幫助我們這個團體
[00:02:32.340 --> 00:02:34.780]  怎樣可以帶起我們的團體
[00:02:34.780 --> 00:02:36.900]  而是我們將他們的靈魂帶到神
[00:02:36.900 --> 00:02:39.300]  耶穌的面前 我們好好地愛他
[00:02:39.300 --> 00:02:41.740]  這個就是全幅堂 希望我們五週年
[00:02:41.740 --> 00:02:44.620]  六週年的時候繼續看到這些相片
[00:02:44.620 --> 00:02:48.060]  不只是第一屆、第二屆 每一年都有
[00:02:48.060 --> 00:02:51.420]  還有你和我一起成為這個教會
[00:02:51.420 --> 00:02:54.500]  好 這個是我自己真的很想和大家分享的
[00:02:54.500 --> 00:02:57.820]  好了 今天早上我想和大家所說的題目
[00:02:57.820 --> 00:03:01.420]  剛才多謝容牧師也讀了一些經文出來
[00:03:01.420 --> 00:03:05.260]  我們打開你手上的大綱 好不好
[00:03:05.260 --> 00:03:07.660]  我們一起來看
[00:03:07.660 --> 00:03:10.940]  今天我想和大家說的第三講
[00:03:10.940 --> 00:03:14.020]  勇往直前的基督徒 這個信息
[00:03:14.020 --> 00:03:18.740]  不單只是給全幅堂的 我們勇往直前
[00:03:18.740 --> 00:03:21.500]  這個信息也給每一個全幅堂的弟兄姊妹
[00:03:21.500 --> 00:03:22.780]  你和我
[00:03:22.780 --> 00:03:27.380]  我們怎樣可以勇往直前的一個基督徒
[00:03:27.380 --> 00:03:30.700]  更加今早這一堂 我是有特別的意思的
[00:03:30.700 --> 00:03:32.940]  因為這一篇的道
[00:03:32.940 --> 00:03:36.340]  我預備的時候 初初是為了我自己的
[00:03:36.340 --> 00:03:37.780]  為什麼呢?
[00:03:37.780 --> 00:03:40.700]  大概在一兩個月前
[00:03:40.700 --> 00:03:43.420]  我自己去準備的時候
[00:03:43.420 --> 00:03:46.460]  我不是只是為了這個今天的聚會
[00:03:46.460 --> 00:03:47.900]  當時我在想的問題
[00:03:47.900 --> 00:03:50.020]  我想很多人都像我這樣想這個問題
[00:03:50.020 --> 00:03:51.540]  我今年62歲
[00:03:51.540 --> 00:03:52.820]  我突然間有一段時間
[00:03:52.820 --> 00:03:56.060]  我真的問自己這樣就快過了一輩子了
[00:03:56.060 --> 00:03:58.540]  有什麼意思呢?
[00:03:58.540 --> 00:04:01.620]  我又病過 我家人又病過
[00:04:01.620 --> 00:04:04.180]  我都算叫做成功過
[00:04:04.180 --> 00:04:06.460]  又讀了一些學位
[00:04:06.460 --> 00:04:11.140]  但是每天忙這個忙那個
[00:04:11.140 --> 00:04:12.740]  我不知道你有沒有像我這樣想
[00:04:12.740 --> 00:04:14.860]  可能你覺得我怎麼會這樣想這些事情
