
[00:00:00.000 --> 00:00:04.000]  各位電影姐妹你好
[00:00:04.000 --> 00:00:06.000]  各位朋友你好
[00:00:06.000 --> 00:00:10.000]  歡迎大家參加我們三環市播道會的網上贖拜
[00:00:10.000 --> 00:00:14.000]  我們繼續思想啟示錄的訊息
[00:00:14.000 --> 00:00:16.000]  今天我們去到啟示錄第六章
[00:00:16.000 --> 00:00:18.000]  第一節至第八節
[00:00:18.000 --> 00:00:20.000]  啟示錄的四騎士
[00:00:20.000 --> 00:00:22.000]  開始的時候請你同心低頭
[00:00:22.000 --> 00:00:24.000]  不得同禱告
[00:00:24.000 --> 00:00:26.000]  慈悲人我天父
[00:00:26.000 --> 00:00:28.000]  我們滿心多謝你
[00:00:28.000 --> 00:00:32.000]  因為我們知道你仍然掌管宇宙萬物
[00:00:32.000 --> 00:00:36.000]  有一天會回來審判沒人死人
[00:00:36.000 --> 00:00:38.000]  求你教導我們如何好好預備
[00:00:38.000 --> 00:00:42.000]  營建我們被殺羔羊
[00:00:42.000 --> 00:00:44.000]  復活了的基督
[00:00:44.000 --> 00:00:46.000]  求主幫助我們
[00:00:46.000 --> 00:00:48.000]  懂得如何去預備
[00:00:48.000 --> 00:00:50.000]  懂得如何去敬拜你
[00:00:50.000 --> 00:00:52.000]  奉耶穌基督命求
[00:00:52.000 --> 00:00:54.000]  阿們
[00:00:54.000 --> 00:00:56.000]  知名的日本大導演
[00:00:56.000 --> 00:00:58.000]  黑澤明
[00:00:58.000 --> 00:01:00.000]  在晚年的時候拍了一部非常出色的電影
[00:01:00.000 --> 00:01:02.000]  叫《亂》
[00:01:02.000 --> 00:01:04.000]  這部電影是改編自
[00:01:04.000 --> 00:01:06.000]  莎士比亞的名劇
[00:01:06.000 --> 00:01:08.000]  《李以王》
[00:01:08.000 --> 00:01:10.000]  但背景取材自日本戰國時代
[00:01:10.000 --> 00:01:14.000]  武將毛利元宙的故事
[00:01:14.000 --> 00:01:18.000]  這部電影獲得非常多的獎項
[00:01:18.000 --> 00:01:20.000]  包括最佳電影
[00:01:20.000 --> 00:01:22.000]  最佳外語片
[00:01:22.000 --> 00:01:26.000]  和很多種榮譽
[00:01:26.000 --> 00:01:28.000]  故事是講述日本戰國時代
[00:01:28.000 --> 00:01:32.000]  一文治秀甫是一名軍閥
[00:01:32.000 --> 00:01:34.000]  此人手段殘忍
[00:01:34.000 --> 00:01:38.000]  被征服者往往全家被殺
[00:01:38.000 --> 00:01:40.000]  又將女人賞賜給他部屬
[00:01:40.000 --> 00:01:42.000]  做他的妻妾
[00:01:42.000 --> 00:01:44.000]  他年年征戰
[00:01:44.000 --> 00:01:46.000]  雄霸一方
[00:01:46.000 --> 00:01:48.000]  勢力如日中天
[00:01:48.000 --> 00:01:50.000]  他年紀大了
[00:01:50.000 --> 00:01:52.000]  決定將江山一分為三
[00:01:52.000 --> 00:01:56.000]  由三個兒子分掌大權
[00:01:56.000 --> 00:02:00.000]  但都是以大兒子做領導
[00:02:00.000 --> 00:02:02.000]  大兒子太郎
[00:02:02.000 --> 00:02:04.000]  次首第一成
[00:02:04.000 --> 00:02:06.000]  二兒子次郎
[00:02:06.000 --> 00:02:08.000]  次第二成
[00:02:08.000 --> 00:02:10.000]  三兒子直虎
[00:02:10.000 --> 00:02:12.000]  次第三成
[00:02:12.000 --> 00:02:14.000]  他為了教訓三個兒子
[00:02:14.000 --> 00:02:16.000]  拿出三支箭
[00:02:16.000 --> 00:02:18.000]  表示兄弟要團結
[00:02:18.000 --> 00:02:20.000]  一支箭容易被截斷
[00:02:20.000 --> 00:02:22.000]  三支箭不容易截斷
[00:02:22.000 --> 00:02:26.000]  所以祝福他們一定要團結合作
[00:02:26.000 --> 00:02:28.000]  才能在世界上生存
[00:02:28.000 --> 00:02:32.000]  而他自己就帶著三十多個忠心隨從
[00:02:32.000 --> 00:02:36.000]  輪流在三個兒子的城裡居住
[00:02:36.000 --> 00:02:38.000]  以為可以安享太平
[00:02:38.000 --> 00:02:42.000]  這個計劃被三兒子直虎極力反對
[00:02:42.000 --> 00:02:44.000]  拿出一把刀
[00:02:44.000 --> 00:02:46.000]  一刀就將三支箭斬斷了
