
[00:00:00.000 --> 00:00:08.000]  耶稣说的杀种的比喻,我们大概都很熟悉,
[00:00:08.000 --> 00:00:11.000]  不过你不要准备睡觉。
[00:00:11.000 --> 00:00:15.000]  刚才我们读《马太福音》十三章的时候,
[00:00:15.000 --> 00:00:21.000]  比较难明白的,反而是门徒来问耶稣,
[00:00:21.000 --> 00:00:23.000]  为什么你用比喻?
[00:00:23.000 --> 00:00:29.000]  然后耶稣说的那段话,我们就开始有些皱眉头了。
[00:00:29.000 --> 00:00:38.000]  耶稣的意思好像是说,用比喻就是因为使他们不明白。
[00:00:38.000 --> 00:00:40.000]  有没有搞错?
[00:00:40.000 --> 00:00:44.000]  我们开报道会,请很多新朋友回来,
[00:00:44.000 --> 00:00:47.000]  还没信耶稣的,很难得请他们回来,
[00:00:47.000 --> 00:00:52.000]  请个港元来说一番他们不明白的话。
[00:00:52.000 --> 00:00:56.000]  这里引经据典,以塞瓦都说的,
[00:00:56.000 --> 00:00:59.000]  他们听是听见,但是不明白,
[00:00:59.000 --> 00:01:01.000]  看是看见,但是不晓得,
[00:01:01.000 --> 00:01:05.000]  他们游梦了心,耳朵发沉,眼睛闭着,
[00:01:05.000 --> 00:01:09.000]  恐怕看见听见,心里明白,回转过来,
[00:01:09.000 --> 00:01:12.000]  我就神,就依治他们。
[00:01:12.000 --> 00:01:15.000]  圣经都是这样说的,什么意思呢?
[00:01:15.000 --> 00:01:23.000]  好在新约圣经引用以塞瓦书这几节的金句,
[00:01:23.000 --> 00:01:26.000]  如果没有引用这几节的金句,
[00:01:26.000 --> 00:01:30.000]  我们真的会不明白的。
[00:01:30.000 --> 00:01:33.000]  考虑一个问题,深一点的,
[00:01:33.000 --> 00:01:36.000]  不是杀种的比喻,在新约那么浅。
[00:01:36.000 --> 00:01:40.000]  请问以塞瓦书这一段的说话,
[00:01:40.000 --> 00:01:44.000]  是出现在什么地方的?
[00:01:44.000 --> 00:01:51.000]  是不是上帝在天上审判那些外邦人,
[00:01:51.000 --> 00:01:55.000]  宣布他们听都听不明白,
[00:01:55.000 --> 00:01:58.000]  看都看不明白,他们没用的了,
[00:01:58.000 --> 00:02:01.000]  没盼望的了,放弃他们,
[00:02:01.000 --> 00:02:06.000]  他们就是不蒙连文,不得依治的这一群。
[00:02:06.000 --> 00:02:09.000]  是不是这样说法?
[00:02:09.000 --> 00:02:13.000]  如果你读圣经,读过以塞瓦书,
[00:02:13.000 --> 00:02:16.000]  不过希望你不要读半章就停在这,
[00:02:16.000 --> 00:02:21.000]  其实这一段说话前面那半章你很熟的,
