
[00:00:00.000 --> 00:00:04.000]  我想有些見過面 或者第一次見面
[00:00:04.000 --> 00:00:06.000]  有些就不認得他的樣子
[00:00:06.000 --> 00:00:10.000]  今天其實是很講心聲的
[00:00:10.000 --> 00:00:12.000]  收錄廣場的特點就是
[00:00:12.000 --> 00:00:17.000]  你回教會 但是可能更加埋在內心裡面
[00:00:17.000 --> 00:00:21.000]  一些生活裡面 你可能會有感觸 有反省的東西
[00:00:21.000 --> 00:00:24.000]  來到這裡很有感覺
[00:00:24.000 --> 00:00:27.000]  不然我小時候 我回合一堂
[00:00:27.000 --> 00:00:31.000]  三十多年前 我也是每逢星期六
[00:00:31.000 --> 00:00:33.000]  就在這裡吃飯
[00:00:33.000 --> 00:00:37.000]  那時候有安樂園 小祺園那些地方
[00:00:37.000 --> 00:00:39.000]  我想你還沒出生
[00:00:39.000 --> 00:00:45.000]  看到一個沒什麼變化的地方 就是這麼窄
[00:00:45.000 --> 00:00:47.000]  很容易遇到人
[00:00:47.000 --> 00:00:51.000]  那條路是我出生在觀塘那裡
[00:00:51.000 --> 00:00:53.000]  但是搬走了很多年
[00:00:53.000 --> 00:00:57.000]  今天這個題目是一個最好的題目
[00:00:57.000 --> 00:01:01.000]  和你分享 就是生命同準
[00:01:01.000 --> 00:01:05.000]  星期三的日子 上午
[00:01:05.000 --> 00:01:07.000]  我每逢星期三上午
[00:01:07.000 --> 00:01:11.000]  我都要做一件你可以說是事業的工作
[00:01:11.000 --> 00:01:13.000]  就是去馬鞍山
[00:01:13.000 --> 00:01:17.000]  因為馬鞍山有間幼稚園
[00:01:17.000 --> 00:01:19.000]  是我自己做校董
[00:01:19.000 --> 00:01:21.000]  是我們合一堂的幼稚園
[00:01:21.000 --> 00:01:23.000]  我有個EQ科
[00:01:23.000 --> 00:01:25.000]  在裡面要同事教
[00:01:25.000 --> 00:01:29.000]  每逢我十點多 十一點
[00:01:29.000 --> 00:01:31.000]  我就在銅鑼灣出發
[00:01:31.000 --> 00:01:33.000]  我很擔心一個組
[00:01:33.000 --> 00:01:35.000]  不是我的同事做得不好
[00:01:35.000 --> 00:01:37.000]  而是很難做的組
[00:01:37.000 --> 00:01:41.000]  這個組就是K3的學生和K1一起上
[00:01:41.000 --> 00:01:46.000]  幼稚園低班和幼稚園高班一起學
[00:01:46.000 --> 00:01:48.000]  的數量是不容易大的
[00:01:48.000 --> 00:01:51.000]  因為K1的學生程度是小很多
[00:01:51.000 --> 00:01:53.000]  只差兩年
[00:01:53.000 --> 00:01:57.000]  每次我去都是有一點準備處理一些
[00:01:57.000 --> 00:02:00.000]  小孩子情緒可能發生的事
[00:02:00.000 --> 00:02:02.000]  我擔心我的同事未夠經驗
[00:02:02.000 --> 00:02:06.000]  特別是一個這麼不同的兩歲
[00:02:06.000 --> 00:02:10.000]  我坐在巴士上 從銅鑼灣上車去
[00:02:10.000 --> 00:02:14.000]  我坐車的時候 當時整個車樓下只有我一個人坐
[00:02:14.000 --> 00:02:17.000]  我開始想起一個問題
[00:02:17.000 --> 00:02:21.000]  為什麼我要去那個地方呢?
[00:02:21.000 --> 00:02:23.000]  我很久沒有想這個問題
[00:02:23.000 --> 00:02:26.000]  我每逢別人叫我做 我就做
[00:02:26.000 --> 00:02:30.000]  很少去想為什麼要做
[00:02:30.000 --> 00:02:32.000]  我開始有一個激動
[00:02:32.000 --> 00:02:38.000]  除了我幫我的同事發展訓練的工作之外
[00:02:38.000 --> 00:02:41.000]  對我有什麼作用呢?
[00:02:41.000 --> 00:02:43.000]  我心裡面有祈禱
[00:02:43.000 --> 00:02:47.000]  說我想有一個夢
[00:02:47.000 --> 00:02:49.000]  有一個推動力
[00:02:49.000 --> 00:02:53.000]  又想我自己有一種很深的力量
[00:02:53.000 --> 00:02:56.000]  進入馬鞍山
[00:02:56.000 --> 00:02:58.000]  當時我就是這樣
[00:02:58.000 --> 00:03:00.000]  一路想 一路想
[00:03:00.000 --> 00:03:04.000]  開始我發現一些東西
[00:03:04.000 --> 00:03:10.000]  我發現原來我有一個夢
[00:03:10.000 --> 00:03:12.000]  是出現了多久
[00:03:12.000 --> 00:03:14.000]  但自己不覺的
[00:03:14.000 --> 00:03:16.000]  就看我人生
[00:03:16.000 --> 00:03:20.000]  除了我自己做輔導訓練之外
[00:03:20.000 --> 00:03:24.000]  我和一些徒弟 年輕人在一起
[00:03:24.000 --> 00:03:28.000]  很多人都是很偶然地認識
[00:03:28.000 --> 00:03:33.000]  但是我似乎有一種負擔
[00:03:33.000 --> 00:03:35.000]  是想幫一些青年
