
[00:00:00.000 --> 00:00:07.360]  今天早上我想帶大家認識2000年前的一個教會
[00:00:07.360 --> 00:00:10.960]  這個教會在今天的希臘
[00:00:10.960 --> 00:00:12.960]  仍然這個地方還在
[00:00:12.960 --> 00:00:17.360]  這個叫做貼薩羅尼加的城市
[00:00:17.360 --> 00:00:21.440]  在聖經裏面有貼薩羅尼加前書
[00:00:21.440 --> 00:00:23.920]  貼薩羅尼加後書
[00:00:23.920 --> 00:00:33.440]  這是當時使徒保羅和西拉和提摩太在歐洲建立最早幾個教會之一
[00:00:33.440 --> 00:00:39.600]  今早我們要來看這個教會裏面為什麼會有憂傷
[00:00:39.600 --> 00:00:42.240]  為什麼會有驚慌
[00:00:42.240 --> 00:00:46.720]  我們首先來認識一下這個教會的背景
[00:00:46.720 --> 00:00:49.120]  貼薩羅尼加教會
[00:00:49.120 --> 00:00:54.400]  剛才說在今天的希臘在耶穌基督的時代
[00:00:54.400 --> 00:01:00.640]  那個是古羅馬統治的馬其頓王國
[00:01:00.640 --> 00:01:03.360]  他是一個很繁盛的城市
[00:01:03.360 --> 00:01:07.360]  因為他在愛琴海旁邊
[00:01:07.360 --> 00:01:13.760]  當時有很多出入口和貨物運送
[00:01:13.760 --> 00:01:17.520]  他也是在一條很主要的公路上
[00:01:17.520 --> 00:01:25.840]  今天這個城市仍然是希臘裏面最繁盛最重要的城市
[00:01:25.840 --> 00:01:31.600]  保羅在他第二次傳道的旅程當中
[00:01:31.600 --> 00:01:35.920]  去到這個地方建立了教會
[00:01:35.920 --> 00:01:38.880]  如果你去使徒行傳十六章
[00:01:38.880 --> 00:01:44.560]  你會看到保羅當時並沒有想去歐洲
[00:01:44.560 --> 00:01:51.600]  他想在亞洲探訪一些他建立的教會
[00:01:51.600 --> 00:01:54.800]  看看那裏的弟兄姊妹的情況是怎樣
[00:01:54.800 --> 00:02:00.800]  但是聖經告訴我們聖靈不准他在那些地方
[00:02:00.800 --> 00:02:05.360]  有時聖靈會阻擋關了我們的門
[00:02:05.360 --> 00:02:09.360]  因為他要帶領保羅在那個時候
[00:02:09.360 --> 00:02:16.240]  神預定了他要將福音傳到歐洲
[00:02:16.240 --> 00:02:18.240]  我給大家看看地圖
[00:02:18.240 --> 00:02:21.520]  那些戰爭開始的地方
[00:02:21.520 --> 00:02:23.520]  由安提阿那些
[00:02:23.520 --> 00:02:26.080]  那些就是今天中東的地方
[00:02:26.080 --> 00:02:27.600]  再上一些
[00:02:27.600 --> 00:02:32.320]  你看到安提阿
[00:02:32.320 --> 00:02:34.320]  盧斯德那些
[00:02:34.640 --> 00:02:39.120]  全部都是在今天的土耳其的西部
[00:02:39.120 --> 00:02:41.120]  在土耳其的西部
[00:02:41.120 --> 00:02:43.120]  其實有很多的教會
[00:02:43.120 --> 00:02:48.160]  如果你去到啟示錄第一章的時候
[00:02:48.160 --> 00:02:50.160]  你會看到以弗所
[00:02:50.160 --> 00:02:52.160]  你會看到有七個的教會
[00:02:52.160 --> 00:02:56.880]  其實就在今天的土耳其的西部
[00:02:56.880 --> 00:02:58.880]  那裏還是亞洲
[00:02:58.880 --> 00:03:00.880]  他就想在亞洲
[00:03:00.880 --> 00:03:04.080]  或者在聖經裏面叫做亞細亞
[00:03:04.080 --> 00:03:06.640]  就在那裏探望弟兄姊妹
[00:03:06.640 --> 00:03:09.440]  但聖靈是將那些門關了
[00:03:09.440 --> 00:03:12.960]  我不知道聖靈是用什麼方法
[00:03:12.960 --> 00:03:17.680]  來阻撓保羅在那裏探望亞洲的弟兄姊妹
[00:03:17.680 --> 00:03:20.560]  但是很明顯的
