
[00:00:00.000 --> 00:00:07.120]  今天我會講啟示錄
[00:00:07.120 --> 00:00:11.680]  很多電影節目都想聽啟示錄
[00:00:11.680 --> 00:00:16.000]  接下來這幾堂我都會繼續講啟示錄
[00:00:16.000 --> 00:00:22.360]  首先我想大家明白讀啟示錄有一個最基本的態度
[00:00:22.360 --> 00:00:23.880]  或者方法
[00:00:23.880 --> 00:00:27.920]  有人說啟示錄是很難的
[00:00:27.920 --> 00:00:31.720]  因為它裡面有很多的語言我們不明白
[00:00:31.720 --> 00:00:33.720]  我剛才提到的就是
[00:00:33.720 --> 00:00:35.720]  約翰所用的語言
[00:00:35.720 --> 00:00:39.720]  主要是來自當時他所有的舊約聖經
[00:00:39.720 --> 00:00:41.720]  就是我們舊約聖經的語言
[00:00:41.720 --> 00:00:45.320]  所以我們要明白舊約聖經
[00:00:45.320 --> 00:00:48.320]  我們就明白他的語言是講什麼
[00:00:48.320 --> 00:00:49.960]  第二樣就是
[00:00:49.960 --> 00:00:54.080]  啟示錄不是我們做占卜
[00:00:54.080 --> 00:00:58.480]  或者用來做預知這個世界會怎樣
[00:00:58.480 --> 00:00:59.800]  使我們吹吉避凶
[00:00:59.800 --> 00:01:01.400]  或者使我們投資得利
[00:01:01.400 --> 00:01:06.640]  或者讓我們能知三日事
[00:01:06.640 --> 00:01:08.160]  富貴萬千年
[00:01:08.160 --> 00:01:10.160]  不是這樣
[00:01:10.160 --> 00:01:12.160]  但是約翰我們要明白
[00:01:12.160 --> 00:01:15.200]  當時約翰神給約翰看到
[00:01:15.200 --> 00:01:17.200]  在將來發生的事
[00:01:17.200 --> 00:01:21.840]  而將來發生的事情
[00:01:21.840 --> 00:01:27.280]  約翰他就用他了解的說話記載下來
[00:01:27.280 --> 00:01:32.000]  而我們是沒有辦法知道
[00:01:32.000 --> 00:01:34.640]  約翰看到的事情實際是怎樣
[00:01:34.640 --> 00:01:39.080]  所以我們無模糊當中
[00:01:39.080 --> 00:01:43.880]  是好像約翰說的一些事情給我們聽
[00:01:43.880 --> 00:01:47.240]  又和我們所遇到的很接近
[00:01:47.240 --> 00:01:50.880]  但千萬就不要對號入座
[00:01:50.880 --> 00:01:52.880]  不要說約翰看到的事情
[00:01:52.880 --> 00:01:54.000]  這個就沒有人了
[00:01:54.000 --> 00:01:55.720]  這個就沒有事了
[00:01:55.720 --> 00:02:00.120]  因為約翰是沒有用我們今天的語言去講
[00:02:00.120 --> 00:02:05.440]  所以我們是不能夠完全知道
[00:02:05.440 --> 00:02:07.880]  究竟他在說什麼
