
[00:00:00.000 --> 00:00:05.560]  在窮鄉僻壤時,廟宇很小
[00:00:05.560 --> 00:00:09.060]  有時一間廟同時拜Bangleson
[00:00:09.060 --> 00:00:11.560]  民間信仰根本是道佛合流
[00:00:11.560 --> 00:00:13.160]  於是有個小廟裏面
[00:00:13.160 --> 00:00:17.560]  財神和藥王一起
[00:00:17.560 --> 00:00:22.060]  另外我對古書的認知也不錯
[00:00:22.060 --> 00:00:24.360]  即是向來有些廟是拜關帝
[00:00:24.360 --> 00:00:26.360]  但有人重視女權
[00:00:26.360 --> 00:00:27.860]  拜關太
[00:00:27.860 --> 00:00:30.160]  關太如何作呢?
[00:00:30.160 --> 00:00:31.660]  我就賣個關子
[00:00:31.660 --> 00:00:37.660]  我專登找一個對聯不可不欣賞的
[00:00:37.660 --> 00:00:40.160]  身為懂中文的中國人
[00:00:40.160 --> 00:00:42.660]  真是上帝對中國人是一種恩賜
[00:00:42.660 --> 00:00:44.660]  只有中文能寫對聯
[00:00:44.660 --> 00:00:46.660]  英文我舉個例子
[00:00:46.660 --> 00:00:48.160]  我的英文很水平
[00:00:48.160 --> 00:00:50.160]  但我一開始也賣弄一個什麼呢?
[00:00:50.160 --> 00:00:51.860]  就是沙翁名劇
[00:00:51.860 --> 00:00:52.860]  Every Scene Toll
[00:00:52.860 --> 00:00:55.160]  那個Brutus殺了詩塵之後說的那段話
[00:00:55.160 --> 00:00:57.160]  就是西式的平民
[00:00:57.160 --> 00:00:59.160]  全部是排牛的
[00:00:59.160 --> 00:01:02.160]  後來Mark Antony那段是另一種散佈
[00:01:02.160 --> 00:01:03.660]  是題外話
[00:01:03.660 --> 00:01:05.160]  大家有興趣自己去看
[00:01:05.160 --> 00:01:07.160]  我舉那段說明
[00:01:07.160 --> 00:01:10.160]  我不是想學一些淺薄的人
[00:01:10.160 --> 00:01:14.160]  賣弄那25個字母
[00:01:14.160 --> 00:01:16.160]  不懂得說
[00:01:16.160 --> 00:01:19.160]  而是想證明我們熟悉的外文
[00:01:19.160 --> 00:01:21.160]  精心華妙而英文
[00:01:21.160 --> 00:01:25.160]  都只能夠有排比句法
[00:01:25.160 --> 00:01:27.160]  不能夠有嚴格的對話
[00:01:27.160 --> 00:01:29.160]  甚至日本人
[00:01:29.160 --> 00:01:31.160]  日本人學中文學得極好
[00:01:31.160 --> 00:01:33.160]  日本人古代的日本人
[00:01:33.160 --> 00:01:37.160]  又懂得作古文又懂得作詩
[00:01:37.160 --> 00:01:40.160]  不過大家知道日本人沒有中國對聯
[00:01:40.160 --> 00:01:42.160]  他就是沒法子有對聯
[00:01:42.160 --> 00:01:45.160]  因為日文不是所謂的Monocelic Languages
[00:01:45.160 --> 00:01:48.160]  他一定要加一些Hinagana, Patagona
[00:01:48.160 --> 00:01:50.160]  大家知道我們就算不懂日文
[00:01:50.160 --> 00:01:52.160]  都一定弄一些
[00:01:52.160 --> 00:01:54.160]  春、夏、秋、時
[00:01:54.160 --> 00:01:56.160]  這樣才行
[00:01:56.160 --> 00:01:58.160]  在座很多
[00:01:58.160 --> 00:02:00.160]  真是內行的我不敢翻譯
[00:02:00.160 --> 00:02:03.160]  那個對聯的關太一流
[00:02:03.160 --> 00:02:05.160]  我就找他做一個序文
[00:02:05.160 --> 00:02:06.160]  不要說關太
[00:02:06.160 --> 00:02:08.160]  本來不是想說關太的
[00:02:08.160 --> 00:02:09.160]  關太
[00:02:09.160 --> 00:02:13.160]  講財神和藥王兩個爭香火
[00:02:13.160 --> 00:02:16.160]  你知道如果做得所謂神都還爭香火
[00:02:16.160 --> 00:02:18.160]  這個神就是神月有限
[00:02:18.160 --> 00:02:20.160]  有人跟他調停
[00:02:20.160 --> 00:02:22.160]  那個對聯就是
[00:02:22.160 --> 00:02:24.160]  縱使有錢難買命
[00:02:24.160 --> 00:02:26.160]  雖知無藥可療
[00:02:26.160 --> 00:02:28.160]  十四個字
[00:02:28.160 --> 00:02:30.160]  他兩個人知道為什麼
[00:02:30.160 --> 00:02:32.160]  財神不要以為自己厲害
[00:02:32.160 --> 00:02:34.160]  不要以為有錢萬事通
[00:02:34.160 --> 00:02:37.160]  以為財可通神
[00:02:37.160 --> 00:02:39.160]  那條命
[00:02:39.160 --> 00:02:43.160]  真的要閻羅王WhatsApp給你之前
[00:02:43.160 --> 00:02:45.160]  你就什麼錢都買不到
[00:02:45.160 --> 00:02:48.160]  賭王也是96歲而已
[00:02:48.160 --> 00:02:53.160]  學問孔爺的長輩姚中原先生
[00:02:53.160 --> 00:02:55.160]  也是101歲
[00:02:55.160 --> 00:03:00.160]  我最羨慕的福氣不是欣賞他
[00:03:00.160 --> 00:03:02.160]  我寫的題外說話
[00:03:02.160 --> 00:03:04.160]  一方面是貿貿時間
[00:03:04.160 --> 00:03:05.160]  一方面是幫忙
[00:03:05.160 --> 00:03:07.160]  其實都是我們瞭解人生
[00:03:07.160 --> 00:03:11.160]  我很多年前寫過一段很短的專欄文字
[00:03:11.160 --> 00:03:14.160]  三己橫跨一美人
[00:03:14.160 --> 00:03:16.160]  知不知道這個美人是誰
[00:03:16.160 --> 00:03:20.160]  沒人知
[00:03:20.160 --> 00:03:22.160]  難在三己橫跨
[00:03:22.160 --> 00:03:24.160]  什麼叫三己橫跨
[00:03:24.160 --> 00:03:28.160]  他一生橫跨三個世紀
[00:03:28.160 --> 00:03:30.160]  沒什麼人能夠看見他
[00:03:30.160 --> 00:03:32.160]  如果說這個是一種福氣的話
[00:03:32.160 --> 00:03:36.160]  橫跨三個世紀
[00:03:36.160 --> 00:03:38.160]  他一百多六歲
[00:03:38.160 --> 00:03:40.160]  十九世紀尾出世
[00:03:40.160 --> 00:03:42.160]  二十一世紀開頭
[00:03:42.160 --> 00:03:44.160]  結束營業
[00:03:44.160 --> 00:03:47.160]  三個世紀的這位美人
[00:03:47.160 --> 00:03:49.160]  不是說他比美人漂亮
[00:03:49.160 --> 00:03:51.160]  漂亮不漂亮就問問尚先生
[00:03:51.160 --> 00:03:54.160]  他是美國人
[00:03:54.160 --> 00:03:58.160]  他出世之前是美國人
[00:03:58.160 --> 00:04:06.160]  這位美人
[00:04:06.160 --> 00:04:08.160]  就是宋美齡
[00:04:08.160 --> 00:04:10.160]  她是唯一一個
[00:04:10.160 --> 00:04:12.160]  三己橫跨
