
[00:00:00.000 --> 00:00:09.800]  早上我去看醫生 前兩天有點不舒服
[00:00:09.800 --> 00:00:13.820]  手部發聲不太好 我就很害怕中了COVID
[00:00:13.820 --> 00:00:17.620]  原來都很厲害 我就檢查了 沒事
[00:00:17.620 --> 00:00:24.320]  所以放心 但是肌肉痠痛 有頭痛的
[00:00:24.320 --> 00:00:28.680]  張醫生說一定要去看 昨天去看張醫生
[00:00:28.680 --> 00:00:34.060]  做了一個測試 現在的測試是很全面的
[00:00:34.060 --> 00:00:41.980]  我們說如果沒事就要一線人
[00:00:41.980 --> 00:00:50.200]  A一條線是甲型流感 B是乙型流感 C是COVID
[00:00:50.200 --> 00:00:52.760]  如果全中就有四條線
[00:00:52.760 --> 00:01:00.300]  我昨天說到 千萬不要連累街坊
[00:01:00.300 --> 00:01:05.880]  做了之後 你猜多少條線 一條線
[00:01:05.880 --> 00:01:09.960]  一條線即是正常 沒有流感
[00:01:09.960 --> 00:01:12.760]  原來我沒有中毒 但有徵狀
[00:01:12.760 --> 00:01:18.880]  但我昨天說到發現 一上港台就百病俱全
[00:01:18.880 --> 00:01:26.000]  很精神 神力恩典很足夠
[00:01:26.000 --> 00:01:29.760]  不過下午睡了大覺應該沒事
[00:01:29.760 --> 00:01:34.320]  今天跟大家說你們世上的鹽一節
[00:01:34.320 --> 00:01:38.960]  隱藏的力量 馬太福音在登山補訓裏面
[00:01:38.960 --> 00:01:47.800]  其中一句 鹽 耶穌沒有說你們做世上的鹽
[00:01:47.800 --> 00:01:52.400]  學做世上鹽 他說你們試世上鹽
[00:01:52.400 --> 00:01:55.680]  為何是試世上鹽呢
[00:01:55.680 --> 00:01:58.680]  他不是說你去學做鹽 學做光
[00:01:58.680 --> 00:02:03.240]  不是 你們試世上鹽 試世上光
[00:02:03.240 --> 00:02:07.080]  本質當你成為上帝的兒女
[00:02:07.080 --> 00:02:10.280]  當你成為基督的門徒
[00:02:10.280 --> 00:02:13.080]  你就有這個本質 因為你有這個身份
[00:02:13.080 --> 00:02:15.440]  你就自然有 你不用學的
[00:02:15.440 --> 00:02:19.440]  你不需要鹽怎樣做 不需要的
[00:02:19.440 --> 00:02:25.880]  本質的身份就是叫你能夠有鹽的特質出來
[00:02:25.880 --> 00:02:31.960]  身份是會塑造你的人性本質
[00:02:31.960 --> 00:02:35.440]  你說我不是的 我很軟弱的
[00:02:35.440 --> 00:02:37.240]  我不行的 有很多東西要學 不是
[00:02:37.240 --> 00:02:41.320]  我經常舉這個例子 我是一個母親 一個媽媽
[00:02:41.320 --> 00:02:47.280]  她本來很怕狗的 一見到狗就害怕 會腳震 會走人的
[00:02:47.280 --> 00:02:50.840]  但當她有了母親的身份 她做了人的媽媽
[00:02:50.840 --> 00:02:55.080]  她帶著女兒 她再見到狗的時候 她會怎樣做
[00:02:55.080 --> 00:02:58.080]  她很害怕 把女兒丟給狗 自己走人
[00:02:58.080 --> 00:03:02.960]  當然不會 她很有勇氣 保護女兒
[00:03:02.960 --> 00:03:08.280]  媽媽的身份就塑造了她原來軟弱的
[00:03:08.280 --> 00:03:13.120]  以前很怕狗的 她突然很有能力保護女兒
[00:03:13.120 --> 00:03:16.840]  拿著棍子趕走狗 是不是這樣
[00:03:16.840 --> 00:03:20.640]  你做媽媽是不是這樣 你不會走人的
[00:03:20.640 --> 00:03:24.440]  因為這個身份叫你 不知道從哪裡來的
[00:03:24.440 --> 00:03:26.200]  你不用學的 你不用問媽媽
[00:03:26.200 --> 00:03:28.800]  我見到狗怎樣了 我是不是要走
[00:03:28.800 --> 00:03:31.200]  不用問的 自然而來
[00:03:31.200 --> 00:03:35.160]  所以耶穌說 你們是世上鹽
[00:03:35.160 --> 00:03:39.080]  當我們成為主動玩圖 我們就有這個身份
[00:03:39.080 --> 00:03:42.960]  我們很自然就有鹽的本質了
[00:03:42.960 --> 00:03:45.880]  上個星期 黃泉道講一篇道理
[00:03:45.880 --> 00:03:50.600]  不知道你記不記得 他其中有一段很有意思的
[00:03:50.600 --> 00:03:53.520]  他在英國回來的時候 他買了一大堆東西
[00:03:53.520 --> 00:03:57.320]  很匆忙 那個人就算少了
[00:03:57.320 --> 00:04:01.800]  一般人就說 哇 沒有死就發達了 是不是
[00:04:01.800 --> 00:04:05.120]  但他說 不是的 心中不平安
[00:04:05.120 --> 00:04:08.240]  他覺得雖然那時候給不了錢
[00:04:08.240 --> 00:04:13.280]  他寫信給他說 把E-mail收多了
[00:04:13.280 --> 00:04:16.720]  你收少了錢 要讓他知道這件事
[00:04:16.720 --> 00:04:20.440]  這個就是門徒有這個本質
[00:04:20.440 --> 00:04:23.080]  不用學的 在裏面出來的
[00:04:23.080 --> 00:04:25.480]  就因為我們有基督徒的身份
[00:04:25.480 --> 00:04:30.080]  上了二女的門徒 我們就很自然就有這件事
[00:04:30.080 --> 00:04:34.640]  所以耶穌說 你們是這個本質
[00:04:34.640 --> 00:04:39.240]  是隨著身份 神賦予我們
[00:04:39.240 --> 00:04:43.160]  所以當我們有基督徒再上二女
[00:04:43.160 --> 00:04:51.040]  我們就有以下的五個特質
[00:04:51.040 --> 00:04:55.520]  第一個 鹽代表純潔
[00:04:55.520 --> 00:04:58.240]  純潔是什麼意思呢?
[00:04:58.240 --> 00:05:04.360]  耶穌說過 純潔就是心中清心的人
[00:05:04.360 --> 00:05:08.160]  清心的人有福了
[00:05:08.160 --> 00:05:14.960]  這個純潔是代表我們對上帝那種無雜念
[00:05:14.960 --> 00:05:17.080]  或者我講清楚一點
[00:05:17.080 --> 00:05:22.960]  首先羅馬人他們覺得鹽是最乾淨的
[00:05:22.960 --> 00:05:27.840]  最純正的 因為它是太陽和水最純潔的
[00:05:27.840 --> 00:05:32.400]  耶穌其實用當時人所明白的
[00:05:32.400 --> 00:05:34.880]  當我們去追尋上帝的時候
[00:05:34.880 --> 00:05:35.880]  我們心無雜念
[00:05:35.880 --> 00:05:37.240]  我們不會想有什麼好處
[00:05:37.240 --> 00:05:38.760]  我信耶穌有什麼好處
[00:05:38.760 --> 00:05:41.920]  我做耶穌的子女有什麼好處
[00:05:41.920 --> 00:05:44.000]  我們沒有 我們純粹就是
[00:05:44.000 --> 00:05:47.840]  今天我相信主 我今天相信主
[00:05:47.840 --> 00:05:51.120]  所有的好處在主裏面
[00:05:51.120 --> 00:05:55.280]  心無雜念來敬拜
[00:05:55.280 --> 00:05:58.640]  不是因為人 不是因為我太太
[00:05:58.640 --> 00:06:00.080]  不是因為我爸爸媽媽
[00:06:00.080 --> 00:06:01.360]  不是因為社會需要
[00:06:01.360 --> 00:06:03.840]  不是因為我工作在教校讀書
[00:06:03.840 --> 00:06:04.960]  所以我要回教會
[00:06:04.960 --> 00:06:07.520]  不是 是完全心無雜念
[00:06:07.520 --> 00:06:10.000]  沒有任何的東西去敬拜主
[00:06:10.000 --> 00:06:12.560]  我們就聆聽神的聲音
[00:06:12.560 --> 00:06:14.320]  所以鹽的本質就是
[00:06:14.320 --> 00:06:16.080]  當我們受主的滿途
[00:06:16.080 --> 00:06:18.080]  我們是不會再想其他的東西
[00:06:18.080 --> 00:06:20.720]  我們專心追求主
[00:06:20.720 --> 00:06:22.480]  鹽就是防腐
[00:06:22.480 --> 00:06:25.280]  防腐就是我們明白到
[00:06:25.280 --> 00:06:28.880]  可以保存肉 臘肉 臘腸等等
[00:06:28.880 --> 00:06:32.400]  希律文說鹽可以將死的肉復活
[00:06:32.400 --> 00:06:35.760]  保存它的鮮味
[00:06:35.760 --> 00:06:39.760]  這個防腐就是作為基督徒
[00:06:39.760 --> 00:06:42.720]  在這個世代 這個世界
[00:06:42.720 --> 00:06:44.800]  這個世界有很多不同的人
[00:06:44.800 --> 00:06:46.480]  有很多不同的想法
[00:06:46.480 --> 00:06:49.680]  但基督徒只想一件事就是
[00:06:49.680 --> 00:06:52.560]  今天我成為主的滿途
[00:06:52.560 --> 00:06:59.200]  我就不要被外面不好的東西污染了
