
[00:00:00.000 --> 00:00:10.000]  (廣播中)
[00:00:10.000 --> 00:00:18.000]  我們的主人來到你面前,我們今晚去到接近這個營會的尾聲
[00:00:18.000 --> 00:00:24.000]  求你幫助我們在這個營會裏面,無論是透過講完
[00:00:24.000 --> 00:00:30.000]  無論是透過師哥或弟兄姐妹的分享,我們所學到的
[00:00:30.000 --> 00:00:35.000]  讓那些真理真的能夠成為我們生命的一部份
[00:00:35.000 --> 00:00:43.000]  讓我們離開這個營的時候,讓我們愛心真的有少少的增長
[00:00:43.000 --> 00:00:46.000]  無論多少也好,總之是有增長
[00:00:46.000 --> 00:00:49.000]  讓我們更加懂得去愛我們周圍的人
[00:00:49.000 --> 00:00:55.000]  父神今晚輕度的時間,求你繼續與我們同在,教導我們
[00:00:55.000 --> 00:00:58.000]  我們教託祷告奉耶穌基督名
[00:00:58.000 --> 00:01:09.000]  今天開始說哥林多前之十三章,最後就說到凡是盼望
[00:01:09.000 --> 00:01:18.000]  我覺得做基督徒,我們做盼望也是很重要的功課
[00:01:18.000 --> 00:01:21.000]  盼望與勇氣是分不開的
[00:01:21.000 --> 00:01:30.000]  盼望並不是想中馬錶,或者兒子可以進哈佛大學
[00:01:30.000 --> 00:01:34.000]  這些可能不是盼望,而是發白日夢
[00:01:34.000 --> 00:01:42.000]  盼望與發白日夢的分別,就是盼望是要付代價的
[00:01:42.000 --> 00:01:46.000]  盼望是要做一些你能做到的事
[00:01:46.000 --> 00:01:56.000]  盼望的意思是你相信明天會比今天好一些
[00:01:56.000 --> 00:02:00.000]  不是一些好高霧遠的事,不是說你明天會變成李嘉誠
[00:02:00.000 --> 00:02:03.000]  但即使變成李嘉誠也未必好
[00:02:03.000 --> 00:02:10.000]  盼望是相信生命中有一些好的事,你可以去發掘出來
[00:02:10.000 --> 00:02:19.000]  所以你願意付代價,不斷去盼望去做一些事
[00:02:19.000 --> 00:02:32.000]  有時要付出去祝福人,盼望是很重要的不可缺的東西
[00:02:32.000 --> 00:02:36.000]  昨晚我們說過傷害這個問題
[00:02:36.000 --> 00:02:43.000]  我想愛帶來的恐懼就是沒有盼望
[00:02:43.000 --> 00:02:49.000]  當我們沒有盼望的時候,我們就很難去愛,就會充滿恐懼
[00:02:49.000 --> 00:02:55.000]  我以前曾經提過會說三女的故事
[00:02:55.000 --> 00:02:58.000]  今晚開始這個時間跟你說三女的故事
[00:02:58.000 --> 00:03:03.000]  家中四個女人都教了我很多關於愛的事
[00:03:03.000 --> 00:03:07.000]  為什麼特別三女呢?
[00:03:07.000 --> 00:03:10.000]  其實你在YouTube也找到我
[00:03:10.000 --> 00:03:16.000]  在電視上拍過一個很短的15分鐘關於我的故事
[00:03:16.000 --> 00:03:18.000]  我三女什麼特別呢?
[00:03:18.000 --> 00:03:23.000]  我三女兩歲的時候發覺有自閉症
[00:03:23.000 --> 00:03:28.000]  誰知道她有自閉症,就是兩歲也不說話
[00:03:28.000 --> 00:03:33.000]  她看電視,一坐在那裡看兩個小時的電視
[00:03:33.000 --> 00:03:39.000]  我特意做了一個實驗,把她的電視機關掉
[00:03:39.000 --> 00:03:46.000]  她也照樣看,可以坐在那裡看兩個小時沒有聲音的電視機
[00:03:46.000 --> 00:03:52.000]  我覺得這個也不是正常的小朋友的行為表現
