
[00:00:00.000 --> 00:00:06.340]  多謝珮如姐妹你們的靈場
[00:00:06.340 --> 00:00:10.140]  預備我們的心一齊來敬拜靈聽神的說話
[00:00:10.140 --> 00:00:15.680]  又介紹我們很多首很有意思的詩歌
[00:00:15.680 --> 00:00:17.100]  對我們來說都是新的
[00:00:17.100 --> 00:00:18.600]  幸好有第一首
[00:00:18.600 --> 00:00:20.800]  耶穌愛我 我知道
[00:00:20.800 --> 00:00:22.520]  唱了很多年了
[00:00:22.520 --> 00:00:23.880]  會唱
[00:00:23.880 --> 00:00:36.680]  我們感恩慶祝撒旋四十週年的唐慶
[00:00:36.680 --> 00:00:42.440]  我提議我們用六次的講道
[00:00:42.440 --> 00:00:47.880]  來思想我們唐慶
[00:00:47.880 --> 00:00:56.880]  我們從何而始來講述數算主的恩典呢?
[00:00:56.880 --> 00:01:03.240]  在這個題目之下我們有六次的講道
[00:01:03.240 --> 00:01:05.240]  已經過了一半了
[00:01:05.240 --> 00:01:10.080]  用了上半的時間
[00:01:10.080 --> 00:01:20.480]  是和大家解釋為什麼我們教會叫基督教宣導會
[00:01:20.480 --> 00:01:24.480]  沙田堂的頭三分一
[00:01:24.480 --> 00:01:26.480]  為什麼我們不是天主教
[00:01:26.480 --> 00:01:29.280]  為什麼我們不是東正教
[00:01:29.280 --> 00:01:31.280]  為什麼我們是基督教
[00:01:31.280 --> 00:01:32.280]  我不重複了
[00:01:32.280 --> 00:01:38.280]  從使徒的直到地極
[00:01:38.280 --> 00:01:43.280]  教會不再集中在耶路撒冷一個地方
[00:01:43.280 --> 00:01:48.280]  再偉大也只是耶路撒冷教會
[00:01:48.280 --> 00:01:49.280]  不是的
[00:01:49.280 --> 00:01:55.280]  很快的福音傳到羅馬帝國第一世紀
[00:01:55.280 --> 00:02:00.280]  已經有口傳的歷史
[00:02:00.280 --> 00:02:06.280]  講到福音去到不列顛的島嶼
[00:02:06.280 --> 00:02:08.280]  今日的英國
[00:02:08.280 --> 00:02:13.280]  在羅馬帝國的邊陲地大
[00:02:13.280 --> 00:02:16.280]  我們也看過改革運動十六世紀
[00:02:16.280 --> 00:02:23.280]  馬丁路德呼籲不是外邦人歸主
[00:02:23.280 --> 00:02:30.280]  改革運動其實是呼籲虔誠的信徒
[00:02:30.280 --> 00:02:31.280]  信耶穌的人
[00:02:31.280 --> 00:02:37.280]  整個歐洲的教會迴轉
[00:02:37.280 --> 00:02:40.280]  我們時時翻譯為悔改
[00:02:40.280 --> 00:02:43.280]  我們就很安樂坐在那裏
[00:02:43.280 --> 00:02:45.280]  不關我的事
[00:02:45.280 --> 00:02:46.280]  他要悔改
