
[00:00:00.000 --> 00:00:02.000]  各位同學聖誕快樂
[00:00:02.000 --> 00:00:04.000]  聖誕快樂
[00:00:04.000 --> 00:00:06.000]  多謝你 多謝你
[00:00:06.000 --> 00:00:08.000]  聖誕快樂
[00:00:08.000 --> 00:00:12.000]  好好啊 我很佩服你唱歌這麼好聽
[00:00:12.000 --> 00:00:15.000]  特別懂得唱英文歌 很難得
[00:00:15.000 --> 00:00:17.000]  今天的題目不知道你喜不喜歡
[00:00:17.000 --> 00:00:21.000]  這個題目叫做「聖誕多麼好」
[00:00:21.000 --> 00:00:25.000]  你給多少分聖誕節呢
[00:00:25.000 --> 00:00:29.000]  我想是聖誕節的一部分
[00:00:29.000 --> 00:00:33.000]  我想小朋友會給得高分一點
[00:00:33.000 --> 00:00:35.000]  大人應該給得高分一點
[00:00:35.000 --> 00:00:39.000]  今天我希望我講25分鐘
[00:00:39.000 --> 00:00:41.000]  準時落堂
[00:00:41.000 --> 00:00:44.000]  其實今天講這個內容
[00:00:44.000 --> 00:00:47.000]  我真的給100分
[00:00:47.000 --> 00:00:48.000]  聖誕多麼好
[00:00:48.000 --> 00:00:50.000]  因為聖誕節對我來說
[00:00:50.000 --> 00:00:56.000]  是我爸爸在十幾年前洗禮
[00:00:56.000 --> 00:00:58.000]  在聖誕節
[00:00:58.000 --> 00:01:02.000]  他在我媽媽嫁給他之後
[00:01:02.000 --> 00:01:05.000]  他不信耶穌
[00:01:05.000 --> 00:01:09.000]  我媽媽就是祈禱50年
[00:01:09.000 --> 00:01:11.000]  第50年
[00:01:11.000 --> 00:01:14.000]  我爸爸在教會洗禮
[00:01:14.000 --> 00:01:16.000]  第50年
[00:01:16.000 --> 00:01:19.000]  在我中一的時候
[00:01:19.000 --> 00:01:21.000]  我爸爸就在聖誕節那天
[00:01:21.000 --> 00:01:24.000]  在我和媽媽去完禮拜堂
[00:01:24.000 --> 00:01:26.000]  回到家裡看到一張紙
[00:01:26.000 --> 00:01:30.000]  是我爸爸寫給我們的信
[00:01:30.000 --> 00:01:33.000]  是他要離開我們
