
[00:00:00.000 --> 00:00:05.880]  今晚我們進入約翰福音第三章
[00:00:05.880 --> 00:00:10.880]  這個時候耶穌已經開始傳道有一段日子
[00:00:10.880 --> 00:00:14.720]  他吸引了一個德高望重
[00:00:14.720 --> 00:00:19.280]  而且是十分熟悉舊約律法的法利賽人
[00:00:19.280 --> 00:00:21.840]  就是尼哥底姆
[00:00:21.840 --> 00:00:24.280]  這個很特別的人
[00:00:24.280 --> 00:00:28.880]  他是晚上來找耶穌來講信仰
[00:00:28.880 --> 00:00:36.560]  四卷福音書只有約翰福音記下了他們談話的內容
[00:00:36.560 --> 00:00:42.360]  約翰也在約翰福音第七章和第十九章
[00:00:42.360 --> 00:00:45.840]  有再提到尼哥底姆這個人
[00:00:45.840 --> 00:00:51.360]  整本聖經只有約翰福音這裡有提尼哥底姆
[00:00:51.360 --> 00:00:55.360]  在第三章就是我們今晚要查的
[00:00:55.360 --> 00:01:00.840]  耶穌和尼哥底姆談道和傳福音
[00:01:00.840 --> 00:01:10.680]  這段經文的故事相信大家在主一學或聽道都讀過聽過
[00:01:10.680 --> 00:01:13.960]  不過今晚我們要深入一點
[00:01:13.960 --> 00:01:19.680]  來明白耶穌和尼哥底姆怎樣解釋舊因
[00:01:19.680 --> 00:01:24.800]  由於這段經文是耶穌親自解釋
[00:01:24.800 --> 00:01:30.440]  罪人怎樣能夠和聖潔的神建立關係
[00:01:30.440 --> 00:01:34.080]  所以我們一定要細心探討
[00:01:34.080 --> 00:01:40.360]  因為這是和你和我得救而有切身的關係
[00:01:40.360 --> 00:01:46.240]  也和我們和別人傳福音的時候很有關係
[00:01:46.240 --> 00:01:50.400]  今晚我們要看十七節的經文
[00:01:50.400 --> 00:01:56.000]  我將第三章一至十七節分成七個部分
[00:01:56.000 --> 00:02:00.880]  在講義上是由A至G 總共有七個部分
[00:02:00.880 --> 00:02:04.880]  首先我們要認識尼哥底姆這個人
[00:02:04.880 --> 00:02:09.040]  然後耶穌一開始提到「重生」
[00:02:09.040 --> 00:02:12.440]  究竟「重生」是指甚麼呢?
[00:02:12.440 --> 00:02:19.800]  第三「重生」是耶穌說是水和聖靈生的
[00:02:19.800 --> 00:02:21.800]  到底是指甚麼呢?
[00:02:21.800 --> 00:02:26.760]  第四 耶穌提到聖靈的工作有甚麼特點呢?
[00:02:26.760 --> 00:02:31.000]  第五 耶穌解釋這個舊因
[00:02:31.000 --> 00:02:35.280]  他自己有甚麼資格或權威
[00:02:35.280 --> 00:02:40.120]  令尼哥底姆應該信服呢?
[00:02:40.120 --> 00:02:43.560]  今天我們應該信耶穌所說的
[00:02:43.560 --> 00:02:46.840]  他有甚麼資格和權威呢?
[00:02:46.840 --> 00:02:51.480]  第六 神是如何來成就這個舊因呢?
[00:02:51.480 --> 00:02:54.880]  耶穌在這裡特別提到一件歷史上
[00:02:54.880 --> 00:02:57.280]  是猶太人都知道的往事
[00:02:57.280 --> 00:03:00.360]  就是摩西在曠野舉起銅蛇
[00:03:00.360 --> 00:03:03.560]  這個和舊因有甚麼關係呢?
[00:03:03.560 --> 00:03:06.680]  最後我們要探討的是
[00:03:06.680 --> 00:03:09.880]  耶穌和尼哥底姆傳福音
[00:03:09.880 --> 00:03:11.880]  尼哥底姆有否信耶穌呢?
[00:03:11.880 --> 00:03:16.600]  很多時候我們會想
[00:03:16.600 --> 00:03:20.600]  耶穌和他傳福音一定可以
[00:03:20.600 --> 00:03:22.600]  他一定會改得舊
[00:03:22.600 --> 00:03:24.600]  是嗎?我們一會兒來看
[00:03:24.600 --> 00:03:29.240]  現在我們要進入約翰福音第三章一至十七節
[00:03:29.240 --> 00:03:32.920]  我們首先認識尼哥底姆這個人
[00:03:32.920 --> 00:03:35.960]  我讀第一第二節和第十節
