
[00:00:00.000 --> 00:00:02.000]  給姐妹平安
[00:00:02.000 --> 00:00:05.340]  原主耶穌基督的恩惠
[00:00:05.340 --> 00:00:08.840]  常與你們眾人同在
[00:00:08.840 --> 00:00:10.840]  (對)
[00:00:10.840 --> 00:00:14.840]  厲害 浸信會也懂得回應
[00:00:14.840 --> 00:00:16.840]  (對)
[00:00:16.840 --> 00:00:20.340]  我們這一生
[00:00:20.340 --> 00:00:22.340]  不過是一個啞器
[00:00:22.340 --> 00:00:26.840]  是用泥土
[00:00:26.840 --> 00:00:32.840]  造成必死的生命
[00:00:32.840 --> 00:00:35.840]  但是卻顯出神莫大的能力
[00:00:35.840 --> 00:00:39.840]  並且聖經提醒我們
[00:00:39.840 --> 00:00:41.840]  若我們甘心
[00:00:41.840 --> 00:00:45.840]  完全被上帝使用
[00:00:45.840 --> 00:00:48.840]  分別為聖
[00:00:48.840 --> 00:00:52.840]  歸耶和華為聖
[00:00:52.840 --> 00:00:53.840]  我們再說
[00:00:53.840 --> 00:00:56.840]  這不是說犯罪的問題
[00:00:56.840 --> 00:01:01.840]  那些是初訓做就班已經說清楚了
[00:01:01.840 --> 00:01:02.840]  現在說的是
[00:01:02.840 --> 00:01:06.840]  你的生命放在誰的手中
[00:01:06.840 --> 00:01:08.840]  是否成為貴重
[00:01:08.840 --> 00:01:15.840]  能夠讓上帝任憑主用
[00:01:15.840 --> 00:01:17.840]  合乎主用
[00:01:17.840 --> 00:01:22.840]  今晚我想用短短的時間
[00:01:22.840 --> 00:01:24.840]  我們有主餐
[00:01:24.840 --> 00:01:26.840]  所以不可以長期
[00:01:26.840 --> 00:01:28.840]  但我想和你很快速地看
[00:01:28.840 --> 00:01:32.840]  五個舊約聖經的人物
[00:01:32.840 --> 00:01:34.840]  這麼多
[00:01:34.840 --> 00:01:36.840]  是呀 《藤木詩講道》還有七點
[00:01:36.840 --> 00:01:39.840]  我已經少了兩點了
[00:01:39.840 --> 00:01:41.840]  但我想告訴你
[00:01:41.840 --> 00:01:45.840]  神所用的生命不是樣板
[00:01:45.840 --> 00:01:48.840]  不是只有一種
[00:01:48.840 --> 00:01:51.840]  華人教會過去時時都以為獻心會
[00:01:51.840 --> 00:01:54.840]  到最後做全時間奉獻
[00:01:54.840 --> 00:01:57.840]  那個才是最高級的
[00:01:57.840 --> 00:02:00.840]  聖經不是這樣說的
[00:02:00.840 --> 00:02:08.840]  這五個人物生在同一個悲慘的年代
[00:02:08.840 --> 00:02:18.840]  就是以色列猶大亡國被擄的年代
[00:02:18.840 --> 00:02:23.840]  但這五個人物都在舊約聖經當中
