
[00:00:00.000 --> 00:00:09.000]  願一位平安 同我天父 令主耶穌基督 歸每位靈姐妹
[00:00:09.000 --> 00:00:12.200]  大家好 今天崇拜
[00:00:12.200 --> 00:00:16.000]  我想和大家思想希伯來書
[00:00:16.000 --> 00:00:19.500]  一段不容易明白的經文
[00:00:19.500 --> 00:00:24.000]  我覺得對今天來說是一個很重要的經文
[00:00:24.000 --> 00:00:29.000]  剛才已經有弟兄和我們讀了
[00:00:29.000 --> 00:00:32.000]  希伯來書四章一到十一節
[00:00:32.000 --> 00:00:36.000]  經文其實是跟著三章的
[00:00:36.000 --> 00:00:42.000]  所以我要讀第三章 這樣就完整了整個訊息
[00:00:42.000 --> 00:00:47.000]  第三章 你聽我讀就行了
[00:00:47.000 --> 00:00:50.000]  希伯來書三章第七節
[00:00:50.000 --> 00:00:55.000]  聖靈有話說 你們今日若聽他的話
[00:00:55.000 --> 00:00:59.000]  就幫我硬著心在座看他 也他法律
[00:00:59.000 --> 00:01:02.000]  試探他的時候 一樣
[00:01:02.000 --> 00:01:07.000]  他在那裡 你們的祖宗試探我 並且觀看我的作為
[00:01:07.000 --> 00:01:11.000]  有四十年之久 所以我厭煩那世代的人
[00:01:11.000 --> 00:01:16.000]  說他們心裡常常迷糊 竟不曉得我的作為
[00:01:16.000 --> 00:01:20.000]  我就在路中起誓說 他們斷不可進入我安息
[00:01:20.000 --> 00:01:22.000]  弟兄們 你們要謹慎
[00:01:22.000 --> 00:01:26.000]  免得你們中間或有人存著不信的惡心
[00:01:26.000 --> 00:01:29.000]  我永生神離棄了
[00:01:29.000 --> 00:01:32.000]  總要趁著今天天天彼此相勸
[00:01:32.000 --> 00:01:35.000]  免得你們中間有人被罪迷惑
[00:01:35.000 --> 00:01:37.000]  心裡就剛硬了
[00:01:37.000 --> 00:01:41.000]  我未有將起初確實的信心堅持到底
[00:01:41.000 --> 00:01:43.000]  就在基督裡有分了
[00:01:43.000 --> 00:01:46.000]  經上說 你們今日若聽他的話
[00:01:46.000 --> 00:01:50.000]  就幫我硬著心 在他法律的日子一樣
[00:01:50.000 --> 00:01:54.000]  那時聽見他惹得法律的是誰呢?
[00:01:54.000 --> 00:01:59.000]  豈不是跟著摩西從埃及出來的眾人嗎?
