
[00:00:00.000 --> 00:00:05.000]  弟兄姐妹 祖内平安
[00:00:05.000 --> 00:00:11.000]  我要谢谢长老容许我可以脱下口罩
[00:00:11.000 --> 00:00:17.000]  讲到这样自由 释放很多 谢谢
[00:00:17.000 --> 00:00:26.000]  今天我们一同来念的很短的经文
[00:00:26.000 --> 00:00:38.000]  三文记三十四章 但这却是五经最后的结论
[00:00:38.000 --> 00:00:51.000]  这里对摩西的一个崇高的 怎么说 概观论定
[00:00:51.000 --> 00:00:57.000]  总结摩西的一生跟他的师父
[00:00:57.000 --> 00:01:06.000]  不容易翻译的一段希伯来文的记载
[00:01:06.000 --> 00:01:17.000]  所以十六年前冯相博士出版他的五经翻译的时候
[00:01:17.000 --> 00:01:24.000]  他特别指出这一段经文不容易翻译
[00:01:24.000 --> 00:01:32.000]  他的翻译是从此以色列再没有出过一位先知
[00:01:32.000 --> 00:01:38.000]  能够如摩西一样蒙耶和华选照
[00:01:38.000 --> 00:01:41.000]  面对面成教
[00:01:41.000 --> 00:01:50.000]  奉耶和华太前在埃及向法老及全国臣民
[00:01:50.000 --> 00:01:55.000]  降下种种神迹与证照
[00:01:55.000 --> 00:02:02.000]  并且如同摩西在全以色列眼前举手
[00:02:02.000 --> 00:02:09.000]  展示如此大力而可谓至极
[00:02:09.000 --> 00:02:16.000]  的确他的中文水平比我们和合本要高很多
[00:02:16.000 --> 00:02:19.000]  我们还需要努力
[00:02:19.000 --> 00:02:24.000]  在这里他有一个叉注
[00:02:24.000 --> 00:02:31.000]  本来我预备的时候应该这个叉注是用小一点的字体
[00:02:31.000 --> 00:02:35.000]  不知为什么现在跟经文一样了
[00:02:35.000 --> 00:02:40.000]  他在面对面成教这句话后面
[00:02:40.000 --> 00:02:50.000]  他说我们可以参考出埃及记跟明书记的两节经文
[00:02:50.000 --> 00:02:56.000]  这就是面对面的处处
[00:02:56.000 --> 00:03:03.000]  为什么经文会这样讲摩西跟耶和华之间的关系
[00:03:03.000 --> 00:03:07.000]  是一个面对面的关系呢
[00:03:07.000 --> 00:03:13.000]  我们可以看在明书记十二章那里记载
[00:03:13.000 --> 00:03:16.000]  是上帝自己的话
[00:03:16.000 --> 00:03:21.000]  耶和华说我的仆人摩西不是这样
[00:03:21.000 --> 00:03:25.000]  他在我全家尽忠
[00:03:25.000 --> 00:03:30.000]  我要与他面对面说话
[00:03:30.000 --> 00:03:34.000]  乃是明说不用谜语
[00:03:34.000 --> 00:03:39.000]  并且他一见我的形象
[00:03:39.000 --> 00:03:49.000]  这句话是回应摩西的哥哥与姐姐对他的一个伪报
[00:03:49.000 --> 00:03:55.000]  所以最后结束的时候上帝就警告他们
[00:03:55.000 --> 00:04:03.000]  说你们伪报我的仆人摩西为何不懂得惧怕呢
[00:04:03.000 --> 00:04:09.000]  这里讲的面对面说话
[00:04:09.000 --> 00:04:13.000]  其实不是字面的意思
[00:04:13.000 --> 00:04:18.000]  你说上帝讲他一见我的形象
[00:04:18.000 --> 00:04:20.000]  那还不是面对面吗
[00:04:20.000 --> 00:04:24.000]  我们记得上帝也跟摩西讲过
[00:04:24.000 --> 00:04:28.000]  你不可能见我的面
[00:04:28.000 --> 00:04:31.000]  人见上帝的面
[00:04:31.000 --> 00:04:36.000]  后果是什么我们都知道
[00:04:36.000 --> 00:04:39.000]  所以这里是一个比喻
[00:04:39.000 --> 00:04:41.000]  比喻什么呢
[00:04:41.000 --> 00:04:50.000]  就是上帝跟摩西讲话是明说不用谜语
[00:04:50.000 --> 00:04:53.000]  上帝很喜欢用谜语讲话吗
[00:04:53.000 --> 00:04:58.000]  不 真理常常需要用比喻
[00:04:58.000 --> 00:05:01.000]  不然的话我们很难明白
[00:05:01.000 --> 00:05:09.000]  但这里说我与摩西讲话是字节明说
[00:05:09.000 --> 00:05:11.000]  不需要用比喻
[00:05:11.000 --> 00:05:15.000]  其实希伯来文这一句话呢
[00:05:15.000 --> 00:05:18.000]  不应该翻译作面对面的
[00:05:18.000 --> 00:05:23.000]  本来这个很难翻译
[00:05:23.000 --> 00:05:26.000]  所以我翻过不同的中文译本
[00:05:26.000 --> 00:05:29.000]  都是翻译面对面
[00:05:29.000 --> 00:05:33.000]  希伯来文其实是口对口
[00:05:33.000 --> 00:05:37.000]  跟心理学没有任何的关系
[00:05:37.000 --> 00:05:40.000]  因为从前有一本心理学的书
[00:05:40.000 --> 00:05:43.000]  讲什么I am OK you are OK
[00:05:43.000 --> 00:05:44.000]  如果你看过的话
[00:05:44.000 --> 00:05:48.000]  你大概会知道这个mouth to mouth
[00:05:48.000 --> 00:05:49.000]  head to head
[00:05:49.000 --> 00:05:51.000]  heart to heart
[00:05:51.000 --> 00:05:56.000]  三个不同的level层次的关系
[00:05:56.000 --> 00:05:59.000]  希伯来文化没有心理学
[00:05:59.000 --> 00:06:04.000]  但这里口对口的一个讲法
[00:06:04.000 --> 00:06:06.000]  在明书记出现
[00:06:06.000 --> 00:06:09.000]  就是明说我跟你说话
[00:06:09.000 --> 00:06:11.000]  不需要拐弯
