
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹午安
[00:00:02.000 --> 00:00:04.000]  祝福大家聖誕節快樂
[00:00:04.000 --> 00:00:08.000]  張琳琦我們每一個人都期待耶穌基督的降臨
[00:00:08.000 --> 00:00:10.000]  祂洗淨我們的罪
[00:00:10.000 --> 00:00:12.000]  祂的光照亮我們的黑暗
[00:00:12.000 --> 00:00:14.000]  驅走我們的仇恨
[00:00:14.000 --> 00:00:19.000]  讓我們的城市再次看見盼望
[00:00:19.000 --> 00:00:21.000]  我們一起祈禱
[00:00:21.000 --> 00:00:24.000]  慈悲仁愛的天父我們仰望你
[00:00:24.000 --> 00:00:26.000]  我們明白
[00:00:26.000 --> 00:00:30.000]  我們深深知道我們本是罪人
[00:00:30.000 --> 00:00:34.000]  但是你從灰塵裡提拔貧寒人
[00:00:34.000 --> 00:00:38.000]  從糞堆中提拔你所選超的人
[00:00:38.000 --> 00:00:42.000]  與王子同坐就是與本國的王子同坐
[00:00:42.000 --> 00:00:44.000]  我們認定我們本身是罪人
[00:00:44.000 --> 00:00:46.000]  但是我們蒙恩
[00:00:46.000 --> 00:00:47.000]  我們得著拯救
[00:00:47.000 --> 00:00:49.000]  我們脫離遺老之家
[00:00:49.000 --> 00:00:51.000]  我們竟然成為你的兒女
[00:00:51.000 --> 00:00:52.000]  是你
[00:00:52.000 --> 00:00:54.000]  即是我們本身是罪人
[00:00:54.000 --> 00:00:55.000]  是你
[00:00:55.000 --> 00:00:57.000]  即是我們莫大的恩典
[00:00:57.000 --> 00:01:00.000]  所以我們今天坐在你的聖殿
[00:01:00.000 --> 00:01:02.000]  聆聽你的聖言
[00:01:02.000 --> 00:01:03.000]  我們祈求主
[00:01:03.000 --> 00:01:06.000]  你幫我們不只是增加頭腦的知識
[00:01:06.000 --> 00:01:07.000]  主啊
[00:01:07.000 --> 00:01:11.000]  我們期待生命的改變在這裡發生
[00:01:11.000 --> 00:01:15.000]  以馬內里的上帝與我們同在永恆不變
[00:01:15.000 --> 00:01:18.000]  求主你讓我們的心都對你永恆不變
[00:01:18.000 --> 00:01:20.000]  那份愛
[00:01:20.000 --> 00:01:21.000]  那份尊崇
[00:01:21.000 --> 00:01:26.000]  那份願意遵命的淺恆
