
[00:00:00.000 --> 00:00:08.000]  今天要和大家分享一個非常重要的訊息
[00:00:08.000 --> 00:00:10.000]  是很重要的
[00:00:10.000 --> 00:00:15.000]  每一個基督徒都應該被聖靈充滿
[00:00:15.000 --> 00:00:20.000]  但是一般的基督徒都不知道什麼叫做被聖靈充滿
[00:00:20.000 --> 00:00:26.000]  所以今天的題目就是什麼叫做聖靈充滿
[00:00:26.000 --> 00:00:30.000]  保羅在說被聖靈充滿之前
[00:00:30.000 --> 00:00:34.000]  他是先說如何能夠走在智慧的裡面
[00:00:34.000 --> 00:00:39.000]  被聖靈充滿就是能夠走在智慧的裡面
[00:00:39.000 --> 00:00:43.000]  在《經文耳筆》所書的五章十五至十七節
[00:00:43.000 --> 00:00:48.000]  經文說:你們要謹慎行事,不要仗愚昧人
[00:00:48.000 --> 00:00:54.000]  當仗智慧人,要愛惜光陰,因為現今的世代邪惡
[00:00:54.000 --> 00:00:59.000]  不要作糊塗人,要明白主的旨意如何
[00:00:59.000 --> 00:01:05.000]  保羅說出了三點如何能夠走在智慧的裡面
[00:01:05.000 --> 00:01:09.000]  第一點他說不要像愚昧人一樣
[00:01:09.000 --> 00:01:13.000]  第二點他教我們要愛惜光陰
[00:01:13.000 --> 00:01:18.000]  第三點他說我們要尋求神的旨意
[00:01:18.000 --> 00:01:20.000]  我們先看看第一點
[00:01:20.000 --> 00:01:22.000]  就是不要仗愚昧人
[00:01:22.000 --> 00:01:28.000]  聖經告訴我們我們每一個人在我們出生的時候
[00:01:28.000 --> 00:01:31.000]  就已經是罪人
[00:01:31.000 --> 00:01:34.000]  我們每個人生出來都是愚昧人
[00:01:34.000 --> 00:01:38.000]  在《針研》二十二章十五節
[00:01:38.000 --> 00:01:41.000]  經文說:愚夢迷住孩童的心
[00:01:41.000 --> 00:01:47.000]  我們每個人生出來就是被愚夢迷住我們的心
[00:01:47.000 --> 00:01:53.000]  所以《針研》有很多關於愚昧人、愚夢人的教導
[00:01:53.000 --> 00:01:56.000]  我們說《針研》的系列我們都說過
[00:01:56.000 --> 00:02:00.000]  《針研》一開始一章七節已經告訴我們
[00:02:00.000 --> 00:02:04.000]  經威耶和華是知識的開端
[00:02:04.000 --> 00:02:07.000]  愚妄人藐視智慧和分配
[00:02:07.000 --> 00:02:10.000]  我們生出來都是愚妄人
[00:02:10.000 --> 00:02:12.000]  直至我們接受耶穌基督
[00:02:12.000 --> 00:02:15.000]  提摩太后書的三章十五節
[00:02:15.000 --> 00:02:18.000]  說有得救的智慧
[00:02:18.000 --> 00:02:23.000]  我們要得到得救的智慧才能夠接受耶穌基督
[00:02:23.000 --> 00:02:27.000]  才能夠成為一個有智慧的人
[00:02:27.000 --> 00:02:29.000]  相對來說世人是怎樣呢?
[00:02:29.000 --> 00:02:32.000]  詩篇十四篇的第一節說
[00:02:32.000 --> 00:02:35.000]  愚幻人心裡說沒有神
[00:02:35.000 --> 00:02:39.000]  世上的人說沒有神他們是愚幻、愚夢
[00:02:39.000 --> 00:02:42.000]  我們得到得救的智慧
[00:02:42.000 --> 00:02:45.000]  我們才能夠接受耶穌基督
[00:02:45.000 --> 00:02:48.000]  當我們接受了耶穌基督之後
[00:02:48.000 --> 00:02:53.000]  我們就由愚昧人成為一個有智慧的人
[00:02:53.000 --> 00:02:57.000]  但我們需要將這個智慧走出來
[00:02:57.000 --> 00:03:00.000]  一般的基督徒都很有知識
[00:03:00.000 --> 00:03:02.000]  很有屬靈的知識
[00:03:02.000 --> 00:03:05.000]  但很可惜他們都走不出來
[00:03:05.000 --> 00:03:11.000]  猶太人對知識這個字的意念和我們很不同
[00:03:11.000 --> 00:03:16.000]  猶太人知道知識不是只是腦裡的知識
