
[00:00:00.000 --> 00:00:08.000]  上一次其實已經和大家開始了約書亞記
[00:00:08.000 --> 00:00:11.000]  我們講了約書亞記的介紹
[00:00:11.000 --> 00:00:13.000]  今天要講第一章
[00:00:13.000 --> 00:00:16.000]  其實今天的訊息都頗應節
[00:00:16.000 --> 00:00:20.000]  剛才我們都聽見 Lee 和 Cindy 說
[00:00:20.000 --> 00:00:24.000]  剛強壯膽在新的一年我們怎樣能夠學習
[00:00:24.000 --> 00:00:27.000]  剛強壯膽是有堅強的信心
[00:00:27.000 --> 00:00:32.000]  上一次和大家講了約書亞記的背景
[00:00:32.000 --> 00:00:34.000]  摩西已經去世
[00:00:34.000 --> 00:00:39.000]  約書亞承繼摩西成為以色列人的領袖
[00:00:39.000 --> 00:00:43.000]  要帶領以色列人進入迦南地應許之地
[00:00:43.000 --> 00:00:46.000]  其實這是一個很艱難的任務
[00:00:46.000 --> 00:00:52.000]  要成為以色列人的領袖已經不是一件容易的事
[00:00:52.000 --> 00:00:55.000]  還要成為摩西的接班人
[00:00:55.000 --> 00:01:00.000]  你想想摩西在以色列人心目中是一個多偉大的領袖
[00:01:00.000 --> 00:01:05.000]  你要成為一個這麼偉大的領袖的接班人談何容易
[00:01:05.000 --> 00:01:10.000]  雖然我們等會會見到摩西都有他失敗的地方
[00:01:10.000 --> 00:01:14.000]  但不失為一個偉大的領袖
[00:01:14.000 --> 00:01:16.000]  我們一起來看看
[00:01:16.000 --> 00:01:22.000]  神的確能夠興起一個合他心意的摩西的接班人
[00:01:22.000 --> 00:01:25.000]  在約書亞記24章31節
[00:01:25.000 --> 00:01:28.000]  約書亞記差不多最後的部分
[00:01:28.000 --> 00:01:32.000]  經文說:約書亞在世和約書亞死後
[00:01:32.000 --> 00:01:38.000]  那些知道耶和華為以色列人所行諸事的長老
[00:01:38.000 --> 00:01:42.000]  還在的時候以色列人侍奉耶和華
[00:01:42.000 --> 00:01:47.000]  無論約書亞在世或他已經去世
[00:01:47.000 --> 00:01:57.000]  只要那些曾經見過神怎樣在以色列人身上有神跡騎士的長老還在的時候
[00:01:57.000 --> 00:02:02.000]  以色列人都會盡心侍奉耶和華
[00:02:02.000 --> 00:02:07.000]  這是在樹摩西的時候我們沒有見到的
[00:02:07.000 --> 00:02:16.000]  我們一起來看看神怎樣興起約書亞成為一個剛強壯大有堅強信心的人
[00:02:16.000 --> 00:02:20.000]  今天會跟大家看一共有六點
[00:02:20.000 --> 00:02:25.000]  第一點要成為一個剛強壯大有堅強信心的人
[00:02:25.000 --> 00:02:30.000]  是要首先知道神在我們身上的旨意
[00:02:30.000 --> 00:02:36.000]  約書亞是清楚明白神在以色列人身上的旨意
[00:02:36.000 --> 00:02:39.000]  在約書亞記的1章1至3節
[00:02:39.000 --> 00:02:48.000]  「耶和華的僕人摩西死了以後,耶和華曉遇摩西的幫手,亂的兒子約書亞說:
[00:02:48.000 --> 00:02:55.000]  我的僕人摩西死了,現在你要起來,和眾百姓過者約旦河,
[00:02:55.000 --> 00:03:01.000]  往我所要賜給以色列人的地去,凡你腳掌所踏之地,
[00:03:01.000 --> 00:03:06.000]  我都照著我所應許摩西的話賜給你們了。」
[00:03:06.000 --> 00:03:10.000]  神很清楚給約書亞的指示
[00:03:10.000 --> 00:03:18.000]  你要起來,你要過約旦河,去到應許之地,凡你腳踏足之地,
