
[00:00:00.000 --> 00:00:06.200]  我會用三次講道的時間
[00:00:06.200 --> 00:00:08.900]  在聖經裏面一起來思想
[00:00:08.900 --> 00:00:14.800]  人的怒氣並不成就神的義這個主題
[00:00:14.800 --> 00:00:18.200]  我選這個題目
[00:00:18.200 --> 00:00:19.600]  我心裏有這個負擔
[00:00:19.600 --> 00:00:26.200]  是因為我看見在這個今天令人很失望和憤怒的時代
[00:00:26.200 --> 00:00:30.400]  我們看見越來越多令我們失望的事
[00:00:30.400 --> 00:00:33.400]  又碰到很多令我們失望的人
[00:00:33.400 --> 00:00:35.400]  有時我們都忍不住
[00:00:35.400 --> 00:00:37.400]  我們有我們的怒氣
[00:00:37.400 --> 00:00:39.400]  但是我發覺
[00:00:39.400 --> 00:00:44.600]  我們對生活上的一些不滿
[00:00:44.600 --> 00:00:46.600]  和我們發怨言
[00:00:46.600 --> 00:00:50.600]  或者慢慢變成我們的常態
[00:00:50.600 --> 00:00:52.600]  這個就很危險
[00:00:52.600 --> 00:00:55.600]  就好像以色列人在抗野一樣
[00:00:55.600 --> 00:01:00.600]  對神的埋怨成為他們的常態
[00:01:00.600 --> 00:01:02.600]  甚麼都是埋怨
[00:01:02.600 --> 00:01:06.600]  有時發覺你和我都會變成這樣
[00:01:06.600 --> 00:01:11.600]  我恐怕這個就是令我們很擔憂的地方
[00:01:11.600 --> 00:01:16.600]  我看見我們發怒這件事成為越來越普遍
[00:01:16.600 --> 00:01:18.600]  也都越嚴重的罪
[00:01:18.600 --> 00:01:23.600]  我希望我自己這幾個分享我的負擔
[00:01:23.600 --> 00:01:25.600]  和大家一起在聖經裏看
[00:01:25.600 --> 00:01:30.600]  成為我可以敲響的警鐘
[00:01:30.600 --> 00:01:36.600]  讓我們在這個末世重見基督徒應有的形象
[00:01:36.600 --> 00:01:39.600]  今天我們來到第三講
[00:01:39.600 --> 00:01:42.600]  我很想從一個正面的角度
[00:01:42.600 --> 00:01:45.600]  是看看我們基督徒的美德
[00:01:45.600 --> 00:01:49.600]  怎樣去抗衡我們的憤怒
[00:01:49.600 --> 00:01:52.600]  我們發怒的陷阱和罪
[00:01:52.600 --> 00:01:57.600]  我們用了兩次都否釋了和聖經的真理
[00:01:57.600 --> 00:02:05.600]  看了我們在怒氣、憤怒、埋怨的習慣裏
[00:02:05.600 --> 00:02:09.600]  我們所產生出來的危險和罪
[00:02:09.600 --> 00:02:12.600]  今天我想轉一個角度
[00:02:12.600 --> 00:02:13.600]  從正面的角度
[00:02:13.600 --> 00:02:14.600]  為甚麼呢?
[00:02:14.600 --> 00:02:19.600]  我相信如果你曾經有兩次一起分享這個訊息
[00:02:19.600 --> 00:02:21.600]  你都記得我曾經提過
[00:02:21.600 --> 00:02:24.600]  今天我們讀這段聖經讀了這麼長
[00:02:24.600 --> 00:02:26.600]  加拉太書第五章
[00:02:26.600 --> 00:02:31.600]  大家最熟悉的就是第22節和第23節
[00:02:31.600 --> 00:02:34.600]  那裏說到有九個聖靈所結的果子
[00:02:34.600 --> 00:02:35.600]  很美麗的
[00:02:35.600 --> 00:02:39.600]  我們作為基督徒我們自己都嚮往這些美德
[00:02:39.600 --> 00:02:41.600]  這九樣的美德
[00:02:41.600 --> 00:02:43.600]  不過我曾經提過
[00:02:43.600 --> 00:02:44.600]  今天我要再說一次
[00:02:44.600 --> 00:02:47.600]  我們千萬不要忘記聖經
[00:02:47.600 --> 00:02:52.600]  神自己刻意將一個對比放在我們面前
[00:02:52.600 --> 00:02:55.600]  最美麗的美德就好像一個三文治
[00:02:55.600 --> 00:02:58.600]  之前那段聖經和之後那段聖經
[00:02:58.600 --> 00:03:02.600]  都說了一個剛剛相反的強烈的對比
[00:03:02.600 --> 00:03:03.600]  聖經說得很明白
[00:03:03.600 --> 00:03:06.600]  他說我們這些聖靈所結的果子這麼美麗
[00:03:06.600 --> 00:03:15.600]  是因為我們要將這些果子和肉體的絲肉對立起來
[00:03:15.600 --> 00:03:17.600]  肉體的絲肉
[00:03:17.600 --> 00:03:19.600]  我曾經和大家讀過
[00:03:19.600 --> 00:03:21.600]  剛才我們讀的時候你們都會留意
[00:03:21.600 --> 00:03:23.600]  數了很多很多的內容
[00:03:23.600 --> 00:03:24.600]  肉體的事
[00:03:24.600 --> 00:03:28.600]  包括了淫亂互惠等等
[00:03:28.600 --> 00:03:29.600]  不過讀到中間的時候
[00:03:29.600 --> 00:03:33.600]  你會發覺也都包括了仇恨
[00:03:33.600 --> 00:03:34.600]  憎恨
[00:03:34.600 --> 00:03:35.600]  忌恨
[00:03:35.600 --> 00:03:36.600]  憤怒
[00:03:36.600 --> 00:03:38.600]  這些的東西
[00:03:38.600 --> 00:03:41.600]  就是說這些的表現
[00:03:41.600 --> 00:03:47.600]  仍然成為我們和聖靈的生活對立的地方
[00:03:47.600 --> 00:03:54.600]  我們已經不要再說今天是關於肉體這些的錯誤
[00:03:54.600 --> 00:03:58.600]  但是我們一定要從一個正面的去建立
[00:03:58.600 --> 00:04:01.600]  一些和它抗衡的美德
[00:04:01.600 --> 00:04:05.600]  當然這九個聖靈所結的果子
[00:04:05.600 --> 00:04:07.600]  也都不是今天我們能夠說得完
[00:04:07.600 --> 00:04:08.600]  是不是
[00:04:08.600 --> 00:04:11.600]  所以我特別在當中選了四個
[00:04:11.600 --> 00:04:13.600]  等一下說下去你們會看到
[00:04:13.600 --> 00:04:17.600]  特別是和憤怒
[00:04:17.600 --> 00:04:19.600]  怒氣
[00:04:19.600 --> 00:04:21.600]  對立抗衡的美德
[00:04:21.600 --> 00:04:23.600]  這四樣我選了出來
[00:04:23.600 --> 00:04:25.600]  和大家一起來思想的
[00:04:25.600 --> 00:04:27.600]  就是忍耐
[00:04:27.600 --> 00:04:28.600]  節制
[00:04:28.600 --> 00:04:30.600]  恩慈
[00:04:30.600 --> 00:04:31.600]  和溫柔
[00:04:31.600 --> 00:04:33.600]  這四樣的美德
[00:04:33.600 --> 00:04:35.600]  這四樣美德
[00:04:35.600 --> 00:04:37.600]  當我們說下去的時候你會發覺
[00:04:37.600 --> 00:04:39.600]  如果我們建立這四樣的美德
[00:04:39.600 --> 00:04:42.600]  就能夠讓我們在這個末世
[00:04:42.600 --> 00:04:44.600]  在我們這樣的挑戰底下
[00:04:44.600 --> 00:04:46.600]  去抗衡我們怒氣
[00:04:46.600 --> 00:04:50.600]  而可以成就神的義
[00:04:50.600 --> 00:04:53.600]  這個就成為我們今天最後一次
[00:04:53.600 --> 00:04:54.600]  我們的總結
[00:04:54.600 --> 00:04:57.600]  從一個正面的角度去建立這些的美德
[00:04:57.600 --> 00:05:00.600]  當我們思想這四個的
[00:05:00.600 --> 00:05:02.600]  屬靈的美德的時候
[00:05:02.600 --> 00:05:06.600]  我想今天和兩個大方面和大家一起思想
[00:05:06.600 --> 00:05:07.600]  不難記的
[00:05:07.600 --> 00:05:08.600]  希望我們能夠記得
[00:05:08.600 --> 00:05:10.600]  而且我真的很想
[00:05:10.600 --> 00:05:11.600]  我也提醒我自己
[00:05:11.600 --> 00:05:14.600]  今天我們大家一起來去看神的話
[00:05:14.600 --> 00:05:15.600]  不是我講道給你們聽
[00:05:15.600 --> 00:05:17.600]  不是我教訓你們
[00:05:17.600 --> 00:05:20.600]  今天我們每一個人都讓神的說話去教訓自己
[00:05:20.600 --> 00:05:22.600]  去要求自己
[00:05:22.600 --> 00:05:24.600]  我們不單單是知道聖經怎麼說
[00:05:24.600 --> 00:05:26.600]  讓這些聖經的說話
[00:05:26.600 --> 00:05:29.600]  成為你不斷對自己的挑戰
[00:05:29.600 --> 00:05:30.600]  我也是這樣
[00:05:30.600 --> 00:05:33.600]  我和你一起來走這條路
[00:05:33.600 --> 00:05:34.600]  這兩個部分
[00:05:34.600 --> 00:05:37.600]  第一部分我們先回到神那裡
[00:05:37.600 --> 00:05:40.600]  為什麼我們要這樣說呢
[00:05:40.600 --> 00:05:46.600]  因為原來當我們去深入去看這幾個的美德的時候
[00:05:46.600 --> 00:05:49.600]  當然這幾個美德就是聖經裡面說到
[00:05:49.600 --> 00:05:52.600]  我們基督徒應有的美德的描述
[00:05:52.600 --> 00:05:56.600]  不過其實這四個的美德裡面
[00:05:56.600 --> 00:05:58.600]  如果你看回原文
[00:05:58.600 --> 00:06:02.600]  就是說原來希伯來文和希臘文的時候
[00:06:02.600 --> 00:06:04.600]  當時的讀者
[00:06:04.600 --> 00:06:08.600]  我希望帶我們一起去回他那時候的感覺
[00:06:08.600 --> 00:06:09.600]  一讀到的時候
[00:06:09.600 --> 00:06:10.600]  如果他是猶太人的話
[00:06:10.600 --> 00:06:12.600]  他立刻會發覺一個很特別的
[00:06:12.600 --> 00:06:14.600]  很敏銳的一個反應
[00:06:14.600 --> 00:06:16.600]  一個的發言
[00:06:16.600 --> 00:06:19.600]  就是這些美德
[00:06:19.600 --> 00:06:22.600]  其實是在描述神自己的美德
[00:06:22.600 --> 00:06:23.600]  神的性格
