
[00:00:00.000 --> 00:00:05.000]  各位親愛的朋友 祝各位平安
[00:00:05.000 --> 00:00:11.000]  我們來到最後一課
[00:00:11.000 --> 00:00:15.000]  多謝郭良牧師 本來應該是11月的
[00:00:15.000 --> 00:00:19.000]  不過我下個月要做白內障手術
[00:00:19.000 --> 00:00:24.000]  所以臨時和郭良牧師提早行不行
[00:00:24.000 --> 00:00:27.000]  我不知道今天本來應該是誰說的
[00:00:27.000 --> 00:00:32.000]  不好意思 多謝你們的包容
[00:00:32.000 --> 00:00:41.000]  我們終於來到約伯記38章到42章
[00:00:41.000 --> 00:00:46.000]  全卷書最後的一部份
[00:00:46.000 --> 00:00:50.000]  結束了 感謝神 捱了一年
[00:00:50.000 --> 00:00:54.000]  不是 終於上帝出現了
[00:00:54.000 --> 00:00:59.000]  等了這麼久 好像我十歲六年班
[00:00:59.000 --> 00:01:08.000]  背《琵琶行》 白居易那首很長的唐詩
[00:01:08.000 --> 00:01:14.000]  裏面有兩句說 千呼萬喚始出來
[00:01:14.000 --> 00:01:19.000]  猶抱琵琶半遮面
[00:01:19.000 --> 00:01:24.000]  這是我們的想法
[00:01:24.000 --> 00:01:29.000]  上一課我們提過以利戶的說話
[00:01:29.000 --> 00:01:40.000]  他從邏輯 從心思 熟慮得到的結論很精彩
[00:01:40.000 --> 00:01:43.000]  他最後和約伯說了什麼
[00:01:43.000 --> 00:01:48.000]  37章最後的一段 我讀給大家聽
[00:01:48.000 --> 00:01:55.000]  第十四節 以利戶說約伯你要留心聽
[00:01:55.000 --> 00:02:01.000]  要站立思想神奇妙的作為
[00:02:01.000 --> 00:02:05.000]  神如何吩咐這些
[00:02:05.000 --> 00:02:11.000]  如何使雲中的電光照耀
[00:02:11.000 --> 00:02:17.000]  你知道嗎 雲彩如何浮於空中
[00:02:17.000 --> 00:02:24.000]  那知識傳遞者奇妙的作為
[00:02:24.000 --> 00:02:31.000]  你知道嗎 南風使地寂靜
[00:02:31.000 --> 00:02:35.000]  你的衣服就如火熱
[00:02:35.000 --> 00:02:43.000]  你知道嗎 你豈能與神同舖窮倉
[00:02:43.000 --> 00:02:50.000]  這窮倉堅硬如同鑄成的鏡子
[00:02:50.000 --> 00:02:54.000]  我們愚昧不能陳述
[00:02:54.000 --> 00:03:00.000]  請你指教我們該對他說什麼話
[00:03:00.000 --> 00:03:06.000]  人豈可說我願與他說話
[00:03:06.000 --> 00:03:11.000]  豈有人自願滅亡我
[00:03:11.000 --> 00:03:19.000]  現在有雲遮蔽人不得見窮倉的光亮
[00:03:19.000 --> 00:03:23.000]  但風吹過天有法晴
[00:03:23.000 --> 00:03:26.000]  金光出於北方
[00:03:26.000 --> 00:03:33.000]  在神那裡有可怕的威嚴
[00:03:33.000 --> 00:03:39.000]  論道全能者我們不能測度
[00:03:39.000 --> 00:03:45.000]  他大有能力有公平和大義
[00:03:45.000 --> 00:03:47.000]  必不輔代人
[00:03:47.000 --> 00:03:50.000]  所以人敬畏他
[00:03:50.000 --> 00:03:56.000]  凡自以為心中有智慧的人
[00:03:56.000 --> 00:04:00.000]  他都不顧念
[00:04:00.000 --> 00:04:03.000]  最後這一句話
[00:04:03.000 --> 00:04:10.000]  論道全能者我們不能測度
[00:04:10.000 --> 00:04:16.000]  希伯來文是我們不能找到
[00:04:16.000 --> 00:04:18.000]  找不到
[00:04:18.000 --> 00:04:23.000]  上帝那麼偉大
[00:04:23.000 --> 00:04:28.000]  上帝全能掌管一切
[00:04:28.000 --> 00:04:34.000]  我們被今日政治人物騙了
[00:04:34.000 --> 00:04:36.000]  因為他要競選
[00:04:36.000 --> 00:04:38.000]  他要拉票
[00:04:38.000 --> 00:04:41.000]  所以他會去抱BB
[00:04:41.000 --> 00:04:43.000]  吃蛋撻
[00:04:43.000 --> 00:04:45.000]  記不記得彭定康
[00:04:45.000 --> 00:04:47.000]  其實不是的
[00:04:47.000 --> 00:04:49.000]  那麼高薪水出去吃蛋撻
[00:04:49.000 --> 00:04:51.000]  有沒有搞錯
[00:04:51.000 --> 00:04:58.000]  拜登總統會出來和普通人討論問題
[00:04:58.000 --> 00:05:01.000]  問到兩次要不要保衛台灣
[00:05:01.000 --> 00:05:03.000]  又說錯了
[00:05:03.000 --> 00:05:06.000]  這是今日的政治人物
[00:05:06.000 --> 00:05:08.000]  不要叫他們做政客
[00:05:08.000 --> 00:05:10.000]  給他們一點尊重
[00:05:10.000 --> 00:05:12.000]  需要的
[00:05:12.000 --> 00:05:14.000]  所以我們應該換一個想法
[00:05:14.000 --> 00:05:16.000]  譬如英女皇
[00:05:16.000 --> 00:05:20.000]  如果你不是007
[00:05:20.000 --> 00:05:22.000]  你不是詹士邦
[00:05:22.000 --> 00:05:24.000]  詹士邦去到白金漢宮
[00:05:24.000 --> 00:05:28.000]  都是英女皇和一隻狗出來迎接他
[00:05:28.000 --> 00:05:32.000]  記不記得倫敦奧運宣傳片
[00:05:32.000 --> 00:05:34.000]  很精彩
[00:05:34.000 --> 00:05:38.000]  很細膩的英國人的幽默
[00:05:38.000 --> 00:05:40.000]  那麼容易見到英女皇
[00:05:40.000 --> 00:05:42.000]  都是不明白
[00:05:42.000 --> 00:05:44.000]  我們每天去看
[00:05:44.000 --> 00:05:46.000]  如林軍怎樣換班
[00:05:46.000 --> 00:05:50.000]  塔利班的最高領導
[00:05:50.000 --> 00:05:52.000]  認識他嗎
[00:05:52.000 --> 00:05:54.000]  連名字都不知道
[00:05:54.000 --> 00:06:00.000]  但他掌管的不只是阿富汗
[00:06:00.000 --> 00:06:04.000]  20年和美國軍隊對壘
[00:06:04.000 --> 00:06:06.000]  他沒有放棄
[00:06:06.000 --> 00:06:10.000]  他韜光養晦
[00:06:10.000 --> 00:06:12.000]  我真的服他
[00:06:12.000 --> 00:06:14.000]  你美軍厲害
[00:06:14.000 --> 00:06:18.000]  總有一天你要離開
[00:06:18.000 --> 00:06:20.000]  怎樣證明他沒有放棄
[00:06:20.000 --> 00:06:24.000]  宣布撤軍不夠一個星期
[00:06:24.000 --> 00:06:28.000]  塔利班已經捲土重來
[00:06:28.000 --> 00:06:33.000]  請問他的最高領袖是誰
[00:06:33.000 --> 00:06:38.000]  你這個網台可不可以打個電話去訪問他
[00:06:38.000 --> 00:06:40.000]  不可以的
[00:06:40.000 --> 00:06:49.000]  一個我們心目中的恐怖組織的最高領袖
[00:06:49.000 --> 00:06:53.000]  尚且你不可以說見就見
[00:06:53.000 --> 00:06:55.000]  自取滅亡
[00:06:55.000 --> 00:06:57.000]  我們找不到他
[00:06:57.000 --> 00:07:00.000]  我們不知道他在想什麼
[00:07:00.000 --> 00:07:02.000]  在做什麼
[00:07:02.000 --> 00:07:10.000]  以利瓦的結束提醒不單止約伯
[00:07:10.000 --> 00:07:14.000]  並且我們每一個讀聖經的人
[00:07:14.000 --> 00:07:20.000]  上帝不是像剛才唱的那些詩歌
[00:07:20.000 --> 00:07:24.000]  動不動就上帝抱抱
[00:07:24.000 --> 00:07:26.000]  沒那麼空閒
[00:07:26.000 --> 00:07:28.000]  不是這樣的
