
[00:00:00.000 --> 00:00:02.960]  很開心看到這麼多人坐在這裡 很開心
[00:00:02.960 --> 00:00:07.940]  容許我脫下口罩 可能你看到我笑 可能好一點
[00:00:07.940 --> 00:00:15.080]  我想問一個問題 開始之前有多少位是已經結婚的?
[00:00:15.080 --> 00:00:18.920]  哦 很多啊 很多啊 好 謝謝
[00:00:18.920 --> 00:00:21.920]  我看到大家舉手的時候是
[00:00:21.920 --> 00:00:31.920]  如果有人這樣說 哇 我就知道他剛剛結婚了
[00:00:31.920 --> 00:00:36.920]  我希望你不要越舉越慢 不要越舉越慢
[00:00:36.920 --> 00:00:40.920]  好像搞笑一樣 但是是真的
[00:00:40.920 --> 00:00:44.920]  不過當然恭喜你 你記得你結了婚
[00:00:44.920 --> 00:00:51.920]  不要臨走說不記得舉手
[00:00:51.920 --> 00:00:54.920]  今天這個題目是可以的 可以是一個報道會
[00:00:54.920 --> 00:00:58.920]  我是短孫的董事會副主席
[00:00:58.920 --> 00:01:04.920]  滕章剛才宣佈叫我今年想一個孫教報道的題目
[00:01:04.920 --> 00:01:08.920]  我想會有很多個講婚姻 為什麼呢?
[00:01:08.920 --> 00:01:11.920]  如果你有一個孫教的報道會
[00:01:11.920 --> 00:01:14.920]  會有很多個講婚姻 為什麼呢?
[00:01:14.920 --> 00:01:18.920]  如果你說最多人出廳一定是親子
[00:01:18.920 --> 00:01:23.920]  但問題是教親子的人包括心理學家
[00:01:23.920 --> 00:01:28.920]  有些都離婚的 有些都離婚的
[00:01:28.920 --> 00:01:36.920]  最考驗人做不到的事應該是婚姻
[00:01:36.920 --> 00:01:41.920]  連一個科學家都可以宣佈婚姻失敗
[00:01:41.920 --> 00:01:47.920]  你說多厲害 其他的很多人都說做生意成功
[00:01:47.920 --> 00:01:53.920]  教子女成功都可能可以 有些單親是可以的
[00:01:53.920 --> 00:02:02.920]  但婚姻成功 按計算67%的婚姻是宣佈失敗的
[00:02:02.920 --> 00:02:05.920]  包括用離婚的方式或分居
[00:02:05.920 --> 00:02:10.920]  但還有很多人不敢離婚 因為子女小
[00:02:10.920 --> 00:02:12.920]  其實是後悔結婚的
[00:02:12.920 --> 00:02:19.920]  結婚後的那些真是很少的
[00:02:19.920 --> 00:02:23.920]  如果我們告訴別人一節聖經
[00:02:23.920 --> 00:02:29.920]  可以讓我們知道婚姻的權威的答案
[00:02:29.920 --> 00:02:33.920]  今天我們試試研究一下 說明我不是專家
[00:02:33.920 --> 00:02:41.920]  但如果聖經放不多經文教人家婚姻怎樣
[00:02:41.920 --> 00:02:44.920]  怎樣解釋呢? 真是不多
[00:02:44.920 --> 00:02:48.920]  只說愛太太愛妻子愛丈夫那些
[00:02:48.920 --> 00:02:52.920]  找彼得舍就好 因為他結了婚
[00:02:52.920 --> 00:02:57.920]  如果你看聖經 大家可能在長刊看到
[00:02:57.920 --> 00:03:05.920]  你們作丈夫的也一樣 要按情理與妻子共同生活
[00:03:05.920 --> 00:03:09.920]  因為他們 即是說妻子 比你們軟弱
[00:03:09.920 --> 00:03:12.920]  要敬重他們就敬重你太太
[00:03:12.920 --> 00:03:19.920]  因為他們和你們一同承受上帝私恩賜下的生命
[00:03:19.920 --> 00:03:27.920]  這樣你們的禱告就可以暢通無阻了
[00:03:27.920 --> 00:03:34.920]  說完之後對一個完全不信耶穌的無神論的人來說
[00:03:34.920 --> 00:03:40.920]  沒有一句話是特別的 因為他覺得不知道你在說什麼
[00:03:40.920 --> 00:03:45.920]  但對一個基督徒來說 威力是個個都在的
[00:03:45.920 --> 00:03:50.920]  一會兒我試試用25分鐘研究一下這句聖經
[00:03:50.920 --> 00:03:56.920]  怎樣解決婚姻問題 甚至怎樣令到你下次被我問
[00:03:56.920 --> 00:04:00.920]  你會大喊一聲五塊錘 我相信這是我的目的
[00:04:00.920 --> 00:04:07.920]  全世界如果研究婚姻 高特曼是第一名
[00:04:07.920 --> 00:04:12.920]  在EQ的著作裏不停提及婚姻的預測
[00:04:12.920 --> 00:04:19.920]  他研究的準確度是憑著一些東西看到
