
[00:00:00.000 --> 00:00:08.000]  這幾個星期我們在主日崇拜裏面讀《列王記》
[00:00:08.000 --> 00:00:14.000]  舊約一卷很重要的歷史書
[00:00:14.000 --> 00:00:24.000]  《列王記》開頭是大魏王朝的盛世
[00:00:24.000 --> 00:00:28.000]  今日中國很喜歡講這兩個字
[00:00:28.000 --> 00:00:33.000]  大魏王朝所羅門當政的盛世
[00:00:33.000 --> 00:00:36.000]  開始了《列王記》的歷史記載
[00:00:36.000 --> 00:00:39.000]  所以《列王記》上一至十一章
[00:00:39.000 --> 00:00:42.000]  用了很長的篇幅
[00:00:42.000 --> 00:00:51.000]  記載大魏家在耶路撒冷統治十二支派
[00:00:51.000 --> 00:00:58.000]  上帝的祝福、恩典臨到他的百姓
[00:00:58.000 --> 00:01:03.000]  這是舊約歷史的一個高潮
[00:01:03.000 --> 00:01:09.000]  耶路撒冷第一座的聖殿建立起來
[00:01:09.000 --> 00:01:13.000]  但是《列王記》的結束
[00:01:13.000 --> 00:01:15.000]  可能之後我們會慢慢讀到
[00:01:15.000 --> 00:01:16.000]  不需要心急
[00:01:16.000 --> 00:01:18.000]  一章一章看下去
[00:01:18.000 --> 00:01:21.000]  你就會發覺《列王記》的結束
[00:01:21.000 --> 00:01:28.000]  是停在大魏家的衰落
[00:01:28.000 --> 00:01:39.000]  大魏王朝在公元前586年亡國被擄
[00:01:39.000 --> 00:01:48.000]  和開始是一個極強烈的對照
[00:01:48.000 --> 00:01:51.000]  所羅門的盛世
[00:01:51.000 --> 00:01:55.000]  到耶路撒冷的陷落
[00:01:55.000 --> 00:01:57.000]  巴比倫的軍隊
[00:01:57.000 --> 00:02:02.000]  用火焚燒耶路撒冷的城門
[00:02:02.000 --> 00:02:04.000]  拆毀城牆
[00:02:04.000 --> 00:02:09.000]  將聖殿徹底破壞
[00:02:09.000 --> 00:02:13.000]  這是《列王記》的結束
[00:02:13.000 --> 00:02:17.000]  不過我們讀舊約的歷史都知道
[00:02:17.000 --> 00:02:20.000]  《列王記》和《歷代志》
[00:02:20.000 --> 00:02:26.000]  這兩卷歷史書好像是重複
[00:02:26.000 --> 00:02:28.000]  尤其是如果你跟那些
[00:02:28.000 --> 00:02:31.000]  一連速讀舊約聖經的計劃
[00:02:31.000 --> 00:02:34.000]  讀完《列王記》就讀《歷代志》
[00:02:34.000 --> 00:02:37.000]  你經常都以為自己讀錯了
[00:02:37.000 --> 00:02:40.000]  我上個月不是剛剛讀完這段嗎?
[00:02:40.000 --> 00:02:41.000]  好像是重複
[00:02:41.000 --> 00:02:42.000]  但其實不是
[00:02:42.000 --> 00:02:48.000]  因為《歷代志》是以耶路撒冷為核心焦點
[00:02:48.000 --> 00:02:52.000]  但是《列王記》的記載
[00:02:52.000 --> 00:02:59.000]  卻不是以耶路撒冷為核心和焦點
[00:02:59.000 --> 00:03:02.000]  《列王記》的歷史
[00:03:02.000 --> 00:03:08.000]  反而是跟隨了王國分裂
