
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹你們好
[00:00:02.000 --> 00:00:04.000]  很感謝主畢的機會
[00:00:04.000 --> 00:00:06.500]  這次是第一次來到堅島朕信會
[00:00:06.500 --> 00:00:09.500]  和弟兄姊妹和各位的同工
[00:00:09.500 --> 00:00:11.000]  一起來分享神的說話
[00:00:11.000 --> 00:00:12.000]  這也是我的榮幸
[00:00:12.000 --> 00:00:19.500]  我知道能夠在大家忙碌的生活裡面
[00:00:19.500 --> 00:00:22.000]  今天看到很多人已經很早就來到當中
[00:00:22.000 --> 00:00:23.500]  我實在是很感恩的
[00:00:23.500 --> 00:00:28.000]  當我看到教會的主題
[00:00:28.000 --> 00:00:31.000]  「銳意建立主門徒」
[00:00:31.000 --> 00:00:33.500]  然後成全「使命正主愛」
[00:00:33.500 --> 00:00:38.000]  我想和大家在今晚、明晚和主日的聚會裡面
[00:00:38.000 --> 00:00:40.000]  和大家分享有幾個
[00:00:40.000 --> 00:00:45.000]  怎樣實際做主門徒的因素
[00:00:45.000 --> 00:00:50.000]  今晚第一個和大家說的因素就是從祈禱生活開始
[00:00:50.000 --> 00:00:55.000]  從祈禱的學習功課開始做主門徒
[00:00:55.000 --> 00:01:00.000]  我相信大家都同意我們很難說一個是主的好的門徒
[00:01:00.000 --> 00:01:02.000]  或者一個很長進的弟兄姊妹
[00:01:02.000 --> 00:01:04.000]  不過她不是很祈禱的
[00:01:04.000 --> 00:01:06.000]  這差不多是不可思議的事
[00:01:06.000 --> 00:01:11.000]  同樣我們說一間教會是一間非常被主使用的教會
[00:01:11.000 --> 00:01:13.000]  不過她不是很祈禱的
[00:01:13.000 --> 00:01:17.000]  或者我們說這個世代裡面是神很大的工作
[00:01:17.000 --> 00:01:19.000]  不過教會不是很祈禱的
[00:01:19.000 --> 00:01:22.000]  這些似乎都是一些有矛盾的經文
[00:01:22.000 --> 00:01:24.000]  有矛盾的這樣的說法
[00:01:24.000 --> 00:01:28.000]  不過事實上可能這個矛盾的情況
[00:01:28.000 --> 00:01:32.000]  正正就是發生在今天香港、在香港教會裡面
[00:01:32.000 --> 00:01:34.000]  我想和大家看一段聖經
[00:01:34.000 --> 00:01:36.000]  就是《馬爾夫金》第十一章
