
[00:00:00.000 --> 00:00:09.000]  我會用一個大都會的小故事做一個開端
[00:00:09.000 --> 00:00:12.000]  來和你介紹這個題目
[00:00:12.000 --> 00:00:14.000]  輪到我當家
[00:00:14.000 --> 00:00:23.000]  阿傑是一個很英俊、很吸引人的一個男孩
[00:00:23.000 --> 00:00:26.000]  誕生31歲
[00:00:26.000 --> 00:00:32.000]  5呎11吋高,長髮披肩衣著入士
[00:00:32.000 --> 00:00:34.000]  走路當然是比人快的
[00:00:34.000 --> 00:00:38.000]  所以走路上來就兩髮飄飄
[00:00:38.000 --> 00:00:45.000]  常常會叫擦身而過的女孩再回頭看她一眼
[00:00:45.000 --> 00:00:47.000]  所以她同事常常都說
[00:00:47.000 --> 00:00:55.000]  她是一個吸引到異性比一個漂亮的女孩還多的一個男孩
[00:00:55.000 --> 00:01:00.000]  認識她的人都相信是同意的
[00:01:00.000 --> 00:01:07.000]  但是阿傑那個的氣質、儀表不是天生的
[00:01:07.000 --> 00:01:13.000]  其實他有這種的表現不過是十幾個月的事
[00:01:13.000 --> 00:01:17.000]  他過去完全不是這樣一回事的
[00:01:17.000 --> 00:01:20.000]  他沒錯來自一個中產家庭
[00:01:20.000 --> 00:01:22.000]  家裡有不錯的家底
[00:01:22.000 --> 00:01:25.000]  家底父母很愛惜他
[00:01:25.000 --> 00:01:29.000]  但是他唯一的問題就是讀書了
[00:01:29.000 --> 00:01:35.000]  自小到大都好像媽媽沒有生一些數學細胞給他
[00:01:35.000 --> 00:01:41.000]  所以每次考試都是數學是不合格的
[00:01:41.000 --> 00:01:49.000]  數學不合格自然就不可以升讀中六、中七了
[00:01:49.000 --> 00:01:54.000]  但是他媽媽有錢所以很早就把他送到外國
[00:01:54.000 --> 00:01:59.000]  他先是去到美國東部讀英文
[00:01:59.000 --> 00:02:06.000]  接著他就進了一個社區的大學就是Community College
[00:02:06.000 --> 00:02:10.000]  讀完兩年整個人改變了
[00:02:10.000 --> 00:02:15.000]  是因為他在那個College(學校)那裡得到很大的肯定
[00:02:15.000 --> 00:02:24.000]  還有他也不害怕和那些外國學生交往、做朋友
[00:02:24.000 --> 00:02:29.000]  但是他最大的改變就是進了大學
[00:02:29.000 --> 00:02:34.000]  在大學那裡他最喜歡的科目是Computer
[00:02:34.000 --> 00:02:39.000]  大學有足夠的學位給他可以去修讀
[00:02:39.000 --> 00:02:44.000]  畢業之後他就留在美國做了一年
[00:02:44.000 --> 00:02:47.000]  然後爸爸就叫他回來告訴他
[00:02:47.000 --> 00:02:50.000]  真正發展的地方應該是亞洲盤地
[00:02:50.000 --> 00:02:52.000]  他也都同意所以回來了
[00:02:52.000 --> 00:02:58.000]  但是回來了之後他另一個階段的苦難又開始
[00:02:58.000 --> 00:03:01.000]  他進了一個電訊公司做事
[00:03:01.000 --> 00:03:08.000]  在電訊公司那裡他是跟著一個上了一年多的上司做
[00:03:08.000 --> 00:03:15.000]  他進的那個部門是他電訊公司最賺錢的那個部門
[00:03:15.000 --> 00:03:17.000]  所以是很重要的
[00:03:17.000 --> 00:03:20.000]  但是他自己是常常給他的同事
[00:03:20.000 --> 00:03:28.000]  或者是故意的將他踩或者是用說話來去激他
[00:03:28.000 --> 00:03:30.000]  或者是看不起他
[00:03:30.000 --> 00:03:34.000]  開會從來不會有上司支持他
[00:03:34.000 --> 00:03:38.000]  同事叫他做事連個名都不叫的
[00:03:38.000 --> 00:03:40.000]  還是喂 幫我做這個
[00:03:40.000 --> 00:03:43.000]  說是說你今天幫我做這個的chart
[00:03:43.000 --> 00:03:47.000]  是從來沒有給他有任何的尊重
[00:03:47.000 --> 00:03:50.000]  所以三年後他離開了那間公司
[00:03:50.000 --> 00:03:52.000]  就參加了另外一間
[00:03:52.000 --> 00:03:55.000]  但是也是同樣是有規模
[00:03:55.000 --> 00:03:59.000]  不過他那個部門也是上了一年多的人
[00:03:59.000 --> 00:04:03.000]  在那個部門那裡他做的工作
[00:04:03.000 --> 00:04:09.000]  學了三年的經驗他不再是亂出聲
[00:04:09.000 --> 00:04:14.000]  換句話呢 他是看風頭來做人了
[00:04:14.000 --> 00:04:15.000]  是沒多久的
[00:04:15.000 --> 00:04:20.000]  但是也是叫他少一點受人欺負的
[00:04:20.000 --> 00:04:26.000]  他自己說在第二間公司工作的經驗是一言而閉之
[00:04:26.000 --> 00:04:29.000]  就是無驚無險到五點
[00:04:29.000 --> 00:04:32.000]  每天就是等時間來下班
[00:04:32.000 --> 00:04:37.000]  直到最近香港開放那個電信市場
[00:04:37.000 --> 00:04:40.000]  各種形式的電信公司
[00:04:40.000 --> 00:04:44.000]  都有一個可以分一杯羹
[00:04:44.000 --> 00:04:49.000]  在那個時候電信專業成了一個期貨
[00:04:49.000 --> 00:04:50.000]  所以他再轉工
[00:04:50.000 --> 00:04:52.000]  這次他非常好運
[00:04:52.000 --> 00:04:55.000]  是轉了去一間小規模一點
[00:04:55.000 --> 00:05:01.000]  但是以年輕市場為主的一間電信公司
[00:05:01.000 --> 00:05:05.000]  因為他有很好的學位是色情命門的
[00:05:05.000 --> 00:05:07.000]  又加上有六七年的資歷
[00:05:07.000 --> 00:05:10.000]  所以在他的行業那裡是很搶手的
[00:05:10.000 --> 00:05:12.000]  他這個新的老闆
[00:05:12.000 --> 00:05:18.000]  讓他管理一個部門是完全放手給他管理
[00:05:18.000 --> 00:05:21.000]  他第一次開始明白
[00:05:21.000 --> 00:05:25.000]  為什麼做事其實人工不是最重要的
[00:05:25.000 --> 00:05:31.000]  是有機會給他去發展他自己的才能
[00:05:31.000 --> 00:05:38.000]  在那裡他建立到他自己的人際和事業的網絡
[00:05:38.000 --> 00:05:42.000]  他非常有自信
[00:05:42.000 --> 00:05:47.000]  他整個人的改變是不過十八個月裏面的事
[00:05:47.000 --> 00:05:51.000]  整個人好像重生了一樣
[00:05:51.000 --> 00:05:58.000]  我們說這個故事是一個很典型的大都會的小故事
[00:05:58.000 --> 00:06:01.000]  因為假如我們問今天
[00:06:01.000 --> 00:06:05.000]  就是我們這裡所謂的我那個的
[00:06:05.000 --> 00:06:12.000]  就是由63到81年出生的這個年齡階段
[00:06:12.000 --> 00:06:14.000]  也就是說在99年來說
[00:06:14.000 --> 00:06:18.000]  就是18到36歲這個階層的人
[00:06:18.000 --> 00:06:22.000]  你會發覺他們很多都很多苦水的
[00:06:22.000 --> 00:06:25.000]  但是很奇怪的就是這一幫人
[00:06:25.000 --> 00:06:29.000]  在我們的社會和輿論界是好像隱形的
[00:06:29.000 --> 00:06:34.000]  他們在私下在酒吧他們可以和別人浸透苦水
[00:06:34.000 --> 00:06:38.000]  但是在公眾在那個public platform(公共平台)
[00:06:38.000 --> 00:06:41.000]  是沒有他的聲音的
[00:06:41.000 --> 00:06:45.000]  沒有人知道這一代是長壽著上一代
[00:06:45.000 --> 00:06:49.000]  我們說X世代也是由45到63年
[00:06:49.000 --> 00:06:55.000]  99年就等於54到63歲這個階層的人
[00:06:55.000 --> 00:06:58.000]  這個階層的人管理
[00:06:58.000 --> 00:07:05.000]  他們是怎樣被受盡剝削和踐踏
[00:07:05.000 --> 00:07:10.000]  但是我們的公眾輿論極少為這個階層人說話的
[00:07:14.000 --> 00:07:20.000]  但是我們知道一個歷史的原則就是
[00:07:20.000 --> 00:07:23.000]  接棒和交棒
[00:07:23.000 --> 00:07:29.000]  是沒有人可以透過他自己任何的勢力的擺佈
