
[00:00:00.000 --> 00:00:02.000]  好 我們就開始了
[00:00:02.000 --> 00:00:04.500]  我們今天是第一個的題目
[00:00:04.500 --> 00:00:06.240]  好 我們現在就開始了
[00:00:06.240 --> 00:00:08.000]  我們今天的第一個題目
[00:00:08.000 --> 00:00:10.880]  就叫做是否真有神的存在
[00:00:10.880 --> 00:00:13.440]  就是說是否真有神的存在
[00:00:13.440 --> 00:00:17.080]  當然那個核心的來源就是來自我這本書
[00:00:17.080 --> 00:00:19.560]  這個核心的來源來自於我這本書
[00:00:19.560 --> 00:00:23.000]  這本書這麼長 當然沒有可能今天全部講完的
[00:00:23.000 --> 00:00:25.680]  這本書很長 我不可能今天能夠全部講完
[00:00:25.680 --> 00:00:26.760]  但是我想告訴你
[00:00:26.760 --> 00:00:29.760]  究竟這本書裏面最重要的想講些什麼 好嗎
[00:00:29.760 --> 00:00:31.000]  但是我想告訴你
[00:00:31.000 --> 00:00:33.280]  這本書裏面最重要的是講什麼呢?
[00:00:33.280 --> 00:00:38.560]  還有很多的再深入的討論或者例子
[00:00:38.560 --> 00:00:40.680]  你就在這本書裏面就找到了
[00:00:40.680 --> 00:00:43.080]  那麼還有很多深入的討論或者例子
[00:00:43.080 --> 00:00:44.680]  你可以在這本書裏面找到
[00:00:44.680 --> 00:00:46.920]  好 我們就把它做成一些PowerPoint
[00:00:46.920 --> 00:00:49.320]  我請鄧穎姐開始幫忙做
[00:00:49.320 --> 00:00:51.120]  幫我打出來
[00:00:51.120 --> 00:00:52.920]  我們有一些投影 大家一起來看
[00:00:52.920 --> 00:00:55.280]  我又要拿那個白板 好嗎
[00:00:55.280 --> 00:00:57.800]  講的時候寫得清楚一點
[00:00:57.800 --> 00:00:59.720]  我也要用一些白板
[00:00:59.720 --> 00:01:02.960]  就是在邊講的時候再寫得很清楚
[00:01:02.960 --> 00:01:04.920]  好 那我們開始
[00:01:04.920 --> 00:01:07.000]  好 我們現在開始
[00:01:07.000 --> 00:01:11.120]  是不是真的有一位神的存在?
[00:01:11.120 --> 00:01:13.960]  到底是不是真的有一位神存在呢?
[00:01:13.960 --> 00:01:16.560]  當然對很多基督徒來說 當然是啦
[00:01:16.560 --> 00:01:19.280]  那麼對很多基督徒來說 肯定是一定的啦
[00:01:19.280 --> 00:01:20.640]  那你來教會做什麼呢?
[00:01:20.640 --> 00:01:22.360]  不然的話 我們來教會幹什麼呢?
[00:01:22.360 --> 00:01:24.440]  對於很多未信耶穌的朋友來說
