
[00:00:00.000 --> 00:00:08.440]  我和大家講過我會留在若拿書復活節講
[00:00:08.440 --> 00:00:10.440]  今日是復活的主日
[00:00:10.440 --> 00:00:13.240]  讓我們一起讀一讀若拿書
[00:00:13.240 --> 00:00:17.040]  若拿書相信是我們基督徒最熟悉的經文
[00:00:17.040 --> 00:00:21.920]  因為是講到若拿才知道被大雨吞了三日三夜
[00:00:21.920 --> 00:00:24.400]  我們一起看這本書的時候
[00:00:24.400 --> 00:00:29.920]  看看會不會在這篇道啟示我們去想一些我們從來未想過的東西
[00:00:29.920 --> 00:00:35.400]  若拿書是十二先知書的第五卷
[00:00:35.400 --> 00:00:39.120]  是四張書一共是四十八節的經文
[00:00:39.120 --> 00:00:43.200]  若拿書的作者當然就是若拿先知
[00:00:43.200 --> 00:00:46.400]  他是加里里的人
[00:00:46.400 --> 00:00:50.040]  有在這個約翰福音七章五十二節
[00:00:50.040 --> 00:00:53.320]  有人說加里里是沒有出過任何的先知
[00:00:53.320 --> 00:00:55.080]  其實是錯的
[00:00:55.080 --> 00:00:59.480]  因為我們知道加里里起碼出過兩位先知
[00:00:59.480 --> 00:01:02.520]  這兩位都是十二先知書裡面的先知
[00:01:02.520 --> 00:01:04.520]  若拿和那雄
[00:01:04.520 --> 00:01:10.040]  這兩位先知他們的預言相隔大概是一百年
[00:01:10.040 --> 00:01:12.760]  他們的對象都是利利美
[00:01:12.760 --> 00:01:17.720]  若拿就成功地使利利美人來悔改
[00:01:17.720 --> 00:01:19.720]  但是一百五十年後
[00:01:19.720 --> 00:01:23.320]  利利美就是透過那雄先知的預言
[00:01:23.320 --> 00:01:26.840]  這個審判就淋到他們的身上
[00:01:26.840 --> 00:01:30.120]  以至利利美遭到滅國
[00:01:30.120 --> 00:01:34.920]  在《獵王紀下》的十四章二十五節
[00:01:34.920 --> 00:01:41.080]  我們知道若拿大概是在公元前七百六十年的人
[00:01:41.080 --> 00:01:45.240]  他是在加特希佛的地方
[00:01:45.240 --> 00:01:50.120]  我們也知道加特希佛就是在西布倫茲派
[00:01:50.120 --> 00:01:53.880]  因為《約書亞紀》十九章十三節告訴我們
[00:01:53.880 --> 00:01:58.920]  而這個地方也在拿撒勒的北面大概是十四里
[00:01:58.920 --> 00:02:04.120]  若拿先知的爸爸也是一位先知
[00:02:04.120 --> 00:02:05.880]  他叫做阿米太
