
[00:00:00.000 --> 00:00:06.960]  有些事情留在我們的腦海
[00:00:06.960 --> 00:00:13.180]  成為記憶久久都不能忘記
[00:00:13.180 --> 00:00:16.280]  那些叫做往事
[00:00:16.280 --> 00:00:20.280]  有些事情我們埋在心底
[00:00:20.280 --> 00:00:23.880]  不輕易跟人說出來
[00:00:23.880 --> 00:00:26.760]  叫做心事
[00:00:26.760 --> 00:00:31.400]  有些事情我們將它加以組織
[00:00:31.400 --> 00:00:33.680]  去無全徵
[00:00:33.680 --> 00:00:36.480]  說出來或者寫出來
[00:00:36.480 --> 00:00:38.480]  叫做故事
[00:00:38.480 --> 00:00:43.720]  今天我帶大家重返聖經的現場
[00:00:43.720 --> 00:00:46.440]  去到約旦河邊
[00:00:46.440 --> 00:00:51.080]  去重溫耶穌受洗的故事
[00:00:51.080 --> 00:00:55.680]  很細節去到一些很深層的環節
[00:00:55.680 --> 00:00:59.680]  去找一些我們過去粗枝大葉
[00:00:59.680 --> 00:01:03.040]  粗略地過去而忽略了當中
[00:01:03.040 --> 00:01:07.040]  所包含的那種深層的疑問
[00:01:07.040 --> 00:01:09.040]  而去講這個故事前
[00:01:09.040 --> 00:01:15.040]  先和大家分享一段我自己的往事
[00:01:15.040 --> 00:01:21.040]  1987年是我人生一個重要的分水嶺
[00:01:21.040 --> 00:01:25.040]  當年我是《星島晚報》的執行總編輯
[00:01:25.040 --> 00:01:30.040]  但在教會的感召和時代的催逼下
[00:01:30.040 --> 00:01:36.040]  我就成立了一份刊物叫做《時代論壇》
[00:01:36.040 --> 00:01:41.040]  幾年後我放棄了我很喜歡的新聞工作
[00:01:41.040 --> 00:01:46.040]  是全時間做《時代論壇》的社長兼總編輯
[00:01:46.040 --> 00:01:50.040]  到2016年退休為止
[00:01:50.040 --> 00:01:55.040]  原來在同一年1987年
[00:01:55.040 --> 00:02:00.040]  在台灣有一個和我的背景有點相近
[00:02:00.040 --> 00:02:04.040]  但又不相似的弟兄叫做蘇南周
[00:02:04.040 --> 00:02:07.040]  他本身是一個專業的建築師
[00:02:07.040 --> 00:02:11.040]  但同樣熱愛文字工作
[00:02:11.040 --> 00:02:13.040]  喜歡寫作
[00:02:13.040 --> 00:02:19.040]  有一個愛教會而最重要的一種時代社會的使命感
[00:02:19.040 --> 00:02:25.040]  他也是自資創辦了一份刊物叫做《曠野》
[00:02:25.040 --> 00:02:29.040]  回想這段歷史
[00:02:29.040 --> 00:02:31.040]  神的手這麼奇妙
[00:02:31.040 --> 00:02:35.040]  兩條似乎平行化的線在同一年1987年
[00:02:35.040 --> 00:02:38.040]  在香港和台灣展開了
[00:02:38.040 --> 00:02:44.040]  幾年後我和蘇南周社長相約
[00:02:44.040 --> 00:02:46.040]  一見如故
[00:02:46.040 --> 00:02:50.040]  原來大家有同一心思
[00:02:50.040 --> 00:02:52.040]  何其巧合
[00:02:52.040 --> 00:02:56.040]  自此寫了《旺易》試交
[00:02:56.040 --> 00:02:57.040]  多少年來
[00:02:57.040 --> 00:02:58.040]  《時論大同》和《曠野》的集資
[00:02:58.040 --> 00:03:00.040]  好像一個指揮機構
[00:03:00.040 --> 00:03:02.040]  我們彼此的支援
[00:03:02.040 --> 00:03:05.040]  互相可以用對方的稿
[00:03:05.040 --> 00:03:06.040]  不用說
[00:03:06.040 --> 00:03:08.040]  你適合就用
[00:03:08.040 --> 00:03:09.040]  我和蘇哥
[00:03:09.040 --> 00:03:11.040]  我們對他專稱
[00:03:11.040 --> 00:03:12.040]  有個默契
[00:03:12.040 --> 00:03:14.040]  只要需要對方
[00:03:14.040 --> 00:03:16.040]  一個電話
[00:03:16.040 --> 00:03:18.040]  馬上就能接到
[00:03:18.040 --> 00:03:20.040]  所以我多次邀請他們來香港
[00:03:20.040 --> 00:03:24.040]  去主領一些很特別的聚會
[00:03:24.040 --> 00:03:26.040]  從蘇哥身上
