
[00:00:00.000 --> 00:00:08.880]  如果坐旁邊的聽不清楚就坐前一點
[00:00:08.880 --> 00:00:12.220]  聽說這裡的音響就沒有上面那麼好
[00:00:12.220 --> 00:00:13.820]  自己找位置吧
[00:00:13.820 --> 00:00:19.920]  好 這次就是今年我最後一次跟大家講到
[00:00:19.920 --> 00:00:23.960]  大家應該知道沉默今年的主題
[00:00:23.960 --> 00:00:26.360]  定今年的主題就是講愛
[00:00:26.360 --> 00:00:29.660]  明年什麼主題好像他還沒跟我說
[00:00:29.660 --> 00:00:31.660]  或者說了我忘記了
[00:00:31.660 --> 00:00:35.400]  所以這次就是最後一次講愛這個題目
[00:00:35.400 --> 00:00:39.140]  選了一個我覺得很難講的
[00:00:39.140 --> 00:00:42.340]  就是愛家人這個問題
[00:00:42.340 --> 00:00:47.780]  面對家人往往恩怨情仇的糾結
[00:00:47.780 --> 00:00:50.280]  就是最複雜的一件事
[00:00:50.280 --> 00:00:52.520]  這不但在現實生活
[00:00:52.520 --> 00:00:53.860]  即我們的生活如此
[00:00:53.860 --> 00:00:58.760]  其實聖經的人物同樣面對類似的掙扎
[00:00:58.760 --> 00:01:03.600]  所以今天就透過雅各和他的舅父
[00:01:03.600 --> 00:01:06.940]  他的舅父也是他的岳父
[00:01:06.940 --> 00:01:10.200]  拉班之間的一些故事
[00:01:10.200 --> 00:01:15.280]  思想一下愛家人的恩怨情仇
[00:01:15.280 --> 00:01:18.280]  開始的時候我們再做一個禱告
[00:01:18.280 --> 00:01:21.620]  主耶穌我們感謝祢給我們的家人
[00:01:21.620 --> 00:01:24.880]  我們知道我們不是完美的人
[00:01:24.880 --> 00:01:27.160]  我們的家人也不是完美的人
[00:01:27.160 --> 00:01:31.420]  有時候也會有各種情緒
[00:01:31.420 --> 00:01:33.700]  各種很複雜的關係
[00:01:33.700 --> 00:01:39.160]  幫助我們在當中經常能夠以恩慈面對一切
[00:01:39.160 --> 00:01:43.800]  今天藉著經文給我們一些鼓勵
[00:01:43.800 --> 00:01:46.000]  求聖靈在我們心中工作
[00:01:46.000 --> 00:01:48.680]  我們交託禱告給耶穌基督明
[00:01:48.680 --> 00:01:50.120]  好了
[00:01:50.120 --> 00:01:54.420]  我們其實程序就印了30張
[00:01:54.420 --> 00:01:59.860]  不過其實要由夜九章開始看
[00:01:59.860 --> 00:02:01.460]  OK 好
[00:02:01.460 --> 00:02:04.500]  今天不讀經文
[00:02:04.500 --> 00:02:05.500]  不和你一起讀
[00:02:05.500 --> 00:02:09.000]  我們一邊看故事一邊說經文
[00:02:09.000 --> 00:02:11.000]  因為今天的經文比較多
[00:02:11.000 --> 00:02:12.840]  夜九章開始的時候
[00:02:12.840 --> 00:02:16.280]  就說雅各起行到東方人之地
[00:02:16.280 --> 00:02:18.140]  先說說背景
[00:02:18.140 --> 00:02:20.940]  雅各是所謂先祖的其中一個
[00:02:20.940 --> 00:02:22.940]  他是以薩的兒子
[00:02:22.940 --> 00:02:24.940]  他是阿伯拉罕的孫子
[00:02:24.940 --> 00:02:29.280]  說法是阿伯拉罕的孫子雅各現在要起行
[00:02:29.280 --> 00:02:30.780]  中文是中性的
[00:02:30.780 --> 00:02:33.660]  即是日本旅行也是要起行
[00:02:33.660 --> 00:02:35.660]  到了東方人之地
[00:02:35.660 --> 00:02:39.000]  不過如果你看回夜八章前一章的背景
[00:02:39.000 --> 00:02:41.500]  你就知道為何雅各要起行
[00:02:41.500 --> 00:02:42.500]  他不是去旅行
[00:02:42.500 --> 00:02:44.500]  他是騙了他哥哥
[00:02:44.500 --> 00:02:48.300]  大家看回《創世記》
[00:02:48.300 --> 00:02:51.680]  總之他騙了他哥哥長子的祝福
[00:02:51.680 --> 00:02:54.540]  所以他哥哥二嫂就很生氣
[00:02:54.540 --> 00:02:56.540]  二嫂就說
[00:02:56.540 --> 00:02:58.540]  不知道是自己跟別人說還是怎樣
[00:02:58.540 --> 00:03:04.220]  就說何時等我們的父親以薩死了之後
[00:03:04.220 --> 00:03:06.220]  我就要殺弟弟雅各
[00:03:06.220 --> 00:03:09.420]  因為父親在就給他父親幾分面子
[00:03:09.420 --> 00:03:11.920]  所以雅各逃命
[00:03:11.920 --> 00:03:13.920]  因為他哥哥要追殺他
[00:03:13.920 --> 00:03:19.200]  所以雅各起行逃命到東方人之地
[00:03:19.200 --> 00:03:21.900]  東方人是在哪裏呢
[00:03:21.900 --> 00:03:24.900]  其實他就去他媽媽
[00:03:24.900 --> 00:03:26.900]  故事有少少人名
[00:03:26.900 --> 00:03:28.900]  大家嘗試搞清楚
[00:03:28.900 --> 00:03:32.640]  雅各就是阿伯拉罕的孫子
[00:03:32.640 --> 00:03:34.640]  以薩的兒子
[00:03:34.640 --> 00:03:38.020]  以薩的老婆叫利伯加Rebecca
[00:03:38.020 --> 00:03:43.680]  東方之地其實是指雅各的媽媽Rebecca的家鄉
[00:03:43.680 --> 00:03:47.720]  他要走回他媽媽的家鄉
[00:03:47.720 --> 00:03:49.720]  為什麼呢
[00:03:49.720 --> 00:03:51.720]  因為逃命的時候當然要找個安全的地方
[00:03:51.720 --> 00:03:55.720]  在古代近東的時候一切都是講家族
[00:03:55.720 --> 00:03:58.720]  沒有家族支持你
[00:03:58.720 --> 00:04:00.720]  沒有後台的話
[00:04:00.720 --> 00:04:02.720]  你去到哪裏都會被人欺負
[00:04:02.720 --> 00:04:06.720]  所以他為了找人幫助他
[00:04:06.720 --> 00:04:09.720]  當然找回他媽媽的家鄉
[00:04:09.720 --> 00:04:11.720]  找他媽媽的親戚幫他
[00:04:11.720 --> 00:04:15.720]  於是第二節就說他去到口井
[00:04:15.720 --> 00:04:17.720]  我們就不理他了
[00:04:17.720 --> 00:04:19.720]  總之去到口井石頭很大
[00:04:19.720 --> 00:04:21.720]  他說蓋著口井
[00:04:21.720 --> 00:04:23.720]  先說背景
[00:04:23.720 --> 00:04:26.720]  為什麼那裏要井這麼重要
[00:04:26.720 --> 00:04:30.720]  因為東方之地是比較乾旱之地
[00:04:30.720 --> 00:04:32.720]  半沙漠之地
[00:04:32.720 --> 00:04:35.720]  所以要用井水給羊喝水
[00:04:35.720 --> 00:04:37.720]  石頭蓋著他
[00:04:37.720 --> 00:04:39.720]  因為日間很熱
[00:04:39.720 --> 00:04:41.720]  中午的時間水分會蒸發
[00:04:41.720 --> 00:04:43.720]  所以不是打水的時候
[00:04:43.720 --> 00:04:45.720]  就用石頭蓋著他
[00:04:45.720 --> 00:04:47.720]  免得水分蒸發
[00:04:47.720 --> 00:04:53.720]  所以阿葛就去到牧羊人去取水的地方
[00:04:53.720 --> 00:04:55.720]  阿葛就問牧羊人
