
[00:00:00.000 --> 00:00:06.820]  各位網友 今天是猜拳月的最後一次
[00:00:06.820 --> 00:00:11.520]  今天跟大家分享宣教士的故事
[00:00:11.520 --> 00:00:17.480]  特別是剛剛星期五由潘寧卓宣教士分享過
[00:00:17.480 --> 00:00:18.920]  令我們很感動
[00:00:18.920 --> 00:00:21.760]  我們先讀一段經文
[00:00:21.760 --> 00:00:24.800]  在歷代至上
[00:00:24.800 --> 00:00:30.320]  文中曰:萬族你們要將榮耀能力歸給耶和華
[00:00:30.320 --> 00:00:31.800]  這是心願
[00:00:31.800 --> 00:00:34.400]  將耶和華名所得的榮耀歸給他
[00:00:34.400 --> 00:00:36.800]  功勞來奉到他面前
[00:00:36.800 --> 00:00:39.800]  以聖殿的裝飾敬拜耶和華
[00:00:39.800 --> 00:00:42.400]  全地要在面前顫抖
[00:00:42.400 --> 00:00:44.800]  世界也堅定不得動搖
[00:00:44.800 --> 00:00:47.400]  願天歡喜願地快樂
[00:00:47.400 --> 00:00:50.400]  願人在滅光中說耶和華則王
[00:00:50.400 --> 00:00:53.800]  願海和其中所充滿的澎湃
[00:00:53.800 --> 00:00:56.800]  願田和其中所有的都歡樂
[00:00:56.800 --> 00:01:00.400]  那時臨終的樹木要在耶和華面前歡呼
[00:01:00.400 --> 00:01:03.000]  因為他要來審判全地
[00:01:03.000 --> 00:01:05.000]  應當稱謝耶和華
[00:01:05.000 --> 00:01:06.200]  因他本為善
[00:01:06.200 --> 00:01:08.400]  他的慈愛永遠長存
[00:01:08.400 --> 00:01:11.400]  每一個信主的人都有這個心願
[00:01:11.400 --> 00:01:13.200]  願耶和華則王
[00:01:13.200 --> 00:01:18.400]  過去很多受感動的西方弟兄姊妹
[00:01:18.400 --> 00:01:20.800]  憑著一個火熱的心
[00:01:20.800 --> 00:01:23.000]  將生命傾倒出來
[00:01:23.000 --> 00:01:26.400]  今日我跟大家講四個故事
[00:01:26.400 --> 00:01:28.400]  第一個故事
[00:01:28.400 --> 00:01:30.400]  瑪利遜大家很熟悉的
[00:01:30.400 --> 00:01:33.800]  英國人曾經離開主
[00:01:33.800 --> 00:01:36.600]  但後來回到神那裏
[00:01:36.600 --> 00:01:41.400]  當他二十歲重新讀書的時候
[00:01:41.400 --> 00:01:43.800]  他決定奉獻自己
[00:01:43.800 --> 00:01:49.200]  當時他讀書就聽到中國的故事
[00:01:49.200 --> 00:01:54.800]  天主教的神父在中國帶了一些書籍
[00:01:54.800 --> 00:01:57.200]  他對中國很有興趣
[00:01:57.200 --> 00:02:00.200]  他就跟神說可不可以去中國傳讀
[00:02:00.200 --> 00:02:02.600]  最初人們勸他去印度
[00:02:02.600 --> 00:02:03.800]  印度已經有人去了
[00:02:03.800 --> 00:02:04.800]  去非洲
[00:02:04.800 --> 00:02:06.800]  中國很難去的
[00:02:06.800 --> 00:02:09.200]  當時沒有一個人去中國
[00:02:09.200 --> 00:02:13.400]  其中一個最困難的就是要懂得中文
[00:02:13.400 --> 00:02:17.200]  他為了預備自己做傳教士
[00:02:17.200 --> 00:02:21.200]  所以他去讀醫學、天文學、神學等各方面
[00:02:21.200 --> 00:02:22.200]  準備自己
[00:02:22.200 --> 00:02:26.200]  當他做好所有準備後
[00:02:26.200 --> 00:02:29.200]  就向倫敦會申請到中國傳讀
[00:02:29.200 --> 00:02:35.200]  倫敦會說我們差派的宣教士有兩個條件
