
[00:00:00.000 --> 00:00:05.000]  各位電影姐妹 各位朋友你們好
[00:00:05.000 --> 00:00:10.000]  歡迎大家參加我們三藩市播道會網上的五堂崇拜
[00:00:10.000 --> 00:00:13.000]  我們今天繼續思想希伯來書的信息
[00:00:13.000 --> 00:00:18.000]  我們去到希伯來書第九章23節至28節
[00:00:18.000 --> 00:00:23.000]  過去 現在 將來 耶穌與你
[00:00:23.000 --> 00:00:28.000]  開始思想這段聖經之前請我們同心協力和同道
[00:00:28.000 --> 00:00:31.000]  慈悲人 我天父我們滿心感謝你
[00:00:31.000 --> 00:00:34.000]  因為耶穌基督來到世上
[00:00:34.000 --> 00:00:36.000]  為我們一次過獻上
[00:00:36.000 --> 00:00:40.000]  將我們的罪再度挽回
[00:00:40.000 --> 00:00:43.000]  讓我們能夠在現在
[00:00:43.000 --> 00:00:46.000]  可以隨時去到私人寶藏面前
[00:00:46.000 --> 00:00:49.000]  求憐憫 得憐恤 無恩惠
[00:00:49.000 --> 00:00:52.000]  來更加等候將來的救贖
[00:00:52.000 --> 00:00:56.000]  你再來的時候 新天新地
[00:00:56.000 --> 00:00:59.000]  除去人間一切的眼淚
[00:00:59.000 --> 00:01:02.000]  讓人有永生 我們感謝你
[00:01:02.000 --> 00:01:06.000]  求你藉著你的話語提醒 勸勉 教導 安慰 督責我們
[00:01:06.000 --> 00:01:10.000]  我們今天禱告 也是奉耶穌基督命求 阿們
[00:01:10.000 --> 00:01:16.000]  Edwin Freeman 是猶太的一個拉比
[00:01:16.000 --> 00:01:21.000]  他曾經說過一個非常有趣和發人深省的故事
[00:01:21.000 --> 00:01:23.000]  這個故事是這麼說的
[00:01:23.000 --> 00:01:30.000]  有一個人他殺了二三十年的做人
[00:01:30.000 --> 00:01:33.000]  互互混混 他覺得不行了
[00:01:33.000 --> 00:01:35.000]  做人應該有意思
[00:01:35.000 --> 00:01:39.000]  他要尋索他人生的方向和目標
[00:01:39.000 --> 00:01:41.000]  最後他找到了
[00:01:41.000 --> 00:01:43.000]  他就開始他的旅程
[00:01:43.000 --> 00:01:49.000]  去到這個地方做一些他覺得是有意義的工作
