
[00:00:00.000 --> 00:00:14.000]  今晚我們查以色列的書第九章似乎和聖誕節的氣氛不太合,好像很相反
[00:00:14.000 --> 00:00:25.000]  聖誕節我們都是講平安喜樂請救和諧很長和恩典
[00:00:25.000 --> 00:00:40.000]  我們聖誕節的時候都是講這些東西,但是第九章講什麼呢?第九章講神的審判擊殺,是殺的,而且連嬰兒都殺的
[00:00:40.000 --> 00:00:53.000]  一會我們會講下為什麼連嬰兒這麼無辜的都要殺呢?但是是不是今晚我們查這段經文就真的和聖誕節相反呢?
[00:00:53.000 --> 00:01:10.000]  當然表面上是很相反,但是今天和第九章我們可以看到神是一位公義的神,是一位很嚴厲的神,神面對罪惡是不姑息的
[00:01:10.000 --> 00:01:29.000]  但是神同時也是一位慈愛的神,是一位充滿了憐憫的神,神是公義與慈愛並存的,今天你和我能夠有聖誕節,這是神的憐憫,神的恩典,神的救贖
[00:01:29.000 --> 00:01:48.000]  為什麼耶穌要來到世界上呢?為什麼我們要有聖誕節呢?就是因為人有罪,你和我本來要面對第九章一會我們所看到的情況,應該是落在你和我的身上的
[00:01:48.000 --> 00:02:05.000]  雖然你和我今天不是在拜偶像,但是在神的面前都是罪,所以今晚是一個很強烈的對比,就是我們之所以能夠有聖誕節就是因為神的憐憫,神的慈愛,神的恩典
[00:02:05.000 --> 00:02:34.000]  不讓我們面對以色列書第九章的審判和擊殺,我想讀幾節經文給大家聽聽,我們之前查過以塞亞書,剛才我是說代替,我們不需要面對以色列書第九章的審判,就是因為有人來代我們接受那個審判,接受那個刑罰
[00:02:34.000 --> 00:02:44.000]  當我們查以塞亞書第53章的時候,我讀第五節和第六節,你一定會明白的了
[00:02:44.000 --> 00:03:03.000]  第五節,他說:哪知他為我們的過犯受害,為我們的罪孽壓傷,因他受的刑罰我們得平安,因他受的鞭傷我們得醫治
[00:03:03.000 --> 00:03:23.000]  第六節,我們都好似羊走迷,國人偏行幾路,耶和華使我們眾人的罪孽都歸在他的身上,所以以色列書第九章所面對的懲罰審判是耶穌幫我們背了,所以我們不用面對,我們能夠有聖誕節
[00:03:23.000 --> 00:03:40.000]  羅馬書第六章第23節,因為罪的公價乃是死,唯有神的恩賜,恩典的賜予,恩典是什麼呢?恩典就是不應該得的,神都給過我們,這個才是恩典
[00:03:40.000 --> 00:03:56.000]  唯有神的恩賜在我們主基督耶穌裡面乃是永生,死我們不需要受了,因為耶穌代了我們,我們所得到的乃是永生
