
[00:00:00.000 --> 00:00:10.000]  今天繼續和大家說文素記9和10章
[00:00:10.000 --> 00:00:12.000]  不知道大家記不記得我和大家說過
[00:00:12.000 --> 00:00:18.000]  一到10章,其實文素記是一個很大的轉捩點
[00:00:18.000 --> 00:00:24.000]  一到10章,以色列人都仍然在西奈的曠野
[00:00:24.000 --> 00:00:32.000]  但是由10章33節開始,他們就開始踏上了去加南地的路程
[00:00:32.000 --> 00:00:36.000]  所以一到10章是一個轉捩點
[00:00:36.000 --> 00:00:42.000]  另外一樣很重要的東西,就是我們見到一到十章
[00:00:42.000 --> 00:00:49.000]  摩西是將有二十二次的《耶和華曉譽》放在一到十章
[00:00:49.000 --> 00:00:54.000]  似乎摩西要告訴我們一到十章有一個特別的意義
[00:00:54.000 --> 00:01:02.000]  我們見到頭十一次的《耶和華曉譽》是在一到四章
[00:01:02.000 --> 00:01:04.000]  神要數點以色列人
[00:01:04.000 --> 00:01:13.000]  第二次的十一次《耶和華曉譽》是發生在五到十章
[00:01:13.000 --> 00:01:17.000]  一共是二十二次
[00:01:17.000 --> 00:01:22.000]  我們今天要看最後三次的《耶和華曉譽》
[00:01:22.000 --> 00:01:27.000]  就是在九章一節,九章九節和十章一節
[00:01:27.000 --> 00:01:30.000]  還有三次的《耶和華曉譽》
[00:01:30.000 --> 00:01:38.000]  其實文素記一到十章,我們見到以色列人他們所做的一切
[00:01:38.000 --> 00:01:42.000]  不是做得很差,反而是做得挺好的
[00:01:42.000 --> 00:01:46.000]  是有很多值得我們去學習的地方
[00:01:46.000 --> 00:01:54.000]  我們曾經聽過第一代以色列人除了是加納和約書亞
[00:01:54.000 --> 00:01:57.000]  所有的成年人都是死在鄺爺
[00:01:57.000 --> 00:02:03.000]  當我們聽到這樣的時候,我們認為以色列人可能一無可取
[00:02:03.000 --> 00:02:06.000]  但是相反地我們見到,不是的
[00:02:06.000 --> 00:02:11.000]  頭十章給我們看到有很多學習的地方給我們
[00:02:11.000 --> 00:02:15.000]  一到四章神要數點人民,要他們成為精兵
[00:02:15.000 --> 00:02:20.000]  五至六章我們見到說了五件無厘頭的事
[00:02:20.000 --> 00:02:27.000]  但是如果你將這五樣東西都從一個分別為性的眼光來看
