
[00:00:00.000 --> 00:00:05.520]  各位網友 我們先回到立法會的主題
[00:00:05.520 --> 00:00:10.640]  我們先回到立法會的主題 先回到立法會的主題
[00:00:10.640 --> 00:00:14.900]  我們先回到立法會的主題 先回到立法會的主題
[00:00:14.900 --> 00:00:19.780]  我們先回到立法會的主題 先回到立法會的主題
[00:00:19.780 --> 00:00:24.800]  我們先回到立法會的主題 我們先回到立法會的主題
[00:00:24.800 --> 00:00:29.940]  我們先回到立法會的主題 我們先回到立法會的主題
[00:00:29.940 --> 00:00:34.120]  傳統 宣導會的傳統很短的
[00:00:34.120 --> 00:00:38.360]  只是十九世紀末開始
[00:00:38.360 --> 00:00:43.080]  因為宣教的運動這樣開始產生
[00:00:43.080 --> 00:00:48.560]  我所說的其實這個是超過一千年
[00:00:48.560 --> 00:00:53.460]  教會崇拜的傳統
[00:00:53.460 --> 00:00:58.480]  教會的崇拜每一個主日都進行
[00:00:58.480 --> 00:01:03.620]  其實早期教會每天都會崇拜
[00:01:03.620 --> 00:01:06.160]  特別是在中世紀的時候
[00:01:06.160 --> 00:01:11.340]  不過弟兄姊妹來到崇拜就不可能每一天
[00:01:11.340 --> 00:01:16.560]  因為平日要工作 以前不是說上班
[00:01:16.560 --> 00:01:21.900]  農業社會有春夏秋冬四季
[00:01:21.900 --> 00:01:27.140]  但是教會的崇拜不是跟著季節的
[00:01:27.140 --> 00:01:31.660]  也不是跟著節期
[00:01:31.660 --> 00:01:37.940]  比如我們新年 重陽 中秋
[00:01:37.940 --> 00:01:41.300]  不是現在的現代 我們有父親節
[00:01:41.300 --> 00:01:44.500]  母親節 兒童節
[00:01:44.500 --> 00:01:48.540]  甚至有教會慶祝秘書節主日
[00:01:48.540 --> 00:01:54.420]  不是的 傳統的教會是將全年52個主日
[00:01:54.420 --> 00:01:57.640]  分開上下兩半
[00:01:57.640 --> 00:02:02.960]  上半不是由一月開始的 你知道吧
[00:02:02.960 --> 00:02:07.580]  上半是由聖誕節開始計算
[00:02:07.580 --> 00:02:14.100]  不過是倒數回頭四個主日
[00:02:14.100 --> 00:02:18.180]  這麼複雜的 是啊 所以牧師很忙碌的
[00:02:18.180 --> 00:02:20.480]  年年要計數的 不用
[00:02:20.480 --> 00:02:24.100]  有人計算的 出書的
