
[00:00:00.000 --> 00:00:10.000]  我今天要和大家講的題目就是叫做最後的出路
[00:00:10.000 --> 00:00:18.000]  那個經文就是路加福音第十八章九到十四節
[00:00:18.000 --> 00:00:27.000]  是大家相當熟悉的法利塞人和瑞利在聖殿的禱告
[00:00:27.000 --> 00:00:30.000]  這個比喻
[00:00:30.000 --> 00:00:35.000]  找到的請聽我讀出來
[00:00:35.000 --> 00:00:40.000]  耶穌向那些仗著自己是義人
[00:00:40.000 --> 00:00:44.000]  藐視別人的設一個比喻
[00:00:44.000 --> 00:00:48.000]  說有兩個人上殿裡去禱告
[00:00:48.000 --> 00:00:53.000]  一個是法利塞人一個是瑞利
[00:00:53.000 --> 00:00:58.000]  法利塞人站著自言自語的禱告說
[00:00:58.000 --> 00:01:05.000]  神啊我感謝你我不像別人勒索不義奸淫
[00:01:05.000 --> 00:01:07.000]  也不像這個瑞利
[00:01:07.000 --> 00:01:11.000]  我一個禮拜禁食兩次
[00:01:11.000 --> 00:01:15.000]  凡我所得的都捐上十分之一
[00:01:15.000 --> 00:01:18.000]  那瑞利遠遠的站著
[00:01:18.000 --> 00:01:21.000]  連舉目望天也不敢
[00:01:21.000 --> 00:01:23.000]  只隨著空說
[00:01:23.000 --> 00:01:27.000]  神啊開恩可憐我這個罪人
[00:01:27.000 --> 00:01:28.000]  我告訴你們
[00:01:28.000 --> 00:01:33.000]  這人回家去比那人倒算為二了
[00:01:33.000 --> 00:01:37.000]  因為凡自高的必降為卑
[00:01:37.000 --> 00:01:41.000]  自卑的必升為高
[00:01:41.000 --> 00:01:46.000]  這個比喻是最簡單
[00:01:46.000 --> 00:01:50.000]  也是最難明白的一個比喻
[00:01:50.000 --> 00:01:51.000]  它是簡單
[00:01:51.000 --> 00:01:55.000]  因為它所說的所記的
[00:01:55.000 --> 00:01:58.000]  都好像是不解自明的
[00:01:58.000 --> 00:02:02.000]  比如我們看到第九節
[00:02:02.000 --> 00:02:05.000]  就是整個比喻的主題
[00:02:05.000 --> 00:02:08.000]  耶穌向那些
[00:02:08.000 --> 00:02:13.000]  仗著自己是義人而藐視別人的設一個比喻
[00:02:13.000 --> 00:02:16.000]  這個很容易解釋
[00:02:16.000 --> 00:02:18.000]  然後十到十三節
[00:02:18.000 --> 00:02:21.000]  就是說到比喻的內容
[00:02:21.000 --> 00:02:24.000]  內容基本上就是兩個人的禱告
[00:02:24.000 --> 00:02:26.000]  伯尼塞人的禱告
[00:02:26.000 --> 00:02:29.000]  他為兩樣東西
[00:02:29.000 --> 00:02:31.000]  為所有來感謝
[00:02:31.000 --> 00:02:34.000]  是沒有祈求的
[00:02:34.000 --> 00:02:36.000]  第二個就是這個瑞利的禱告
[00:02:36.000 --> 00:02:38.000]  一個完全絕望
[00:02:38.000 --> 00:02:41.000]  求神憐憫的禱告
[00:02:41.000 --> 00:02:43.000]  也是很清楚
[00:02:43.000 --> 00:02:47.000]  我們一讀就知道它是怎麼解釋的
[00:02:47.000 --> 00:02:52.000]  然後就是第十四節那個比喻的結論
[00:02:52.000 --> 00:02:55.000]  就是說瑞利被稱為義
[00:02:55.000 --> 00:02:58.000]  伯尼塞人就不被稱為義
[00:02:58.000 --> 00:03:01.000]  因為自高的必降卑
[00:03:01.000 --> 00:03:03.000]  自卑的就升高
[00:03:03.000 --> 00:03:06.000]  好像是不需要解釋的
[00:03:06.000 --> 00:03:10.000]  為什麼我們說它也是最難明白的呢?
[00:03:10.000 --> 00:03:15.000]  原來我們所謂的簡單不解自明
[00:03:15.000 --> 00:03:19.000]  在我們裡面對瑞利是一個什麼樣的人
[00:03:19.000 --> 00:03:21.000]  我們有了一個設想
[00:03:21.000 --> 00:03:23.000]  我們自己有了一個幻想
[00:03:23.000 --> 00:03:25.000]  對那個瑞利是一個什麼樣的人
[00:03:25.000 --> 00:03:27.000]  我們又有了一個先入為主的
[00:03:27.000 --> 00:03:30.000]  我們以為的那個了解
[00:03:30.000 --> 00:03:32.000]  所以我們就解釋
[00:03:32.000 --> 00:03:37.000]  因為這個瑞利他自己謙卑
[00:03:37.000 --> 00:03:38.000]  所以被稱為義
[00:03:38.000 --> 00:03:42.000]  而伯尼塞人就因為他們的自大
[00:03:42.000 --> 00:03:45.000]  所以就不被稱為義
[00:03:45.000 --> 00:03:49.000]  這個是我們的了解
[00:03:49.000 --> 00:03:54.000]  但是在當日的巴勒斯坦地的猶太人
