
[00:00:00.000 --> 00:00:06.000]  多謝主讓我們今天聚集
[00:00:06.000 --> 00:00:09.000]  聽啟示錄的訊息
[00:00:09.000 --> 00:00:12.000]  今天講的經文
[00:00:12.000 --> 00:00:17.000]  主要是十一章十五節
[00:00:17.000 --> 00:00:24.000]  世上的國成了我主和主基督的國
[00:00:24.000 --> 00:00:28.000]  他要作王直到永永遠遠
[00:00:28.000 --> 00:00:33.000]  尼賽亞神曲我相信大家都聽過
[00:00:33.000 --> 00:00:37.000]  特別是那個Hallelujah大合唱
[00:00:37.000 --> 00:00:45.000]  我都記得斯班曾經唱過這首大合唱
[00:00:45.000 --> 00:00:51.000]  我常常都以為這一套的神曲就是以這個大合唱
[00:00:51.000 --> 00:00:54.000]  Hallelujah Hallelujah Hallelujah
[00:00:54.000 --> 00:00:59.000]  主我神全能者作王直到永遠
[00:00:59.000 --> 00:01:01.000]  Forever and ever and ever
[00:01:01.000 --> 00:01:02.000]  記不記得
[00:01:02.000 --> 00:01:04.000]  以為是這樣結束
[00:01:04.000 --> 00:01:06.000]  其實不是
[00:01:06.000 --> 00:01:08.000]  他是以羔羊種
[00:01:08.000 --> 00:01:10.000]  曾被殺的羔羊
[00:01:10.000 --> 00:01:14.000]  是配得榮耀尊貴權能
[00:01:14.000 --> 00:01:18.000]  直到永永遠遠
[00:01:18.000 --> 00:01:20.000]  主讓我們活在今天的香港
[00:01:20.000 --> 00:01:24.000]  主讓我們今天以主禱文
[00:01:24.000 --> 00:01:25.000]  神的名
[00:01:25.000 --> 00:01:26.000]  神的國
[00:01:26.000 --> 00:01:28.000]  神的美意
[00:01:28.000 --> 00:01:32.000]  來作我們聚會的開始
[00:01:32.000 --> 00:01:34.000]  也在今天的經文
[00:01:34.000 --> 00:01:38.000]  再一次告訴我們啟示錄的主角
[00:01:38.000 --> 00:01:40.000]  只有一位
[00:01:40.000 --> 00:01:42.000]  主耶穌基督
[00:01:42.000 --> 00:01:44.000]  歷史的主角
[00:01:44.000 --> 00:01:47.000]  也只有主耶穌基督
[00:01:47.000 --> 00:01:52.000]  今天我分兩大段來和大家分享
[00:01:52.000 --> 00:01:58.000]  Anti-Right所寫的啟示錄的解經
[00:01:58.000 --> 00:02:01.000]  順便告訴大家一個好消息
