
[00:00:00.000 --> 00:00:08.640]  很快又來到文數記最後一個訊息
[00:00:08.640 --> 00:00:10.640]  實在是有點不捨得
[00:00:10.640 --> 00:00:14.000]  我每次再讀舊約的時候
[00:00:14.000 --> 00:00:17.040]  每一本書我都會愛上
[00:00:17.040 --> 00:00:21.040]  要離開實在是非常不捨得
[00:00:21.040 --> 00:00:26.880]  今天要和大家講的是土地和誠邑
[00:00:26.880 --> 00:00:33.920]  其實經文來講我們留下的是26至36章
[00:00:33.920 --> 00:00:38.640]  但大家記不記得我和大家講西羅菲哈的五個女兒
[00:00:38.640 --> 00:00:42.240]  講27章的時候已經講了36章
[00:00:42.240 --> 00:00:46.880]  所以今天剩下的經文其實只是32至35章
[00:00:46.880 --> 00:00:49.920]  是有關土地和誠邑
[00:00:49.920 --> 00:00:57.280]  其實26章至36章都是講第二代以色列人
[00:00:57.280 --> 00:01:01.120]  透過他們守律例典章
[00:01:01.120 --> 00:01:05.120]  表現出他們非常有服從神的心
[00:01:05.120 --> 00:01:09.280]  28、29章我們看到他們獻祭
[00:01:09.280 --> 00:01:10.720]  看到他們守節旗
[00:01:10.720 --> 00:01:14.000]  那些很繁複、很瑣碎的節旗
[00:01:14.000 --> 00:01:17.280]  表現出他們非常非常的順服
[00:01:17.280 --> 00:01:21.120]  我們上一次講許願和公物
[00:01:21.120 --> 00:01:24.080]  我們說許願是家庭的順服
[00:01:24.080 --> 00:01:26.240]  女兒服從父親
[00:01:26.240 --> 00:01:29.040]  我們說妻子服從丈夫
[00:01:29.040 --> 00:01:32.960]  我們說打仗他們也要服從
[00:01:32.960 --> 00:01:35.440]  在戰場上摸到死屍
[00:01:35.440 --> 00:01:38.640]  他們仍然要守潔淨禮儀
[00:01:38.640 --> 00:01:43.680]  他們拿到的公物也要拿回去大家評分
[00:01:43.680 --> 00:01:46.080]  表現出他們非常順服
[00:01:46.080 --> 00:01:50.240]  今天土地誠邑又有什麼訊息呢?
[00:01:50.240 --> 00:01:52.240]  讓我們一起來看看
[00:01:52.240 --> 00:02:00.400]  其實32章有關兩個半支派
[00:02:00.400 --> 00:02:04.320]  其中12支派當中有兩個半支派
[00:02:04.320 --> 00:02:07.840]  他們看中了約旦河東邊的土地
[00:02:07.840 --> 00:02:10.880]  於是他們希望得到那邊的封地
[00:02:10.880 --> 00:02:13.600]  32章就是關於這些事情
[00:02:13.600 --> 00:02:20.000]  33章是以色列人在礦業的路程40年
[00:02:20.000 --> 00:02:21.520]  走了40年
[00:02:21.520 --> 00:02:24.640]  告訴我們他們走了什麼路
[00:02:24.640 --> 00:02:25.760]  在33章
[00:02:25.760 --> 00:02:31.280]  34章又告訴我們英許之地的範圍是怎樣
[00:02:31.280 --> 00:02:34.880]  東南西北的邊界去到哪裡
[00:02:34.880 --> 00:02:38.880]  這些你看到都是和土地有關
[00:02:38.880 --> 00:02:42.400]  都是和12支派的分地有關
[00:02:42.400 --> 00:02:47.520]  35章是講屠城
[00:02:47.520 --> 00:02:49.520]  講到誠邑
[00:02:49.520 --> 00:02:52.800]  這個就是和地分開了
[00:02:52.800 --> 00:02:55.200]  雖然誠邑仍然在地上
[00:02:55.200 --> 00:02:58.400]  但我們知道12支派得到地
[00:02:58.400 --> 00:03:00.400]  利美人得到城
[00:03:00.400 --> 00:03:07.680]  這個次序和《文素記》其他的經文很相似
[00:03:07.680 --> 00:03:11.840]  記不記得1-4章說數點人民時
[00:03:11.840 --> 00:03:13.440]  是先數12支派
[00:03:13.440 --> 00:03:15.440]  然後數利美人
[00:03:15.440 --> 00:03:20.800]  第7章我們說以色列人的領袖來獻禮
[00:03:20.800 --> 00:03:23.280]  先是12支派獻禮
[00:03:23.280 --> 00:03:25.280]  然後是利美人
[00:03:25.280 --> 00:03:29.520]  而現在來到最後幾章的經文
[00:03:29.520 --> 00:03:33.280]  我們也看到先分地給12支派
[00:03:33.280 --> 00:03:37.440]  然後才將誠邑分給利美人
[00:03:37.440 --> 00:03:40.000]  這個非常有次序
[00:03:40.000 --> 00:03:45.120]  我們看看32章
[00:03:45.120 --> 00:03:50.480]  是講有兩個半支派在約旦河東
[00:03:50.480 --> 00:03:51.920]  看中了地
[00:03:51.920 --> 00:03:55.200]  兩個支派是劉變和加德
[00:03:55.200 --> 00:03:57.920]  他們來到摩西的面前
[00:03:57.920 --> 00:04:02.960]  來到祭司以利亞薩和眾領袖的面前說
[00:04:02.960 --> 00:04:05.760]  我們約在你眼前蒙恩
[00:04:05.760 --> 00:04:08.560]  求你把這地給我們為業
[00:04:08.560 --> 00:04:11.440]  不要讓我們過約旦河
[00:04:11.440 --> 00:04:17.200]  原來他們看中了約旦河東面的地方
[00:04:17.200 --> 00:04:21.520]  其實是有瓦瀞地和基烈地
[00:04:21.520 --> 00:04:24.400]  等一會基烈地主日學我們會說
[00:04:24.400 --> 00:04:27.040]  我們也會大肚有說基烈地
[00:04:27.040 --> 00:04:30.720]  這些地也在約旦河東面
[00:04:30.720 --> 00:04:32.000]  他們看中了
[00:04:32.000 --> 00:04:33.360]  為什麼看中?
[00:04:33.360 --> 00:04:35.360]  因為那些地很肥沃
[00:04:35.360 --> 00:04:37.360]  有很多草場
[00:04:37.360 --> 00:04:43.040]  而我們知道劉變和加德有很多新畜
[00:04:43.040 --> 00:04:48.240]  所以他們喜歡的地可以放他們的新畜
[00:04:48.240 --> 00:04:52.000]  去到文素記32章33節
[00:04:52.000 --> 00:04:55.040]  你會發覺會加多半支派
[00:04:55.040 --> 00:04:58.400]  這半支派就是馬拿西支派
[00:04:58.400 --> 00:05:01.440]  為什麼會有半支派呢?
[00:05:01.440 --> 00:05:02.880]  聖經沒有說
[00:05:02.880 --> 00:05:04.000]  所以我們不知道
[00:05:04.000 --> 00:05:08.000]  兩個半支派就在河東看中了那些地
[00:05:08.000 --> 00:05:14.720]  其實也能夠了解為什麼加德和劉變會在一起
