
[00:00:00.000 --> 00:00:04.320]  各位電影節目的觀眾大家好
[00:00:04.320 --> 00:00:07.280]  今天我要和大家討論一個問題
[00:00:07.280 --> 00:00:12.560]  到底撒旦經常在我們基督徒的人生中
[00:00:12.560 --> 00:00:17.280]  用什麼方法去試驗我們呢?
[00:00:17.280 --> 00:00:23.520]  最常有的方法是試煉或試探
[00:00:23.520 --> 00:00:28.160]  我覺得和中國人所說的不外乎有兩種
[00:00:28.160 --> 00:00:30.160]  第一種叫做捧殺
[00:00:30.160 --> 00:00:33.680]  第二種叫捧殺
[00:00:33.680 --> 00:00:36.960]  捧殺、捧殺
[00:00:36.960 --> 00:00:39.360]  捧殺大家應該很清楚
[00:00:39.360 --> 00:00:43.600]  我們中國很多極權的皇帝
[00:00:43.600 --> 00:00:46.160]  如果臣子不聽話
[00:00:46.160 --> 00:00:50.160]  或者在公堂上犯人不聽話
[00:00:50.160 --> 00:00:54.160]  就拘捕他去打五十大板
[00:00:54.160 --> 00:00:56.960]  打到頭都凹陷
[00:00:56.960 --> 00:00:59.280]  氣焰都沒有了
[00:00:59.280 --> 00:01:02.160]  乖乖聽話
[00:01:02.160 --> 00:01:05.280]  然後服在權柄的底下
[00:01:05.280 --> 00:01:07.280]  這個叫做捧殺
[00:01:07.280 --> 00:01:14.640]  魔鬼撒旦經常用壓迫、撫懶、逼迫
[00:01:14.640 --> 00:01:20.880]  用一些基督徒很難肉身抵擋的方法
[00:01:20.880 --> 00:01:24.640]  使我們就範、妥協
[00:01:24.640 --> 00:01:28.720]  其實捧殺不單單是肉身
[00:01:28.720 --> 00:01:32.240]  也可以包含一些心理上的
[00:01:32.240 --> 00:01:37.200]  譬如老闆給我們很多精神上的壓力
[00:01:37.200 --> 00:01:40.320]  給我們一些威脅
[00:01:40.320 --> 00:01:42.320]  或者說譏諷
[00:01:42.320 --> 00:01:47.040]  或者我們旁邊的人對我們信仰的一些攻擊
[00:01:47.040 --> 00:01:50.080]  這些全部都是心理上的
[00:01:50.320 --> 00:01:54.480]  心理上的都是要讓我們受打壓之後
[00:01:54.480 --> 00:01:57.200]  乖乖的就範
[00:01:57.200 --> 00:02:04.480]  有很多人在被捧殺、被人攻擊、被人擊打的時候
[00:02:04.480 --> 00:02:08.320]  他們的反應是很慘的
[00:02:08.320 --> 00:02:10.880]  然後好像天都掉下來了
[00:02:10.880 --> 00:02:12.880]  不知道怎麼辦
[00:02:12.880 --> 00:02:17.680]  有很多時候在淑女的路上放棄自己的信仰
[00:02:17.680 --> 00:02:20.560]  我們現在說捧殺
[00:02:20.560 --> 00:02:22.560]  捧殺是什麼呢?
[00:02:22.560 --> 00:02:26.000]  就是藉著吹捧、誇獎、或者褒揚
[00:02:26.000 --> 00:02:29.840]  然後使一個人感覺到自己不可一世
[00:02:29.840 --> 00:02:31.840]  捧到你上天
[00:02:31.840 --> 00:02:35.600]  然後捧到你飄飄然在上面
[00:02:35.600 --> 00:02:40.320]  然後覺得自己太厲害了
[00:02:40.320 --> 00:02:43.120]  然後忽然間就鬆手
[00:02:43.120 --> 00:02:46.000]  整個人就打了下來
