
[00:00:00.000 --> 00:00:14.640]  我很喜歡聽音樂會的,我自從中學開始玩中樂的時候
[00:00:14.640 --> 00:00:20.800]  我都很喜歡聽角色形式的音樂會,以前讀書很幸福
[00:00:20.800 --> 00:00:26.600]  那些音樂會很便宜的,我有幾個很好的朋友
[00:00:26.600 --> 00:00:32.280]  我們經常都說我們要去搞一下文化,我們就很喜歡去聽音樂會
[00:00:32.280 --> 00:00:41.080]  其實偶爾在加拿大,在外國,我都很喜歡去聽一些音樂會或者一些舞台劇
[00:00:41.080 --> 00:00:50.600]  昨天很開心,我兒子就請我和師母一起去吃一頓好的
[00:00:50.600 --> 00:00:53.600]  然後就帶我們去聽音樂會
[00:00:53.600 --> 00:01:07.080]  在這個音樂會裡面,其實主要所聽的音樂都是一位很著名的作曲家叫莫扎特,Mozart
[00:01:07.080 --> 00:01:19.080]  他的一些名曲,但是其實昨晚那首音樂會裡面最主要播放的音樂就叫做《安息》
[00:01:19.080 --> 00:01:28.400]  因為這首歌他用拉丁文的名稱叫做《Requiem》
[00:01:28.400 --> 00:01:37.600]  就是休息的意思,其實是一首反映出在一個喪禮的過程當中
[00:01:37.600 --> 00:01:43.880]  一些人,特別是信徒,教會的信徒,當時主要是天主教的信徒
[00:01:43.880 --> 00:01:49.880]  對於一些已經死了的人,他們不知道他是不是真的得救
[00:01:49.880 --> 00:01:59.400]  於是乎就在這首歌曲裡面,就去介紹他們怎樣去到上帝的面前
[00:01:59.400 --> 00:02:10.400]  說上帝怎樣有恩典、有文,然後祈求上帝將這些死了的人帶回永恆的拯救裡面
[00:02:10.400 --> 00:02:17.080]  我聽的時候,或者看這些歌詞的時候,我有一個很深的反思
[00:02:17.080 --> 00:02:21.800]  就是其實很多時候我們究竟知不知道自己是不是真的得救
[00:02:21.800 --> 00:02:31.080]  我們期望人得救這件事是我們做基督徒的一個很大的心願
[00:02:31.080 --> 00:02:34.080]  因為這個也是上帝的心願
[00:02:34.080 --> 00:02:40.080]  基督徒對上帝有這個期盼萬人得救的思維
[00:02:40.080 --> 00:02:45.080]  其實,熟成的知名人士很自然也有這種思維
[00:02:45.080 --> 00:02:53.080]  不過,當我們有這個期盼的同時,究竟實際上我們是不是真的得救呢?
[00:02:53.080 --> 00:02:58.080]  這個反而是一個很大的一個疑問
[00:02:58.080 --> 00:03:04.080]  所以,當我們在基督教裡面經常談論到信這個題目的時候
[00:03:04.080 --> 00:03:11.080]  我們都會混淆了兩個很相似,但其實本身是不同的觀念
[00:03:11.080 --> 00:03:14.080]  一個就是什麼叫做信,Faith
[00:03:14.080 --> 00:03:18.080]  還有什麼叫做信心,Confidence
[00:03:18.080 --> 00:03:26.080]  其實,信和信心兩者之間其實是可以有一個頗大的距離的
[00:03:26.080 --> 00:03:31.080]  信,Faith其實是指一個人的靈性的質素
[00:03:31.080 --> 00:03:36.080]  源於上帝透過聖靈的賜予
[00:03:36.080 --> 00:03:43.080]  所以能夠讓我們再次和上帝建立一份很特殊的永恆的關係
[00:03:43.080 --> 00:03:45.080]  這個叫做信
[00:03:45.080 --> 00:03:51.080]  至於信心,Faith的相連字叫做Confidence
[00:03:51.080 --> 00:03:57.080]  在這個字眼上面就有程度的不同
[00:03:57.080 --> 00:04:00.080]  可以高,可以低
[00:04:00.080 --> 00:04:04.080]  至於怎樣高,又怎樣低呢?
[00:04:04.080 --> 00:04:08.080]  其實就很視乎很多外圍的因素
[00:04:08.080 --> 00:04:12.080]  和信這件事本身似乎好像有關連
[00:04:12.080 --> 00:04:22.080]  其實信心這件事是一個浮動的指標
[00:04:22.080 --> 00:04:30.080]  不過很可惜的是很多時候我們將信和信心這兩者混為一談
[00:04:30.080 --> 00:04:37.080]  於是就會產生了一種很奇怪的神學構造
[00:04:37.080 --> 00:04:41.080]  我們稱之為信心的大小
[00:04:41.080 --> 00:04:45.080]  Confidence是可以多,可以少
[00:04:45.080 --> 00:04:48.080]  所以很多時候有些信徒就以為
[00:04:48.080 --> 00:04:52.080]  我對上帝可以有時多,可以有時少
[00:04:52.080 --> 00:04:56.080]  但是其實信本身是一份關係
[00:04:56.080 --> 00:05:00.080]  和上帝的關係建立了之後就沒有多少之分
[00:05:00.080 --> 00:05:05.080]  但很可惜的是當我們將信心混淆了
[00:05:05.080 --> 00:05:08.080]  信這個題目之後就造成了很多時候
[00:05:08.080 --> 00:05:16.080]  有一種利用小信來掩飾我們犯罪的一種藉口
[00:05:16.080 --> 00:05:22.080]  甚至帶到上帝的面前來向上帝說數
[00:05:22.080 --> 00:05:26.080]  說上帝啊,我今天小信一點而已
[00:05:26.080 --> 00:05:30.080]  所以你就理解一下我是一個軟弱的人
[00:05:30.080 --> 00:05:32.080]  所以你就不要罰我了
[00:05:32.080 --> 00:05:38.080]  就好像我昨晚所聽的莫扎特的歌詞一樣
[00:05:38.080 --> 00:05:46.080]  他們自己是一種很無奈又很不確定的信仰狀態
[00:05:46.080 --> 00:05:49.080]  究竟怎樣去勝過這種狀態
[00:05:49.080 --> 00:05:53.080]  重新要在信這個題目上打出根基呢?
[00:05:53.080 --> 00:05:55.080]  所以今天我就透過這段聖經
[00:05:55.080 --> 00:06:00.080]  這段聖經本身耶穌向當時十二個門徒
[00:06:00.080 --> 00:06:03.080]  當然今天我有機會可以讀完這段聖經的時候
[00:06:03.080 --> 00:06:06.080]  去明白或者去反思這個題目
[00:06:06.080 --> 00:06:11.080]  就是我們究竟怎樣才可以知道自己真的信得過神
[00:06:11.080 --> 00:06:16.080]  How can I know my faith to the Lord is solid
[00:06:16.080 --> 00:06:19.080]  在我們還沒看這段經文之前
[00:06:19.080 --> 00:06:22.080]  我們再不如讀一下這段經文
[00:06:22.080 --> 00:06:23.080]  這段經文很長
[00:06:23.080 --> 00:06:27.080]  從第34節至第39節
[00:06:27.080 --> 00:06:31.080]  我們會以和合本讀一次
[00:06:31.080 --> 00:06:36.080]  然後我也輕輕地用英文讀一次
[00:06:36.080 --> 00:06:39.080]  因為在這段經文裡
[00:06:39.080 --> 00:06:44.080]  英語的翻譯是幫助到我們不少的
[00:06:44.080 --> 00:06:49.080]  我們一起先讀一下和合本的版本
[00:06:49.080 --> 00:06:51.080]  《馬太福音》第十章
[00:06:51.080 --> 00:06:55.080]  從第34節至第39節
[00:06:55.080 --> 00:06:57.080]  我們一起讀
[00:06:57.080 --> 00:07:03.080]  「你們不要想我來是叫地上太平
[00:07:03.080 --> 00:07:07.080]  我來並不是叫地上太平
[00:07:07.080 --> 00:07:10.080]  乃是叫地上動刀兵
[00:07:10.080 --> 00:07:14.080]  因為我來是叫人與父親生疏
[00:07:14.080 --> 00:07:17.080]  女兒與母親生疏
[00:07:17.080 --> 00:07:20.080]  媳婦與婆婆生疏
[00:07:20.080 --> 00:07:24.080]  人的仇的就是自己家裡的人」
[00:07:24.080 --> 00:07:27.080]  「愛父母過於愛我的
[00:07:27.080 --> 00:07:30.080]  不配作我的門徒
[00:07:30.080 --> 00:07:33.080]  愛兒女過於愛我的
[00:07:33.080 --> 00:07:35.080]  不配作我的門徒
[00:07:35.080 --> 00:07:40.080]  不配著他的十字架跟著我的
[00:07:40.080 --> 00:07:43.080]  也不配作我的門徒
[00:07:43.080 --> 00:07:47.080]  得著生命的將要失喪生命
[00:07:47.080 --> 00:07:52.080]  為我失喪生命的將要得著生命」
[00:07:52.080 --> 00:07:53.080]  New English Translation
[00:07:53.080 --> 00:07:57.080]  「你不要想我來是叫地上太平
[00:07:57.080 --> 00:08:00.080]  我來並不是叫地上太平
[00:08:00.080 --> 00:08:02.080]  乃是叫地上動刀兵
[00:08:02.080 --> 00:08:06.080]  因為我來是叫人與父親生疏
[00:08:06.080 --> 00:08:09.080]  女兒與母親生疏
[00:08:09.080 --> 00:08:12.080]  媳婦與婆婆生疏
