
[00:00:00.000 --> 00:00:06.500]  新年应该为你和我带来一些兴奋
[00:00:06.500 --> 00:00:10.520]  但这个新年大家好像心里有点紧张
[00:00:10.520 --> 00:00:13.400]  因为世界在变化中
[00:00:13.400 --> 00:00:17.960]  很多事情我们都不知道会是怎样
[00:00:17.960 --> 00:00:24.080]  我们当中有几位是从香港来探望他的亲人
[00:00:24.080 --> 00:00:28.000]  刚才我和他说香港发生很多事
[00:00:28.000 --> 00:00:30.920]  他说美国这里也发生很多事
[00:00:30.920 --> 00:00:35.600]  周围我们都不知道今年会是怎样
[00:00:35.600 --> 00:00:39.280]  俄乌战争正在打
[00:00:39.280 --> 00:00:41.960]  不知道什么时候才会完
[00:00:41.960 --> 00:00:44.800]  又不知道这个疫情
[00:00:44.800 --> 00:00:46.880]  现在中国那里突然间说开放
[00:00:46.880 --> 00:00:51.000]  1月8号说全部通关开放
[00:00:51.000 --> 00:00:55.400]  香港又会有很多人在上面涌下来
[00:00:55.400 --> 00:00:58.840]  世界各地的飞机飞来飞去
[00:00:58.840 --> 00:01:03.280]  会不会又变回几年前疫情开始的时候那样
[00:01:03.280 --> 00:01:06.400]  全球瘟疫大爆发呢?
[00:01:06.400 --> 00:01:08.200]  我们真的不知道
[00:01:08.200 --> 00:01:13.720]  没有一个人能够告诉我们将来会发生什么事
[00:01:13.720 --> 00:01:15.920]  不过我们信主的
[00:01:15.920 --> 00:01:21.000]  我们虽然有些忧虑、有些担心
[00:01:21.000 --> 00:01:25.000]  但我们知道谁在掌权
[00:01:25.000 --> 00:01:28.080]  我们知道神仍然坐在他的宝座上面
[00:01:28.080 --> 00:01:31.440]  我们知道无论是什么环境
[00:01:31.440 --> 00:01:33.440]  我们都在神的手中
[00:01:33.440 --> 00:01:35.280]  我们是属于他的
[00:01:35.280 --> 00:01:38.960]  所以我们心里不需要惊惧
[00:01:38.960 --> 00:01:41.280]  不需要没有了平安
[00:01:41.280 --> 00:01:44.000]  我知道我说就很容易
[00:01:44.000 --> 00:01:47.120]  但当事情临到的时候
[00:01:47.120 --> 00:01:49.520]  有时我们都会手足无措
[00:01:49.520 --> 00:01:53.320]  我们要记住我们是属于神的
[00:01:53.320 --> 00:01:55.880]  有时我会和大家说到
