
[00:00:00.000 --> 00:00:05.000]  各位大兄姐們 各位朋友 晚安
[00:00:05.000 --> 00:00:09.600]  不是叫你睡覺 晚安 千萬不要睡
[00:00:09.600 --> 00:00:12.200]  很高興再一次來到香港
[00:00:12.200 --> 00:00:14.000]  有些在座朋友可能不認識我
[00:00:14.000 --> 00:00:15.200]  我在多倫多的
[00:00:15.200 --> 00:00:18.200]  我是昨天早上四點半到機
[00:00:18.200 --> 00:00:21.000]  接著四點半到機當然沒得睡
[00:00:21.000 --> 00:00:24.000]  我十點九已經在這裡講了第一堂喜樂團
[00:00:24.000 --> 00:00:27.000]  接著兩點半就講了國語姐妹組
[00:00:27.000 --> 00:00:29.000]  這一堂是我在港福堂第三堂
[00:00:29.000 --> 00:00:31.000]  這次來港福堂總共有八堂
[00:00:31.000 --> 00:00:33.000]  這是第三堂
[00:00:33.000 --> 00:00:36.000]  明天我就會離開香港一段時間
[00:00:36.000 --> 00:00:38.000]  然後星期五再回來
[00:00:38.000 --> 00:00:42.000]  星期二還會在港福堂講
[00:00:42.000 --> 00:00:44.000]  今晚這個題目
[00:00:44.000 --> 00:00:47.000]  其實這次我幫大家改的題目是很漂亮的
[00:00:47.000 --> 00:00:50.000]  我覺得叫做仰望星空
[00:00:50.000 --> 00:00:51.000]  接著還有一堂什麼
[00:00:51.000 --> 00:00:53.000]  漫步雨中
[00:00:53.000 --> 00:00:56.000]  還有一堂叫做一生渴求
[00:00:56.000 --> 00:00:58.000]  在粵語堂我會講兩堂
[00:00:58.000 --> 00:01:01.000]  仰望星空和漫步雨中
[00:01:01.000 --> 00:01:05.000]  接著在國語崇拜就會講一堂叫做一生渴求
[00:01:05.000 --> 00:01:06.000]  我們做個簡單祈禱
[00:01:06.000 --> 00:01:09.000]  天父我們求祢讓我們有聆聽的語德
[00:01:09.000 --> 00:01:11.000]  有明白的心
[00:01:11.000 --> 00:01:14.000]  能夠明白、能夠知道祢的心意
[00:01:14.000 --> 00:01:17.000]  又能夠明白、知道我們的需要
[00:01:17.000 --> 00:01:20.000]  以致能夠回應祢對我們的愛
[00:01:20.000 --> 00:01:22.000]  帶領以下的時間幫助我們
[00:01:22.000 --> 00:01:24.000]  奉耶穌的名祈禱
[00:01:24.000 --> 00:01:25.000]  阿們
[00:01:25.000 --> 00:01:26.000]  有一次在家裡吃飯
[00:01:26.000 --> 00:01:28.000]  吃飯的時候
[00:01:28.000 --> 00:01:30.000]  我兒子就問了一個問題
[00:01:30.000 --> 00:01:31.000]  他問什麼問題呢
[00:01:31.000 --> 00:01:32.000]  他用英文
[00:01:32.000 --> 00:01:34.000]  因為我兒子在加拿大出生
[00:01:34.000 --> 00:01:35.000]  他說爸爸
[00:01:35.000 --> 00:01:37.000]  How high is the sky?
[00:01:37.000 --> 00:01:39.000]  你兒子有沒有問過這個問題
[00:01:39.000 --> 00:01:40.000]  他說天有幾高
[00:01:40.000 --> 00:01:42.000]  沒有人的兒子問過這個問題
[00:01:42.000 --> 00:01:44.000]  只有我兒子問過這個問題
[00:01:44.000 --> 00:01:46.000]  是不是我兒子不是很正常
[00:01:46.000 --> 00:01:47.000]  突然間他問
[00:01:47.000 --> 00:01:49.000]  他說爸爸天有幾高啊
[00:01:49.000 --> 00:01:50.000]  我們在吃飯嘛
[00:01:50.000 --> 00:01:51.000]  那我很快回答他
[00:01:51.000 --> 00:01:53.000]  我說Very high
[00:01:53.000 --> 00:01:54.000]  吃吧吃吧
[00:01:54.000 --> 00:01:55.000]  那吃飯吧
[00:01:55.000 --> 00:01:57.000]  吃了不夠十秒鐘他就再問
[00:01:57.000 --> 00:01:58.000]  他說到底
[00:01:58.000 --> 00:02:00.000]  Well actually how high then
[00:02:00.000 --> 00:02:01.000]  我說Very high
[00:02:01.000 --> 00:02:03.000]  他說How high
[00:02:03.000 --> 00:02:05.000]  那我那時候在吃飯
[00:02:05.000 --> 00:02:07.000]  在吃西蘭花、炒牛肉
[00:02:07.000 --> 00:02:08.000]  剛剛在吃飯
[00:02:08.000 --> 00:02:10.000]  你吃飯問這麼深的問題
[00:02:10.000 --> 00:02:12.000]  會不消化的
[00:02:12.000 --> 00:02:14.000]  那我就很敷衍
[00:02:14.000 --> 00:02:17.000]  我說Well it's very very high
[00:02:17.000 --> 00:02:18.000]  然後我說
[00:02:18.000 --> 00:02:20.000]  Eat, don't talk
[00:02:20.000 --> 00:02:22.000]  Eat no talk, sleep no talk
[00:02:22.000 --> 00:02:22.500]  OK
[00:02:22.500 --> 00:02:24.000]  吃不言、寢不語
[00:02:24.000 --> 00:02:25.000]  那最好了
