
[00:00:00.000 --> 00:00:05.640]  各位提醒姐妹、各位朋友,你們好!
[00:00:05.640 --> 00:00:10.560]  歡迎大家參加我們三藩市播道會網上的五堂崇拜
[00:00:10.560 --> 00:00:13.520]  我們今天繼續思想希伯來書的信息
[00:00:13.520 --> 00:00:17.560]  我們會去到希伯來書第三章,第一節至第六節
[00:00:17.560 --> 00:00:20.880]  題目是:他到底是誰?
[00:00:20.880 --> 00:00:25.720]  未開始思想這段聖經之前,請我們同心低頭,我們同土告
[00:00:25.720 --> 00:00:28.400]  慈悲揚眼天父,我們滿心多謝你
[00:00:28.400 --> 00:00:32.000]  多謝你給寶貴的話語作為我們生命的指引
[00:00:32.000 --> 00:00:34.240]  求聖靈,祝你的話語
[00:00:34.240 --> 00:00:36.760]  向我們每個人說你所說的話
[00:00:36.760 --> 00:00:41.120]  無論是提醒的、勸勉的、教導的、安慰的、篤責的
[00:00:41.120 --> 00:00:43.960]  讓我們容得下你的話語在我們的生命裏面
[00:00:43.960 --> 00:00:45.600]  又去改變我們
[00:00:45.600 --> 00:00:48.920]  我們今天祈禱,那是奉耶穌基督命求
[00:00:48.920 --> 00:00:51.120]  阿門
[00:00:51.120 --> 00:00:53.280]  非凡的見證的作者
[00:00:53.280 --> 00:00:55.840]  王嚴麗池女士的兒子
[00:00:55.840 --> 00:00:59.960]  王澤林是一個患有自閉症的小朋友
[00:00:59.960 --> 00:01:02.880]  在1995年他們移民到澳洲
[00:01:02.880 --> 00:01:05.320]  那時候澤林只有十歲
[00:01:05.320 --> 00:01:07.680]  在學校的成績表
[00:01:07.680 --> 00:01:10.560]  老師對她有這樣的評語
[00:01:10.560 --> 00:01:13.800]  她說澤林沒有學習能力
[00:01:13.800 --> 00:01:16.760]  事實上她的智力只有65分
[00:01:16.760 --> 00:01:20.760]  教平常智商標準是少了35分
[00:01:20.760 --> 00:01:23.760]  起初的時候,澤林是不說話
[00:01:23.760 --> 00:01:25.320]  不懂寫東西
[00:01:25.320 --> 00:01:28.160]  坐著不夠10至15分鐘
[00:01:28.160 --> 00:01:30.680]  已經很不耐煩了
[00:01:30.680 --> 00:01:34.320]  爸爸媽媽本來都是教會的基督徒
