
[00:00:00.000 --> 00:00:02.000]  (字幕:Skyen)
[00:00:02.000 --> 00:00:04.000]  各位觀眾大家好
[00:00:04.000 --> 00:00:08.240]  今天跟大家一起思想的經文是出自於這個
[00:00:08.240 --> 00:00:09.520]  加拉太書
[00:00:09.520 --> 00:00:12.240]  今天我們會一起看的是第一章
[00:00:12.240 --> 00:00:14.760]  第十三節至第十七節
[00:00:14.760 --> 00:00:16.840]  今天主要講題的題目是
[00:00:16.840 --> 00:00:21.960]  黑歷史之屬靈生命更新的軌跡
[00:00:21.960 --> 00:00:24.680]  讓我們再次去打開這段聖經
[00:00:24.680 --> 00:00:27.280]  一起去小心去研讀
[00:00:27.280 --> 00:00:32.680]  今天這段聖經是連接上一個星期所講的聖經
[00:00:32.680 --> 00:00:36.560]  是從第十一和十二節開始有連貫
[00:00:36.560 --> 00:00:42.880]  讓我一次過將連同第十一十二節的經文一併讀出來
[00:00:42.880 --> 00:00:46.120]  希望大家能夠有更全面的理解
[00:00:46.120 --> 00:00:48.720]  我會先讀出和合本
[00:00:48.720 --> 00:00:50.640]  大兄們,我告訴你們
[00:00:50.640 --> 00:00:54.080]  我數來所傳的福音不是出於人的意思
[00:00:54.080 --> 00:00:56.680]  因為我不是從人領受的
[00:00:56.680 --> 00:00:58.920]  也不是人教導我的
[00:00:58.920 --> 00:01:01.560]  乃是從耶穌基督啟示來的
[00:01:01.560 --> 00:01:05.400]  你們聽見我從前在猶太教中所行的事
[00:01:05.400 --> 00:01:10.000]  怎樣極力迫伐殘害神的教會
[00:01:10.000 --> 00:01:16.280]  我又在猶太教中比我本國許多同歲的人更有長進
[00:01:16.280 --> 00:01:19.520]  為我祖宗的遺傳更加熱心
[00:01:19.520 --> 00:01:23.320]  然而那把我從母腹裡分別出來
[00:01:23.320 --> 00:01:25.320]  又私恩召我的神
[00:01:25.320 --> 00:01:29.200]  既然樂意將祂兒子啟示在我心裡
[00:01:29.200 --> 00:01:32.160]  叫我把祂傳在外邦人中
[00:01:32.160 --> 00:01:35.280]  我就沒有與屬血氣的人商量
[00:01:35.280 --> 00:01:40.200]  也沒有上耶路撒冷去見那些被我先作仕途的
[00:01:40.200 --> 00:01:42.200]  唯獨往阿拉伯去
[00:01:42.200 --> 00:01:44.600]  後又回到大馬士革
[00:01:44.600 --> 00:01:47.360]  每一個人都有一段歷史
[00:01:47.360 --> 00:01:50.880]  所以其實每一個人本身自己就是一段歷史
[00:01:50.880 --> 00:01:55.640]  歷史也可以分為正面的清歷史
[00:01:55.640 --> 00:01:58.520]  我們簡稱為我們的Glorious Past
[00:01:58.520 --> 00:02:00.880]  或者Bright Side of Our History
[00:02:00.880 --> 00:02:03.480]  和負面的黑歷史
[00:02:03.480 --> 00:02:07.080]  稱為Dark Past或Dark History
[00:02:07.080 --> 00:02:11.400]  有些人選擇留名清史
[00:02:11.400 --> 00:02:15.160]  但也有些人願意遺臭萬年
[00:02:15.160 --> 00:02:20.240]  而兩者背後的動機其實可以說是南轅北轍
[00:02:20.240 --> 00:02:24.040]  不過即或是兩者的動機都是南轅北轍
[00:02:24.040 --> 00:02:25.880]  無論是你或者我
[00:02:25.880 --> 00:02:29.480]  始終留下一個怎樣的歷史也好
[00:02:29.480 --> 00:02:34.200]  我們總是不喜歡被人提起自己口漏的一面
[00:02:34.200 --> 00:02:38.480]  自己更加不會是自曝其本上
[00:02:38.480 --> 00:02:40.680]  被人挖出一些黑歷史
[00:02:40.680 --> 00:02:43.680]  就好像我們加拿大的總理杜魯多
[00:02:43.680 --> 00:02:48.760]  他最怕就是被人經常挖他青少年時候去吃大麻這件事
[00:02:48.760 --> 00:02:52.280]  或者美國的前任總統克林頓
[00:02:52.280 --> 00:02:54.960]  也最不想被人重提
[00:02:54.960 --> 00:02:59.520]  他怎樣與那位建集生萊溫斯基的性醜聞
[00:02:59.520 --> 00:03:01.680]  甚至即或我們自己一個
[00:03:01.680 --> 00:03:04.640]  這麼平凡不是什麼國家元首也好
[00:03:04.640 --> 00:03:07.840]  我們都不希望有人提及到
[00:03:07.840 --> 00:03:12.000]  我們自己年輕的時候一些出醜的歷史
[00:03:12.000 --> 00:03:15.240]  但是當我們今天去讀到
[00:03:15.240 --> 00:03:20.560]  《加拿大書》第一章第十三至十七節的時候
[00:03:20.560 --> 00:03:22.640]  我們卻是讀到
[00:03:22.640 --> 00:03:28.040]  司徒保羅他自己親自主動地去重新提出
[00:03:28.040 --> 00:03:31.360]  一段有關於他自己的黑歷史
[00:03:31.360 --> 00:03:37.160]  而且這一段的黑歷史不單止叫人難以啟齒
[00:03:37.160 --> 00:03:39.920]  更重要的是這段的黑歷史
[00:03:39.920 --> 00:03:43.600]  隨時可以使得保羅
[00:03:43.600 --> 00:03:49.280]  他連在這個宗教界的立足機會都可以被除去
[00:03:49.280 --> 00:03:53.040]  既然一段歷史是這麼可怕的
[00:03:53.040 --> 00:03:58.480]  為什麼保羅還要在今天我們所看的《加拿大書》第一章
[00:03:58.480 --> 00:04:01.440]  特別是第十三至十七節裡面
[00:04:01.440 --> 00:04:07.240]  自招其辱或者自己掀起肚皮去給人看他的醜相呢?
[00:04:07.240 --> 00:04:11.920]  這個正正就是今天我們所看的主日崇拜的主題
[00:04:11.920 --> 00:04:17.680]  就是黑的歷史以至於我們屬靈生命更新的軌跡
[00:04:17.680 --> 00:04:23.440]  讓我們再一次回去看看這段聖經的經文的內容
[00:04:23.440 --> 00:04:25.840]  剛才其實我們已經讀過一次了
[00:04:25.840 --> 00:04:29.920]  也讀多重覆上一次
[00:04:29.920 --> 00:04:33.880]  我們看第十一十二節的時候的經文的內容
[00:04:33.880 --> 00:04:36.880]  在這段經文裡面
[00:04:36.880 --> 00:04:41.200]  基本上我們可以說是承接了保羅
[00:04:41.200 --> 00:04:44.960]  去談論到他得知這個福音的來源
[00:04:44.960 --> 00:04:48.960]  是完全不是源自於任何人
[00:04:48.960 --> 00:04:52.560]  而今天我們看到的保羅在這裡他就談到
[00:04:52.560 --> 00:04:57.200]  他得知了這個福音的由來的過程
[00:04:57.200 --> 00:04:59.160]  上文就說到這個源頭了
[00:04:59.160 --> 00:05:00.560]  福音的源頭
[00:05:00.560 --> 00:05:04.720]  今天就看到他怎樣得知這個福音的過程
[00:05:04.720 --> 00:05:10.240]  而在這個時候保羅就需要提及他自己在宗教的背景
[00:05:10.240 --> 00:05:13.560]  特別是他這段黑歷史的因由
[00:05:13.560 --> 00:05:19.600]  但是有什麼動機使得保羅要將這段黑歷史再次提出來呢?
[00:05:19.600 --> 00:05:21.400]  如果保羅這樣說
