
[00:00:00.000 --> 00:00:06.000]  有些人喜歡看著十字架禱告
[00:00:06.000 --> 00:00:08.000]  其實會令到你專心的
[00:00:08.000 --> 00:00:10.000]  我不知道大家剛才我祈禱的時候
[00:00:10.000 --> 00:00:12.000]  當我叫大家閉上眼
[00:00:12.000 --> 00:00:14.000]  你有沒有猶豫呢?
[00:00:14.000 --> 00:00:15.000]  有沒有馬上想
[00:00:15.000 --> 00:00:18.000]  「啊 幾點走呢?我約了人喝茶喔」
[00:00:18.000 --> 00:00:22.000]  「啊?我還沒記得打電話訂位喔」
[00:00:22.000 --> 00:00:24.000]  有些人閉上眼會專心一點
[00:00:24.000 --> 00:00:27.000]  有些人閉上眼會沒那麼專心
[00:00:27.000 --> 00:00:29.000]  所以我想最重要的
[00:00:29.000 --> 00:00:31.000]  不是張開眼睛 不是合上手
[00:00:31.000 --> 00:00:33.000]  不是低頭 不是站著
[00:00:33.000 --> 00:00:37.000]  最重要的是你的心是否對準耶穌
[00:00:37.000 --> 00:00:41.000]  不是外表是怎樣祈法
[00:00:41.000 --> 00:00:43.000]  所以耶穌曾經有一次
[00:00:43.000 --> 00:00:45.000]  祂也說祂對祈禱的看法
[00:00:45.000 --> 00:00:47.000]  祂說你們禱告的時候
[00:00:47.000 --> 00:00:51.000]  不要像那些假冒為善的人
[00:00:51.000 --> 00:00:53.000]  外站在會堂裡
[00:00:53.000 --> 00:00:56.000]  和十字路口禱告
[00:00:56.000 --> 00:00:58.000]  故意讓人看見
[00:00:58.000 --> 00:01:00.000]  我實實在在的告訴你們
[00:01:00.000 --> 00:01:03.000]  他們已經得了他們的賞賜
[00:01:03.000 --> 00:01:04.000]  為什麼要這樣做?
[00:01:04.000 --> 00:01:06.000]  為什麼要站在十字路口?
[00:01:06.000 --> 00:01:07.000]  因為多人走
[00:01:07.000 --> 00:01:08.000]  我們現在不會了
[00:01:08.000 --> 00:01:10.000]  我們會被車子撞死
[00:01:10.000 --> 00:01:13.000]  但以前的人喜歡站在十字路口
[00:01:13.000 --> 00:01:14.000]  祈禱的時候
[00:01:14.000 --> 00:01:15.000]  被人看見
[00:01:15.000 --> 00:01:18.000]  哇 他們真的虔誠了
[00:01:18.000 --> 00:01:19.000]  或者別人來到的時候
[00:01:19.000 --> 00:01:22.000]  在會堂裡大聲禱告
[00:01:22.000 --> 00:01:24.000]  所以有一天你看見我
[00:01:24.000 --> 00:01:26.000]  突然間有人開門
[00:01:26.000 --> 00:01:27.000]  聽到我立刻在那裡祈禱
[00:01:27.000 --> 00:01:28.000]  哎呀 上帝呀
