
[00:00:00.000 --> 00:00:15.440]  大家好,在這裏祝願每一個母親都能夠在今天這個母親節裏面能夠真是有個快樂的日子
[00:00:15.440 --> 00:00:23.440]  如果你有兒女可以和你一起慶祝,在這個時候希望你帶著一份感恩、感謝
[00:00:23.440 --> 00:00:33.280]  在上帝裏面能夠有你的兒女能夠藉著你在這個地上繼續不單止生命,可以生活
[00:00:33.280 --> 00:00:40.560]  並且希望藉此我們可以將基督的教訓能夠傳遞給我們下一代
[00:00:40.560 --> 00:00:49.080]  讓我們在聆聽主的說話以先,我們在這裏再一次同心低頭禱告,願我們主我們的神
[00:00:49.080 --> 00:00:54.000]  父神多謝你讓我們再次回來在你寶貴說話當中的學習
[00:00:54.000 --> 00:01:02.400]  多謝恩主讓我們有你的啟示,能夠讓我們可以隨時隨地去翻開閱讀
[00:01:02.400 --> 00:01:09.760]  並且從當中去蒙受上主你的教導,去孕育我們成為一個更合神心意的人
[00:01:09.760 --> 00:01:17.480]  求你的帶領讓在今天哥羅羅西書裏面的啟示能夠幫助我們每一個信徒
[00:01:17.480 --> 00:01:22.040]  學會怎樣真真正正了解何謂榮耀神
[00:01:22.040 --> 00:01:28.880]  何謂真真正正能夠參與在榮耀神的事情上
[00:01:28.880 --> 00:01:34.440]  又是準確知道甚麼才叫做上帝所喜悅的榮耀
[00:01:34.440 --> 00:01:38.760]  禱告奉靠主耶穌基督得勝的名字,阿們
[00:01:40.000 --> 00:01:48.280]  真是在基督教會的範圍當中,很多時候信徒都將榮耀神這句話掛在口邊
[00:01:48.280 --> 00:01:52.400]  究竟甚麼叫做榮耀神呢?
[00:01:52.400 --> 00:02:03.480]  又怎樣去榮耀神呢?我相信如果我將這兩條問題交上去給你或者向你發問的時候
[00:02:03.480 --> 00:02:06.920]  你可能真是啞口無言
[00:02:07.920 --> 00:02:14.240]  聖經裏面亦都對於榮耀神是作了一些甚麼的介紹和指導呢?
[00:02:14.240 --> 00:02:18.760]  所以今天我們在這些堂的講道裏面讓我們一起去思想
[00:02:18.760 --> 00:02:24.200]  甚麼叫做榮耀神,怎樣才彰顯到神的榮耀
[00:02:24.200 --> 00:02:29.960]  上帝亦都怎樣透過我們作為神的子民,怎樣我們可以學會去配搭
[00:02:29.960 --> 00:02:37.280]  能夠將上帝的榮耀去將祂折射或者反射出來在這個地上
[00:02:37.280 --> 00:02:43.600]  讓真真正正屬主的子民能夠被吸引回到上帝的面前
[00:02:43.600 --> 00:02:48.160]  讓我們再次一齊同心打開今日所看的經文
[00:02:48.160 --> 00:02:55.520]  哥羅西書的第三章第五至第十一節,讓我們一齊先讀一下這段經文
[00:02:55.520 --> 00:03:00.520]  很想我們能夠準確去知道經文裏面所講的內容是甚麼
[00:03:00.520 --> 00:03:05.840]  然後我們才一齊去看看怎樣去學會榮耀神
[00:03:05.840 --> 00:03:11.440]  好,請大家一齊打開哥羅西書第三章第五至十一節
[00:03:11.440 --> 00:03:13.680]  找到之後我們一齊讀
[00:03:13.680 --> 00:03:25.280]  「所以要致死你們在地上的肢體,就如淫亂、污穢、邪情、惡慾和貪婪
[00:03:25.280 --> 00:03:34.360]  貪婪就與拜偶像一樣,因這些事,神的憤怒必臨到那叛逆之子
[00:03:34.360 --> 00:03:41.440]  當你們在這些事中活著的時候,也曾這樣行過
[00:03:41.440 --> 00:03:50.960]  但現在你們要棄絕這一切的事,以及惱恨、憤怒、惡毒、誹謗
[00:03:50.960 --> 00:03:55.880]  並口中污穢的言語,不要彼此說謊
[00:03:55.880 --> 00:04:03.040]  因你們已經脫去舊人和舊人的行為,穿上了新人
[00:04:03.040 --> 00:04:10.760]  這新人在知識上漸漸更新,正如做他主的形象
[00:04:10.760 --> 00:04:18.400]  在此並不分希臘人、猶太人、受割禮的、未受割禮的
[00:04:18.400 --> 00:04:24.040]  化外人、西古提人、遺老的、自主的
[00:04:24.040 --> 00:04:30.240]  唯有基督是包括一切有著在各人之內」
[00:04:31.880 --> 00:04:35.240]  今天我們會分兩個部份去看這段聖經
[00:04:35.240 --> 00:04:40.200]  嘗試去理解榮耀神這件事
[00:04:40.200 --> 00:04:47.400]  和我們作為神的子民,甚至作為一個人的關係是怎樣
[00:04:47.400 --> 00:04:51.680]  先提及前文說些甚麼
[00:04:51.680 --> 00:04:57.840]  在前文我們已經說過,作為一間不似其他眾多的教會
[00:04:57.840 --> 00:05:02.560]  只是依賴著獲得世界的認同
[00:05:02.560 --> 00:05:09.200]  作為一種傳遞藉口或踏腳石的「哥羅西教會」
[00:05:09.200 --> 00:05:11.600]  它不是尋求這些東西的
[00:05:11.600 --> 00:05:17.480]  雖然在一個大城市裏,它不是尋求人的肯定或社會的肯定
[00:05:17.480 --> 00:05:24.040]  而去嘗試藉此成為教會,影響這個世界的原因
[00:05:24.040 --> 00:05:31.720]  它不會妥協,它不會因為這個世界潮流流行甚麼而去做的時候
[00:05:31.720 --> 00:05:35.920]  我相信這更加合乎上帝對於教會的要求
[00:05:35.920 --> 00:05:42.960]  因此今天即使我們處於21世紀的年代
[00:05:42.960 --> 00:05:46.240]  我們作為教會亦都應該學懂
[00:05:46.240 --> 00:05:57.560]  不要只去巴結這個世界,使這個世界人喜歡教會而吸引人教會這種做法
[00:05:57.560 --> 00:06:01.520]  因為這種做法很容易把教會拖入一個現象
[00:06:01.520 --> 00:06:13.560]  就是教會會變成向上帝的說話作出各方面的刪除
[00:06:13.560 --> 00:06:17.560]  很多東西不提及,所以在教會裏你會留意到
[00:06:17.560 --> 00:06:24.880]  你上網看看,很多港獨的牧者很多都不說
[00:06:24.880 --> 00:06:29.360]  很多書卷從來不會有人碰的
[00:06:29.360 --> 00:06:33.200]  為甚麼?因為那些說了出來會得罪人
[00:06:33.200 --> 00:06:36.880]  說完哥羅西書之後,我會回去說舊約
[00:06:36.880 --> 00:06:43.760]  我會去說俄巴底亞書,一卷很少人會去說的經文
[00:06:43.760 --> 00:06:51.560]  為甚麼?因為這些書很多信徒或教會覺得是給神學院研究的
[00:06:51.560 --> 00:06:54.480]  不是給信徒讀,甚至給信徒看
[00:06:54.480 --> 00:06:57.880]  因為那些說了出來會得罪很多人
[00:06:57.880 --> 00:07:11.720]  教會應有的存在的基礎是不應該為了擔心傳主的道而得罪人
[00:07:11.720 --> 00:07:16.520]  反而我們要明白到我們的角色就在這個世界裏面
[00:07:16.520 --> 00:07:21.520]  當傳講主的道的時候會興起一場屬靈的爭戰
[00:07:21.520 --> 00:07:24.440]  而這場爭戰會非常激烈
[00:07:24.440 --> 00:07:30.320]  我們會被這個世界的人甚至去討厭或憎惡
[00:07:30.320 --> 00:07:37.320]  但是教會仍然把守著這個對真理的堅持
[00:07:37.320 --> 00:07:41.040]  你說牧師這樣教會會受傷的
[00:07:41.040 --> 00:07:44.520]  是的,教會會受傷的,打仗怎會不受傷呢?
[00:07:44.520 --> 00:07:55.520]  但是在上文我們看到的就是原來我們的上帝會把我們放在一個「隱蔽」之下
[00:07:55.520 --> 00:08:01.520]  我們已經說過那個「隱蔽」的字眼可以把它翻譯為「掩護」
[00:08:01.520 --> 00:08:03.520]  好像打一場戰爭一樣
[00:08:03.520 --> 00:08:09.120]  你的同伴為了你去履行可以進攻的目的或者拯救的目的
[00:08:09.120 --> 00:08:17.720]  於是乎他會為了因此而作掩護,保守著我們去完成這個工作
[00:08:17.720 --> 00:08:21.720]  這些就真正是基督徒的侍奉
[00:08:21.720 --> 00:08:24.320]  亦都是我們在聖經裏面看到的
[00:08:24.320 --> 00:08:26.320]  上帝給我們作為信徒
[00:08:26.320 --> 00:08:31.320]  當我們在這個世界裏面願意去按真理而活的時候
[00:08:31.320 --> 00:08:33.320]  基督耶穌成為我們的掩護
[00:08:33.320 --> 00:08:38.920]  使得在這個世界裏面縱使有多少惡勢力怎樣討厭我們也好
[00:08:38.920 --> 00:08:42.120]  我們卻在這個過程中得蒙保守
[00:08:42.120 --> 00:08:51.720]  更重要的是可以因此而吸引或者拯救一些真正上帝要拯救的人
[00:08:51.720 --> 00:08:57.520]  而我們今天作為信徒的孫廣臣的說話其實不是我們去拯救那個人
[00:08:57.520 --> 00:09:04.920]  而是我們將上帝的說話讓那些要上帝被拯救的人被吸引回到上帝的面前
[00:09:04.920 --> 00:09:10.720]  有回一份同樣對上帝堅持不會妥協的生命
[00:09:10.720 --> 00:09:12.720]  這個是上文我們所看的
[00:09:12.720 --> 00:09:20.720]  來到跟著這段的聖經進入了一個題目是更加令人費解
[00:09:20.720 --> 00:09:23.720]  因為他談論到有關於神的榮耀的問題
[00:09:23.720 --> 00:09:33.720]  而這個榮耀的問題是包括了很多有關於創世的種種的關係
[00:09:33.720 --> 00:09:38.720]  我們今天會從這個角度重新揣摩
[00:09:38.720 --> 00:09:42.720]  哥羅西書想講的主題是什麼
[00:09:42.720 --> 00:09:45.720]  讓我們逐步去嘗試
[00:09:45.720 --> 00:09:49.720]  看看怎樣好像在聖經裏面
[00:09:49.720 --> 00:09:56.720]  我們可以去介紹去參與在這份彰顯神榮耀的工作當中
[00:09:56.720 --> 00:10:00.720]  什麼叫做榮耀神
[00:10:00.720 --> 00:10:04.720]  今天很多時候我們回教會很多牧者可能就講給你聽
[00:10:04.720 --> 00:10:06.720]  侍奉主咯
[00:10:06.720 --> 00:10:08.720]  什麼叫侍奉主
[00:10:08.720 --> 00:10:12.720]  侍奉主就是在教會擔當一官半職
[00:10:12.720 --> 00:10:14.720]  不要只是做平信徒
[00:10:14.720 --> 00:10:19.720]  不要只是坐在教會去崇拜齋聽
[00:10:19.720 --> 00:10:22.720]  要做一些事情的
[00:10:22.720 --> 00:10:24.720]  所以有些信徒就認為
[00:10:24.720 --> 00:10:30.720]  榮耀神的情況就是先由平信徒發展
[00:10:30.720 --> 00:10:34.720]  然後就去做一些教會的侍奉參與
[00:10:34.720 --> 00:10:36.720]  做一些義工
[00:10:36.720 --> 00:10:40.720]  我強調教會的工作不應該用義工這個觀念去看
[00:10:40.720 --> 00:10:44.720]  因為義工只不過是一份興趣
[00:10:44.720 --> 00:10:46.720]  你推動你去做的
[00:10:46.720 --> 00:10:51.720]  教會的侍奉是一種上帝的委託
[00:10:51.720 --> 00:10:56.720]  是有職責去委任並且去到履行
[00:10:56.720 --> 00:10:58.720]  不是義工
[00:10:58.720 --> 00:11:00.720]  做也行不做也行
