
[00:00:00.000 --> 00:00:04.000]  我們這次在啟思獎
[00:00:04.000 --> 00:00:06.000]  剛才我們所讀的那篇聖經
[00:00:06.000 --> 00:00:08.000]  請大家打開我們的情緒山第六頁
[00:00:08.000 --> 00:00:11.000]  我們所讀的經文提摩太后書的第四章
[00:00:11.000 --> 00:00:12.000]  一至到第八篇
[00:00:12.000 --> 00:00:14.000]  講道的大綱引在第五頁
[00:00:14.000 --> 00:00:18.000]  提摩太后書是保羅的遺囑
[00:00:18.000 --> 00:00:22.000]  可以說是全世以來最後的一篇作品
[00:00:22.000 --> 00:00:25.000]  我們曾經說過提摩太后書
[00:00:25.000 --> 00:00:28.000]  可以說是保羅的一生使命的宣言
[00:00:28.000 --> 00:00:30.000]  我相信來到第四章
[00:00:30.000 --> 00:00:32.000]  也是最後的一章
[00:00:32.000 --> 00:00:35.000]  保羅要結束他這個遺言的時候
[00:00:35.000 --> 00:00:39.000]  這篇聖經可以說是生命的總結
[00:00:39.000 --> 00:00:41.000]  生命的宣言
[00:00:41.000 --> 00:00:46.000]  大家請看今天的大綱的題目
[00:00:46.000 --> 00:00:50.000]  叫做現代性的弘大敘事
[00:00:50.000 --> 00:00:52.000]  一生不枉過
[00:00:52.000 --> 00:00:55.000]  很多人不明白什麼叫弘大敘事
[00:00:55.000 --> 00:00:56.000]  什麼來的
[00:00:56.000 --> 00:00:57.000]  什麼現代性
[00:00:57.000 --> 00:00:58.000]  搞什麼
[00:00:58.000 --> 00:01:00.000]  弘大敘事
[00:01:00.000 --> 00:01:02.000]  這個可能比較哲學性一點的字眼
[00:01:02.000 --> 00:01:04.000]  Grand Narratives
[00:01:04.000 --> 00:01:08.000]  這個字眼是現今哲學界也好
[00:01:08.000 --> 00:01:09.000]  文化界也好
[00:01:09.000 --> 00:01:12.000]  將現代性modernity
[00:01:12.000 --> 00:01:15.000]  和後現代性postmodernity
[00:01:15.000 --> 00:01:18.000]  一個很重要的分界點
[00:01:18.000 --> 00:01:20.000]  簡單來說
[00:01:20.000 --> 00:01:21.000]  其實一點都不深奧
[00:01:21.000 --> 00:01:25.000]  現代由十九世紀的科技工業發達
[00:01:25.000 --> 00:01:27.000]  一直到二十世紀
[00:01:27.000 --> 00:01:29.000]  是我們叫做現代
[00:01:29.000 --> 00:01:30.000]  modern
[00:01:30.000 --> 00:01:32.000]  modern的時代裡面
[00:01:32.000 --> 00:01:36.000]  最重要是產生了人類對前景
[00:01:36.000 --> 00:01:38.000]  一種夢想和遠景
[00:01:38.000 --> 00:01:41.000]  一個很弘大的心願
[00:01:41.000 --> 00:01:43.000]  一個很弘大的理想
[00:01:43.000 --> 00:01:46.000]  最典型的就是馬克思主義
[00:01:46.000 --> 00:01:48.000]  相信將來有一天
[00:01:48.000 --> 00:01:51.000]  人與人之間再沒有財富的分別
[00:01:51.000 --> 00:01:53.000]  自我們各盡所能
[00:01:53.000 --> 00:01:55.000]  各取所需
[00:01:55.000 --> 00:01:57.000]  人類將來一定會活在一個
[00:01:57.000 --> 00:02:01.000]  美麗和平公平的社會
[00:02:01.000 --> 00:02:03.000]  又或者倒轉在美國
[00:02:03.000 --> 00:02:06.000]  這個自由神像所代表的
[00:02:06.000 --> 00:02:09.000]  就是人類最終極能夠完成
