
[00:00:00.000 --> 00:00:08.000]  各位電影姊妹平安 主持你們平安
[00:00:08.000 --> 00:00:12.000]  我回來了
[00:00:12.000 --> 00:00:16.000]  我很感恩可以回來 特別第四堂
[00:00:16.000 --> 00:00:19.000]  我過去比較少有機會回來
[00:00:19.000 --> 00:00:24.000]  今天見到很多電影姊妹 感覺好像很久沒見大家
[00:00:24.000 --> 00:00:33.000]  見到很多我熟悉的面孔 想起過去和大家相處的一些經歷
[00:00:33.000 --> 00:00:41.000]  但見到大家仍然持久地敬拜神 持久地侍奉神
[00:00:41.000 --> 00:00:44.000]  我很感謝神
[00:00:44.000 --> 00:00:47.000]  我過去一段時間有一個安息年的進修
[00:00:47.000 --> 00:00:53.000]  感謝神給我有很多休息機會 也有很多調理身體的機會
[00:00:53.000 --> 00:01:01.000]  我學了很多功夫 亦有很多新的學習 我很感恩
[00:01:01.000 --> 00:01:05.000]  在這段時間裡 我其中一種體會就是
[00:01:05.000 --> 00:01:11.000]  無論是工作或休息 無論是全職或沒有職份
[00:01:11.000 --> 00:01:15.000]  重要的仍然是愛主
[00:01:15.000 --> 00:01:23.000]  我能夠在生活上 透過所行所做的事情 一直表達對主的愛
[00:01:23.000 --> 00:01:27.000]  這也成為了我接下來很重要的人生的目標
[00:01:27.000 --> 00:01:30.000]  讓我的生命可以繼續愛主
[00:01:30.000 --> 00:01:33.000]  在這段時間裡 神給我恩典
[00:01:33.000 --> 00:01:39.000]  我多了時間可以做運動 多了時間吃東西
[00:01:39.000 --> 00:01:42.000]  所以有些電影出來的時候 他們見到我就說
[00:01:42.000 --> 00:01:46.000]  「福斯你胖了」 確實是胖了 對我們來說很難的
[00:01:46.000 --> 00:01:50.000]  我很少胖 但也感謝神在這段時間
[00:01:50.000 --> 00:01:53.000]  我盼望神給我繼續有恩典
[00:01:53.000 --> 00:01:57.000]  無論是接下來這段時間或將來退休之後
[00:01:57.000 --> 00:01:59.000]  神給我恩典可以繼續侍奉他
[00:01:59.000 --> 00:02:01.000]  多謝大家對我的歡迎
[00:02:01.000 --> 00:02:04.000]  剛才有很多人都跟我說歡迎你回來
[00:02:04.000 --> 00:02:08.000]  多謝大家對我的歡迎 亦都求主繼續恩待北宣家
[00:02:08.000 --> 00:02:10.000]  特別是第四堂弟兄姊妹在前面
[00:02:10.000 --> 00:02:15.000]  我們繼續堅定地信教 跟隨神
[00:02:15.000 --> 00:02:21.000]  這個季度大家知道我們會一起思想一段新的經文
[00:02:21.000 --> 00:02:23.000]  就是聖經舊約的《但以理書》
[00:02:23.000 --> 00:02:28.000]  我們一起去先祈禱 再一起去仰望神
[00:02:28.000 --> 00:02:35.000]  主啊你的確 你有永生之道
[00:02:35.000 --> 00:02:38.000]  我們不跟隨你 跟隨誰呢?
[00:02:38.000 --> 00:02:41.000]  主啊你以厚恩待我們
[00:02:41.000 --> 00:02:43.000]  有些時候我們甚至都不察覺
[00:02:43.000 --> 00:02:45.000]  主啊你仍然是這樣
[00:02:45.000 --> 00:02:50.000]  以你的慈愛恩惠四面環繞著我們
[00:02:50.000 --> 00:02:54.000]  主當我們靜心去回想的時候
[00:02:54.000 --> 00:02:58.000]  就知道你曾經應許的是信實的
[00:02:58.000 --> 00:03:02.000]  你所應許 你的慈愛不會改變
[00:03:02.000 --> 00:03:07.000]  縱使我們有些時候有得罪你 有忘記你
[00:03:07.000 --> 00:03:10.000]  但主你永不忘記我們
[00:03:10.000 --> 00:03:12.000]  主啊我們今天到你的面前來
[00:03:12.000 --> 00:03:15.000]  我們向你獻上我們的感謝
[00:03:15.000 --> 00:03:18.000]  也都在你的面前仰望恩主
[00:03:18.000 --> 00:03:21.000]  你上上賜下你的恩賢
[00:03:21.000 --> 00:03:24.000]  因為主啊我們需要你天上的糧食
[00:03:24.000 --> 00:03:27.000]  讓我們心靈可以真的飽足
[00:03:27.000 --> 00:03:29.000]  求你賜下你的天糧
[00:03:29.000 --> 00:03:33.000]  讓我們在你的裡面可以上上堅固
[00:03:33.000 --> 00:03:37.000]  天父今天求你再次賜下聖經的說話
[00:03:37.000 --> 00:03:41.000]  讓我們在你面前再次蒙恩
[00:03:41.000 --> 00:03:46.000]  我們仰望祈禱 奉耶穌聖名求 阿們
[00:03:46.000 --> 00:03:51.000]  大家再翻開聖經大義理書
[00:03:51.000 --> 00:03:58.000]  當大家讀大義理書的時候
[00:03:58.000 --> 00:04:03.000]  你自然會察覺到大義理書是很完整
[00:04:03.000 --> 00:04:06.000]  很有組織的一卷書
[00:04:06.000 --> 00:04:09.000]  全卷有十二章聖經
[00:04:09.000 --> 00:04:12.000]  前面的六章聖經每一章聖經
[00:04:12.000 --> 00:04:15.000]  講一個歷史的故事
[00:04:15.000 --> 00:04:18.000]  一個算是獨立的故事
[00:04:18.000 --> 00:04:20.000]  但當然互相連繫
[00:04:20.000 --> 00:04:24.000]  後面的六章是講四個異象
[00:04:24.000 --> 00:04:27.000]  而四個異象和前面的六個故事
[00:04:27.000 --> 00:04:31.000]  是前後呼應 彼此關連
[00:04:31.000 --> 00:04:33.000]  當你讀的時候
[00:04:33.000 --> 00:04:37.000]  你會發覺聖經一直傳出一個很核心的訊息
[00:04:37.000 --> 00:04:43.000]  就是耶和華在人世間是掌權
[00:04:43.000 --> 00:04:45.000]  他是掌管著一切的
[00:04:45.000 --> 00:04:49.000]  不單只是天地的運作 人類的歷史
[00:04:49.000 --> 00:04:53.000]  同樣是你個人人生的每一天
[00:04:53.000 --> 00:04:57.000]  他是掌權保守敬畏的人
[00:04:57.000 --> 00:04:59.000]  聖經一直這樣說
[00:04:59.000 --> 00:05:02.000]  亦會在人世間施行審判
[00:05:02.000 --> 00:05:06.000]  讓人認識這位公義的上帝
[00:05:06.000 --> 00:05:08.000]  所以你讀的時候
[00:05:08.000 --> 00:05:11.000]  你會發覺這位上帝在你的眼前
[00:05:11.000 --> 00:05:16.000]  突然間更加顯得是一位又真又活的神
[00:05:16.000 --> 00:05:21.000]  他是那位真實介入你人生的上帝
[00:05:21.000 --> 00:05:26.000]  而不斷鼓勵你去信靠他 去聽從他
[00:05:26.000 --> 00:05:30.000]  所以當我們這季讀的時候
[00:05:30.000 --> 00:05:32.000]  你更加認識神
[00:05:32.000 --> 00:05:35.000]  你更加知道要信靠他
[00:05:35.000 --> 00:05:38.000]  今天當我們讀到第一章的時候
[00:05:38.000 --> 00:05:41.000]  我們說到彭信只是土神的喜悅
[00:05:41.000 --> 00:05:42.000]  在開始的時候
[00:05:42.000 --> 00:05:47.000]  你會讀到聖經說到巴比倫王攻陷猶魯撒冷
[00:05:47.000 --> 00:05:48.000]  剛才我們說到
[00:05:48.000 --> 00:05:50.000]  上帝是掌權的
[00:05:50.000 --> 00:05:54.000]  甚至超越了人世間的皇權和政權
[00:05:54.000 --> 00:05:57.000]  但一開始的時候你會發覺不是
[00:05:57.000 --> 00:06:00.000]  好像上帝無能為力
[00:06:00.000 --> 00:06:05.000]  連自己選民的國家都被人擄掠
[00:06:05.000 --> 00:06:08.000]  所以你讀到聖經第一章第一節的時候
[00:06:08.000 --> 00:06:13.000]  聖經說猶大王約亞敬在位的第三年
[00:06:13.000 --> 00:06:16.000]  巴比倫王尼布甲尼撒來到猶魯撒冷
[00:06:16.000 --> 00:06:20.000]  怎樣做呢?將城圍困
[00:06:20.000 --> 00:06:24.000]  和擄掠了君王和將神殿中的一部分
[00:06:24.000 --> 00:06:27.000]  不是全部的器物
[00:06:27.000 --> 00:06:29.000]  擄掠了去
[00:06:29.000 --> 00:06:32.000]  拿回他們的神廟
[00:06:32.000 --> 00:06:36.000]  好像一個灰暗的圖畫一開始就出現
[00:06:36.000 --> 00:06:40.000]  為何神會這樣容許他的子民受災難呢?
[00:06:40.000 --> 00:06:42.000]  但當你小心讀的時候
[00:06:42.000 --> 00:06:44.000]  去到第二節的時候
[00:06:44.000 --> 00:06:46.000]  聖經有一個特別的字眼說
[00:06:46.000 --> 00:06:49.000]  主把猶大王約亞敬
[00:06:49.000 --> 00:06:51.000]  是主這樣做
[00:06:51.000 --> 00:06:57.000]  將一切的東西交在尼布甲尼撒的手裡
[00:06:57.000 --> 00:07:00.000]  是誰造成這些事情呢?
[00:07:00.000 --> 00:07:02.000]  是主這樣做
[00:07:02.000 --> 00:07:05.000]  是他容許這些事情發生
[00:07:05.000 --> 00:07:09.000]  甚至可以說是主造成這些事情
[00:07:09.000 --> 00:07:15.000]  將人和物品交在敵國君王手中
[00:07:15.000 --> 00:07:20.000]  然而這位主去掌管一切
[00:07:20.000 --> 00:07:24.000]  去決定這些事情怎樣去實行
[00:07:24.000 --> 00:07:26.000]  當你讀到聖經的時候
[00:07:26.000 --> 00:07:29.000]  你會發覺聖經在舊約經文不斷預言一件事情
[00:07:29.000 --> 00:07:32.000]  就是猶太的子民
[00:07:32.000 --> 00:07:34.000]  何時當他們去遺逆上帝
[00:07:34.000 --> 00:07:36.000]  上帝呼籲他們悔改
[00:07:36.000 --> 00:07:39.000]  但他們不回轉的時候
[00:07:39.000 --> 00:07:43.000]  上帝就說我要將你們擄掠到愛國
[00:07:43.000 --> 00:07:45.000]  事情真的這樣發生
[00:07:45.000 --> 00:07:48.000]  但同樣上帝就說
[00:07:48.000 --> 00:07:52.000]  七十年之後你們會回歸你的故土
[00:07:52.000 --> 00:07:55.000]  上帝不是要懲罰
[00:07:55.000 --> 00:07:58.000]  或者不是要羞辱他的子民
[00:07:58.000 --> 00:08:03.000]  他是要幫助他們可以回轉歸向神
[00:08:03.000 --> 00:08:05.000]  將心轉向上帝
[00:08:05.000 --> 00:08:07.000]  所以他容許這些事情發生
[00:08:07.000 --> 00:08:14.000]  人們覺得好像英國國家敵不住其他的強國
[00:08:14.000 --> 00:08:17.000]  但其實在過程當中
[00:08:17.000 --> 00:08:21.000]  是上帝掌管一切造成這些事情
[00:08:21.000 --> 00:08:23.000]  是他所成全
[00:08:23.000 --> 00:08:25.000]  當你讀到聖經說到
[00:08:25.000 --> 00:08:28.000]  在約瓦敬在位第三年
[00:08:28.000 --> 00:08:31.000]  其實在猶太人的曆法是第四年
[00:08:31.000 --> 00:08:35.000]  這是巴比倫曆法的計算
[00:08:35.000 --> 00:08:37.000]  在第四年的時候
[00:08:37.000 --> 00:08:40.000]  猶太人開始被擄掠
[00:08:40.000 --> 00:08:43.000]  在聖經中也讓我們知道
[00:08:43.000 --> 00:08:46.000]  在歷史當中公元605年的時候
[00:08:46.000 --> 00:08:49.000]  猶太人第一次被擄掠
[00:08:49.000 --> 00:08:51.000]  但過了大概八年之後
[00:08:51.000 --> 00:08:54.000]  有另一批人又再被擄掠
[00:08:54.000 --> 00:08:57.000]  當時還包括了以西傑先先
[00:08:57.000 --> 00:09:01.000]  這次是丹爾尼和他的朋友
[00:09:01.000 --> 00:09:03.000]  赫萊爾西傑先知
[00:09:03.000 --> 00:09:05.000]  大概再過了十年之後
[00:09:05.000 --> 00:09:10.000]  整個耶路撒冷就被攻陷毀壞了
[00:09:10.000 --> 00:09:12.000]  但在最開始被擄的時候
[00:09:12.000 --> 00:09:16.000]  上帝已經安排他的僕人
[00:09:16.000 --> 00:09:18.000]  在這個過程當中
[00:09:18.000 --> 00:09:26.000]  去承傳了對他子民的勉勵、幫助、保守
[00:09:26.000 --> 00:09:29.000]  直至當百姓被擄之後
[00:09:29.000 --> 00:09:31.000]  回歸自己的地方
[00:09:31.000 --> 00:09:33.000]  聖經就說了這件事情
[00:09:33.000 --> 00:09:35.000]  你翻到第一章最後的節
[00:09:35.000 --> 00:09:37.000]  二十一節
[00:09:37.000 --> 00:09:44.000]  二十一節
[00:09:44.000 --> 00:09:46.000]  直到古列王元年
[00:09:46.000 --> 00:09:49.000]  丹爾尼還在
[00:09:49.000 --> 00:09:51.000]  聖經特別提到
[00:09:51.000 --> 00:09:54.000]  這位丹爾尼長壽
[00:09:54.000 --> 00:09:56.000]  他在很多年
[00:09:56.000 --> 00:09:58.000]  在不同的朝代
[00:09:58.000 --> 00:10:01.000]  古列王已經去到波斯王朝
[00:10:01.000 --> 00:10:03.000]  但仍然在當中
[00:10:03.000 --> 00:10:08.000]  上帝仍然用他從被擄到回歸
[00:10:08.000 --> 00:10:16.000]  一直掌管著他的人生和民族的人的歷史
[00:10:16.000 --> 00:10:19.000]  大家讀聖經的時候會記得
[00:10:19.000 --> 00:10:21.000]  以斯拉記第一章就說到
[00:10:21.000 --> 00:10:24.000]  古列王元年的時候發生了什麼事
[00:10:24.000 --> 00:10:26.000]  古列王元年
[00:10:26.000 --> 00:10:29.000]  神激動他的心
[00:10:29.000 --> 00:10:32.000]  就差遣猶太人回到耶路撒冷
[00:10:32.000 --> 00:10:35.000]  去建造他們的神殿
[00:10:35.000 --> 00:10:38.000]  當聖經提及古列王的時候
[00:10:38.000 --> 00:10:39.000]  同樣讓我們看到
[00:10:39.000 --> 00:10:43.000]  從開始被擄到後來
[00:10:43.000 --> 00:10:44.000]  被擄歸回
[00:10:44.000 --> 00:10:48.000]  整個歷史都在神的掌管中
[00:10:48.000 --> 00:10:51.000]  在丹爾尼都不太清楚的時候
[00:10:51.000 --> 00:10:56.000]  神經安排他在英國的地方成為高官
