
[00:00:00.000 --> 00:00:05.520]  大家好 想不到你還沒吃東西
[00:00:05.520 --> 00:00:09.520]  不要緊的 你吃一吃聽一聽會忘記了
[00:00:09.520 --> 00:00:13.280]  我今晚就講雙語
[00:00:13.280 --> 00:00:16.880]  不是兩個語的意思
[00:00:16.880 --> 00:00:19.680]  是雙和全語
[00:00:19.680 --> 00:00:23.360]  以前我教書在大學
[00:00:23.360 --> 00:00:25.840]  通常都是用四個字來看
[00:00:25.840 --> 00:00:29.200]  就是察覺療癒
[00:00:29.200 --> 00:00:34.000]  你要觀察你自己有沒有問題
[00:00:34.000 --> 00:00:35.520]  你觀察一下
[00:00:35.520 --> 00:00:37.280]  其實你拿一塊鏡子就可以了
[00:00:37.280 --> 00:00:39.280]  你可以現在試一下
[00:00:39.280 --> 00:00:40.560]  樣子如何
[00:00:40.560 --> 00:00:41.680]  不是樣子不好
[00:00:41.680 --> 00:00:43.680]  是樣子如何
[00:00:43.680 --> 00:00:45.440]  你的樣子開心嗎
[00:00:45.440 --> 00:00:47.040]  自己馬上看到
[00:00:47.040 --> 00:00:49.440]  你的樣子是最容易反應的
[00:00:49.440 --> 00:00:51.200]  這是察覺
[00:00:51.200 --> 00:00:55.040]  覺就是你開始有種知覺
[00:00:55.040 --> 00:00:57.040]  是什麼不妥呢
[00:00:57.040 --> 00:01:01.360]  這兩步你做得好已經好一半了
[00:01:01.360 --> 00:01:06.560]  因為多數心理有事的人是不認自己有事的
[00:01:06.560 --> 00:01:08.320]  覺得自己有事
[00:01:08.320 --> 00:01:10.800]  和想好
[00:01:10.800 --> 00:01:14.320]  你是幫助你的人很大忙
[00:01:14.320 --> 00:01:16.080]  幫了大半
[00:01:16.080 --> 00:01:20.240]  雖然他未必夠寫包單治好你
[00:01:20.240 --> 00:01:23.280]  不過已經進入到一個幫你的過程
[00:01:23.280 --> 00:01:25.600]  如果你不肯露面
[00:01:25.600 --> 00:01:27.120]  沒有人可以幫你
[00:01:27.120 --> 00:01:28.400]  所以察覺
[00:01:28.400 --> 00:01:30.400]  然後就到了療癒
[00:01:30.400 --> 00:01:32.000]  如何才能好呢
[00:01:32.000 --> 00:01:34.000]  有另一個故事
[00:01:34.000 --> 00:01:36.400]  離開輔導室
[00:01:36.400 --> 00:01:38.880]  或者你覺得自己好了
[00:01:38.880 --> 00:01:40.480]  也不算好了
[00:01:40.480 --> 00:01:42.880]  因為你好像
[00:01:42.880 --> 00:01:44.720]  這集題目很厲害
[00:01:44.720 --> 00:01:46.320]  17條
[00:01:46.320 --> 00:01:47.680]  我不信答得完
[00:01:47.680 --> 00:01:49.680]  但是試一下
[00:01:49.840 --> 00:01:53.600]  你可能會發現到你每晚
[00:01:53.600 --> 00:01:56.640]  或者每天都有時間想起那件事
[00:01:56.640 --> 00:01:58.640]  例如媽媽去世
[00:01:58.640 --> 00:02:00.640]  或者你覺得自己做了一件事
[00:02:00.640 --> 00:02:02.640]  你很不同意很遺憾
[00:02:02.640 --> 00:02:06.320]  你一定有辦法記得的
[00:02:06.320 --> 00:02:08.480]  然後傷感又出來
[00:02:08.480 --> 00:02:11.520]  甚至又不正常
[00:02:11.520 --> 00:02:14.480]  所以很多找人輔導的人
[00:02:14.480 --> 00:02:16.480]  很奇怪就是隔多久
[00:02:16.480 --> 00:02:18.480]  他一定會再回來
[00:02:18.480 --> 00:02:20.480]  他真的好回來是什麼時候呢
[00:02:20.480 --> 00:02:24.240]  差不多已經到了一個地步
[00:02:24.240 --> 00:02:26.240]  他可以幫助別人
[00:02:26.240 --> 00:02:28.240]  幫助別人也不等於好回
[00:02:28.240 --> 00:02:30.240]  不過越幫助別人
[00:02:30.240 --> 00:02:32.240]  越肯定自己
[00:02:32.240 --> 00:02:34.240]  裡面的力量
[00:02:34.240 --> 00:02:35.120]  是有的
[00:02:35.120 --> 00:02:37.120]  而不是軟手軟腳
[00:02:37.120 --> 00:02:39.120]  心裡很疲倦
[00:02:39.120 --> 00:02:41.120]  你越精神越有力
[00:02:41.120 --> 00:02:43.920]  你已經有信得回
[00:02:43.920 --> 00:02:45.920]  困難的感覺在
[00:02:45.920 --> 00:02:47.920]  不過不能纏你多少
[00:02:47.920 --> 00:02:49.920]  好像被蚊子咬了
