
[00:00:00.000 --> 00:00:06.880]  今晚是我們這個系列查經最後一堂了
[00:00:06.880 --> 00:00:08.000]  第十二堂
[00:00:08.000 --> 00:00:11.240]  上一次其實我們都開始了
[00:00:11.240 --> 00:00:14.000]  進入去約翰福音最後那一章
[00:00:14.000 --> 00:00:15.840]  就是第二十一章
[00:00:15.840 --> 00:00:18.080]  我們有查了開頭那八節的
[00:00:18.080 --> 00:00:22.000]  今晚我們需要用少許時間
[00:00:22.000 --> 00:00:25.680]  再回覆我們上一次所查過的
[00:00:25.680 --> 00:00:29.680]  二十一章是在耶穌復活了之後
[00:00:29.680 --> 00:00:34.000]  他已經向門徒顯現了起碼兩次
[00:00:34.000 --> 00:00:37.360]  但是二十一章開始
[00:00:37.360 --> 00:00:39.840]  就說這些事以後
[00:00:39.840 --> 00:00:41.200]  就是所有那些
[00:00:41.200 --> 00:00:45.840]  耶穌被捉拿、被釘十字架
[00:00:45.840 --> 00:00:49.680]  然後他埋葬、他的復活
[00:00:49.680 --> 00:00:53.360]  這些所有的事就在前面那二十章所記的
[00:00:53.360 --> 00:00:56.240]  現在是第二十一章了
[00:00:56.240 --> 00:01:00.800]  耶穌就在加利利海那裡向門徒顯現
[00:01:00.800 --> 00:01:08.240]  第二節有西門、彼得和稱為底土馬的多瑪
[00:01:08.240 --> 00:01:11.120]  和加利利、加拿大人、拿達葉
[00:01:11.120 --> 00:01:13.360]  還有西比太兩個子
[00:01:13.360 --> 00:01:14.960]  就是亞國約翰
[00:01:14.960 --> 00:01:17.600]  還有兩個門徒是沒有名的
[00:01:17.600 --> 00:01:19.920]  總共有七個人
[00:01:19.920 --> 00:01:23.760]  這七個人就跟了彼得
[00:01:23.760 --> 00:01:26.640]  回去加利利海那裡打魚
[00:01:26.640 --> 00:01:28.080]  所以第三節說
[00:01:28.080 --> 00:01:31.440]  西門彼得對他們說:我打魚去
[00:01:31.440 --> 00:01:34.480]  原來這個是彼得的想法
[00:01:34.480 --> 00:01:37.680]  但是其餘六個門徒就說
[00:01:37.680 --> 00:01:40.080]  我們也和你同去
[00:01:40.080 --> 00:01:42.160]  他們就去上了船
[00:01:42.160 --> 00:01:44.320]  那一夜沒有打著什麼
[00:01:44.320 --> 00:01:47.440]  我們上一次都有略略提到
[00:01:47.440 --> 00:01:50.000]  為什麼彼得要回去重操故業
[00:01:50.720 --> 00:01:53.440]  但是我們很難明白的
[00:01:53.440 --> 00:01:56.160]  就是為什麼其餘六個門徒
[00:01:56.160 --> 00:01:58.960]  會這麼輕易就跟彼得去了
[00:01:58.960 --> 00:02:01.360]  彼得去打魚
[00:02:01.360 --> 00:02:05.840]  我們上次說不是因為三餐的問題
[00:02:05.840 --> 00:02:08.720]  他去打魚是因為他覺得
[00:02:08.720 --> 00:02:12.800]  對耶穌來說他是一個很沒用的門徒
[00:02:12.800 --> 00:02:17.360]  他在耶穌最需要他、最關鍵的時候
[00:02:17.360 --> 00:02:19.760]  他竟然三次不認耶穌
[00:02:19.760 --> 00:02:24.240]  所以他是由一個很自傲的人
[00:02:24.240 --> 00:02:26.400]  變成一個很自卑的人
[00:02:26.400 --> 00:02:29.200]  所以在彼得來說他回去打魚
[00:02:29.200 --> 00:02:30.560]  就是因為他知道
