
[00:00:00.000 --> 00:00:02.000]  (看第3章)
[00:00:02.000 --> 00:00:05.000]  《事司纪》第三章
[00:00:05.000 --> 00:00:07.000]  我跟大家说过
[00:00:07.000 --> 00:00:10.000]  《事司纪》里面一共有十二个事司
[00:00:10.000 --> 00:00:14.000]  今天在第三章就要介绍三个事司
[00:00:14.000 --> 00:00:20.000]  有: 俄图涅、尔弗和山加三位事司
[00:00:20.000 --> 00:00:24.000]  同样在第三章的经文
[00:00:24.000 --> 00:00:26.000]  也有两个恶性的循环
[00:00:26.000 --> 00:00:28.000]  我也跟大家说过
[00:00:28.000 --> 00:00:32.000]  在《事司纪》里一共有七个恶性的循环
[00:00:32.000 --> 00:00:36.000]  今天就说了三个事司和两个恶性的循环
[00:00:36.000 --> 00:00:39.000]  我给它一个副标题
[00:00:39.000 --> 00:00:42.000]  叫做神所爱使用的兵器
[00:00:42.000 --> 00:00:45.000]  你说神都会使用兵器吗?
[00:00:45.000 --> 00:00:47.000]  等下我们结束的时候
[00:00:47.000 --> 00:00:50.000]  我们会回来看这一点
[00:00:50.000 --> 00:00:52.000]  我们也曾经说过
[00:00:52.000 --> 00:00:56.000]  以色列为什么会在这个恶性的循环
[00:00:56.000 --> 00:00:59.000]  因为有三个因素
[00:00:59.000 --> 00:01:02.000]  第一个因素就是宗教的因素
[00:01:02.000 --> 00:01:04.000]  他们不服从神
[00:01:04.000 --> 00:01:06.000]  没有赶出迦南人
[00:01:06.000 --> 00:01:08.000]  他们拜偶像
[00:01:08.000 --> 00:01:11.000]  第二个因素是道德的因素
[00:01:11.000 --> 00:01:14.000]  他们不听从事司的话
[00:01:14.000 --> 00:01:17.000]  当事司死了之后更加变本加厉
[00:01:17.000 --> 00:01:19.000]  转回恶行
[00:01:19.000 --> 00:01:22.000]  第三个因素是社会的因素
[00:01:22.000 --> 00:01:25.000]  他们与迦南人通婚
[00:01:25.000 --> 00:01:29.000]  这个问题一直到所罗门王都存在
[00:01:29.000 --> 00:01:33.000]  我们知道所罗门王娶了很多外邦人的妻子
[00:01:33.000 --> 00:01:35.000]  引诱他们离弃神
