
[00:00:00.000 --> 00:00:02.300]  各位親愛的鼎姐妹
[00:00:02.300 --> 00:00:05.380]  你剛剛看完一條短片
[00:00:05.380 --> 00:00:07.080]  有什麼感覺呢
[00:00:07.080 --> 00:00:10.380]  這條短片是關於這個地球
[00:00:10.380 --> 00:00:12.880]  就是我們住在這裡的地球
[00:00:12.880 --> 00:00:17.040]  它就好像一棟已經成百多二百年的建築物
[00:00:17.040 --> 00:00:20.720]  地基已經全部鬆懈
[00:00:20.720 --> 00:00:23.040]  以至地下水湧出來
[00:00:23.040 --> 00:00:26.760]  然後那些牆、鋼筋全部生鏽
[00:00:26.760 --> 00:00:29.960]  披露各種不同的裂痕
[00:00:29.960 --> 00:00:31.760]  然後要倒下來
[00:00:31.760 --> 00:00:34.680]  天花板、漏水、水、電
[00:00:34.680 --> 00:00:36.360]  全部都失控
[00:00:36.360 --> 00:00:38.440]  我們看到這個地球
[00:00:38.440 --> 00:00:40.340]  實際上比我剛才所說的
[00:00:40.340 --> 00:00:43.360]  這個建築物是更加嚴重
[00:00:43.360 --> 00:00:44.720]  原因是什麼呢
[00:00:44.720 --> 00:00:46.120]  就是因為我們看到
[00:00:46.120 --> 00:00:48.200]  從來沒有試過有一個疫症
[00:00:48.200 --> 00:00:51.920]  是全世界每一個國家都有的
[00:00:51.920 --> 00:00:55.800]  不僅是幻想疫症的人越來越多
[00:00:55.800 --> 00:00:58.720]  死亡的人同樣越來越多
[00:00:58.720 --> 00:01:03.960]  雖然防疫的針已經打了很多
[00:01:03.960 --> 00:01:05.520]  但到現在為止
[00:01:05.520 --> 00:01:10.000]  打了仍然是繼續不斷激增
[00:01:10.000 --> 00:01:12.920]  我們現在就聽到很多人
[00:01:12.920 --> 00:01:14.640]  在問一個問題
[00:01:14.640 --> 00:01:17.240]  現在是不是世界沒日呢
[00:01:17.240 --> 00:01:19.400]  各位親愛的聽似妹
[00:01:19.400 --> 00:01:21.600]  當我們去問這個問題的時候
[00:01:21.600 --> 00:01:23.680]  我希望大家不要在網上
[00:01:23.680 --> 00:01:28.160]  隨便去聽一些異端、一些邪教
[00:01:28.160 --> 00:01:30.000]  說基督已經來了
[00:01:30.000 --> 00:01:34.800]  然後他們就是真正能夠帶給人
[00:01:34.800 --> 00:01:37.400]  豐盛人生的十四萬四千
[00:01:37.400 --> 00:01:38.840]  你加入他們當中
[00:01:38.840 --> 00:01:40.840]  你就可以成為十四萬四千
[00:01:40.840 --> 00:01:44.640]  也不是說現在在這個地球
[00:01:44.640 --> 00:01:46.520]  基督已經來作王了
[00:01:46.520 --> 00:01:49.240]  他憤怒在審判這個世界
[00:01:49.840 --> 00:01:53.840]  我希望大家回到聖經那裡看一看
[00:01:53.840 --> 00:01:55.920]  到底聖經怎樣看
[00:01:55.920 --> 00:01:59.440]  最後七年的大災難會是怎樣的
[00:01:59.440 --> 00:02:04.040]  而現在是不是已經進入七年大災難呢
[00:02:04.040 --> 00:02:07.200]  首先我希望大家來看一看
[00:02:07.200 --> 00:02:11.080]  當進入到七年大災難的時候
[00:02:11.080 --> 00:02:17.400]  聖經是用了七印、七號和七碗這些災難
[00:02:17.400 --> 00:02:20.320]  去形容三期的大災難
[00:02:20.320 --> 00:02:23.920]  當中的關係到底是怎樣的呢
[00:02:23.920 --> 00:02:26.760]  七印的災難
[00:02:26.760 --> 00:02:28.960]  你看不到有第七印的
[00:02:28.960 --> 00:02:32.640]  就是第一印、第二印、第三印、第四印、第五印、第六印
[00:02:32.640 --> 00:02:35.120]  接著到第七印是空的
[00:02:35.120 --> 00:02:37.280]  原來就是要帶出七號
[00:02:37.280 --> 00:02:38.640]  而另一方面
[00:02:38.640 --> 00:02:41.800]  第七號是空的
[00:02:41.800 --> 00:02:44.520]  所以你看七號的災難的時候
[00:02:44.520 --> 00:02:49.040]  你會看到一號、二號、三號、四號、五號、六號
[00:02:49.040 --> 00:02:51.000]  但是第七號帶出來的
[00:02:51.000 --> 00:02:54.520]  就是七碗或者七個爐的大災
[00:02:54.520 --> 00:02:56.720]  堵在這個地球上
[00:02:56.720 --> 00:02:59.080]  但是去到七碗的災難
[00:02:59.080 --> 00:03:00.840]  你就會由頭到尾
[00:03:00.840 --> 00:03:05.520]  第一碗、第二碗、第三碗、第四碗、第五碗、第六碗、第七碗
[00:03:05.520 --> 00:03:07.680]  全部都出來了
[00:03:07.680 --> 00:03:10.920]  我希望能夠從啟示錄
[00:03:11.800 --> 00:03:15.840]  來看一看到底七年大災難
[00:03:15.840 --> 00:03:20.840]  也在這個世界最終的七年發生什麼事
[00:03:20.840 --> 00:03:22.480]  然後我們來看一看
[00:03:22.480 --> 00:03:24.280]  現在發生的事情
[00:03:24.280 --> 00:03:26.840]  是不是就等於七年大災難
[00:03:26.840 --> 00:03:29.080]  那個時候發生的事情呢
[00:03:29.080 --> 00:03:31.640]  首先我們來看一看
[00:03:31.640 --> 00:03:34.920]  七年大災難的時候
[00:03:34.920 --> 00:03:40.480]  世界到時候是會走向一個窮途末路的
[00:03:40.480 --> 00:03:43.680]  為什麼會走向一個窮途末路呢
[00:03:43.680 --> 00:03:47.480]  首先我們看看啟示錄第六章
[00:03:47.480 --> 00:03:49.000]  一到第四節
[00:03:49.000 --> 00:03:50.720]  但我希望大家留意
[00:03:50.720 --> 00:03:55.720]  啟示錄第一章是約翰、陳漢健的事
[00:03:55.720 --> 00:03:57.000]  是過去式的
[00:03:57.000 --> 00:04:00.480]  第二章和第三章是現在的事
[00:04:00.480 --> 00:04:03.360]  全部都是說教會、教會、教會、教會
[00:04:03.360 --> 00:04:05.800]  七間教會或者七個時期
[00:04:05.800 --> 00:04:07.280]  或者七女的教會
[00:04:07.280 --> 00:04:09.040]  全部都說出來了
[00:04:09.040 --> 00:04:11.560]  但去到第四章第一節
[00:04:11.560 --> 00:04:12.920]  作者就說
[00:04:12.920 --> 00:04:14.120]  他聽到天使說
[00:04:14.120 --> 00:04:15.080]  你想來
[00:04:15.080 --> 00:04:18.520]  我要將將來必成的事
[00:04:18.520 --> 00:04:22.360]  或者末後必成的事來指示你
[00:04:22.360 --> 00:04:24.160]  換句話來說
[00:04:24.160 --> 00:04:26.320]  過去的事是第一章
[00:04:26.320 --> 00:04:29.200]  現在的事是第二和第三章
[00:04:29.200 --> 00:04:33.520]  而將來必成的事是第四章
[00:04:33.520 --> 00:04:36.520]  去到第四章第一節開始
[00:04:36.520 --> 00:04:37.800]  我們要留意的
[00:04:37.800 --> 00:04:40.680]  就是將來必成的事
[00:04:40.680 --> 00:04:44.520]  而聖經所說的將來必成的事
[00:04:44.520 --> 00:04:50.000]  集中就是說到最後七年要發生的事
[00:04:50.000 --> 00:04:51.880]  首先我們看看
[00:04:51.880 --> 00:04:56.320]  將來當七年大災難來到的時候
[00:04:56.320 --> 00:04:58.400]  政治上這個地球
[00:04:58.400 --> 00:05:01.440]  是會去到一個窮途末路
[00:05:01.440 --> 00:05:02.680]  第一節
[00:05:02.680 --> 00:05:06.640]  我看見高陽揭開七印中第一印的時候
