
[00:00:00.000 --> 00:00:04.600]  各位聽眾 各位聽眾 各位聽眾
[00:00:04.600 --> 00:00:08.000]  可不可以說早晨 十二點十五分
[00:00:08.000 --> 00:00:11.000]  早晨 很感恩
[00:00:11.000 --> 00:00:14.600]  我是前天四點鐘 凌晨四點十分
[00:00:14.600 --> 00:00:19.600]  回到香港 過了一天就會進入中國
[00:00:19.600 --> 00:00:22.200]  其實主要回來是要去中國的
[00:00:22.200 --> 00:00:26.000]  等了四年 終於去年年底開始解封
[00:00:26.000 --> 00:00:30.400]  所以很久沒有見學生 學工回去
[00:00:30.400 --> 00:00:33.000]  但回到中國如果不經過全福堂
[00:00:33.000 --> 00:00:35.400]  好像有點對不起大家 又對不起自己
[00:00:35.400 --> 00:00:38.600]  所以我會在全福堂講完之後才進入中國
[00:00:38.600 --> 00:00:41.000]  全福堂講完之後出來
[00:00:41.000 --> 00:00:46.600]  也會在星期六飛回加拿大之前
[00:00:46.600 --> 00:00:49.400]  在這裡講一個即稱的團契
[00:00:49.400 --> 00:00:52.400]  題目是 容牧師給了內容
[00:00:52.400 --> 00:00:54.400]  但我自己覺得這個題目我都很喜歡
[00:00:54.400 --> 00:00:59.400]  叫做我的人生到如今 你的人生不要金
[00:00:59.400 --> 00:01:02.000]  我覺得對這些青年人來說挺好的
[00:01:02.000 --> 00:01:05.400]  因為我已經一把年紀了 曾經金過
[00:01:05.400 --> 00:01:07.600]  你不需要像我那麼金
[00:01:07.600 --> 00:01:09.600]  可以過得好一點的人生
[00:01:09.600 --> 00:01:12.000]  很期待去完中國之後回來
[00:01:12.000 --> 00:01:14.600]  再從這些青年人來分享
[00:01:14.600 --> 00:01:18.000]  分享完之後星期日我就會離開香港
[00:01:18.000 --> 00:01:22.600]  回到多倫多 每一次的時間都過得相當快
[00:01:22.600 --> 00:01:25.600]  如果大家記得的話 我曾經說過
[00:01:25.600 --> 00:01:29.600]  在去年11月 其實應該是在20
[00:01:29.600 --> 00:01:32.600]  現在是什麼年 2023
[00:01:32.600 --> 00:01:37.600]  2023年 本來是2019年4月
[00:01:37.600 --> 00:01:41.600]  對 2019年4月我回到中國培訓的時候
[00:01:41.600 --> 00:01:44.200]  就和同工結束了 大家聊天
[00:01:44.200 --> 00:01:46.600]  我說你們有什麼夢想
[00:01:46.600 --> 00:01:50.600]  問一下 像先生問我們有什麼願望
[00:01:50.600 --> 00:01:53.600]  在河南省有一個農村的同工
[00:01:53.600 --> 00:01:55.600]  他跟我說 徐弟兄我有一個夢想
