
[00:00:00.000 --> 00:00:07.000]  我們打開保羅寫給哥羅西教會的這封書信的時候
[00:00:07.000 --> 00:00:10.000]  我們要記得一件事
[00:00:10.000 --> 00:00:17.000]  就是保羅從來都沒有去過哥羅西這個地方
[00:00:17.000 --> 00:00:23.000]  根據《使徒行傳》第十九章的記錄
[00:00:23.000 --> 00:00:31.000]  保羅是一個很有方法傳福音的使徒
[00:00:31.000 --> 00:00:35.000]  所以他在以弗所
[00:00:35.000 --> 00:00:42.000]  他在亞細亞省的都會
[00:00:42.000 --> 00:00:45.000]  他住了兩年
[00:00:45.000 --> 00:00:48.000]  每天租一個
[00:00:48.000 --> 00:00:52.000]  如果今天的說法叫做lecture theater
[00:00:52.000 --> 00:00:58.000]  當時一百年前中文和合本聖經翻譯的時候
[00:00:58.000 --> 00:01:02.000]  就沒有lecture theater的觀念
[00:01:02.000 --> 00:01:06.000]  所以翻譯成推拉爐學房
[00:01:06.000 --> 00:01:09.000]  就很文雅很古典
[00:01:09.000 --> 00:01:12.000]  保羅租了一個community center
[00:01:12.000 --> 00:01:17.000]  更加沒有可能想到中國哪有community center
[00:01:17.000 --> 00:01:20.000]  Edmonton有,我們Toronto也有
[00:01:20.000 --> 00:01:23.000]  保羅在城裡找了一個地方
[00:01:23.000 --> 00:01:26.000]  每天在那裡開報道會
[00:01:26.000 --> 00:01:30.000]  但是路加醫生就這樣說
[00:01:30.000 --> 00:01:32.000]  他說兩年之後
[00:01:32.000 --> 00:01:37.000]  不單止城裡的人聽見福音
[00:01:37.000 --> 00:01:42.000]  整個省都聽到福音
[00:01:42.000 --> 00:01:44.000]  我又用今天的說法
[00:01:44.000 --> 00:01:46.000]  保羅來到Edmonton
[00:01:46.000 --> 00:01:49.000]  租了一個community hall
[00:01:49.000 --> 00:01:52.000]  每天在那裡講福音
[00:01:52.000 --> 00:01:54.000]  兩年之後
[00:01:54.000 --> 00:01:58.000]  不單止Edmonton的人聽到福音
[00:01:58.000 --> 00:02:04.000]  而且整個Alberta的省
[00:02:04.000 --> 00:02:09.000]  包括北面南面都聽到福音
[00:02:09.000 --> 00:02:11.000]  有可能的
[00:02:11.000 --> 00:02:15.000]  因為人們都要出來Edmonton買東西
[00:02:15.000 --> 00:02:20.000]  尤其是唐人要買菜買醬油
[00:02:20.000 --> 00:02:23.000]  不是這個意思
[00:02:23.000 --> 00:02:30.000]  而是保羅一個人在大城市傳福音
[00:02:30.000 --> 00:02:34.000]  但是保羅有很多幫手
[00:02:34.000 --> 00:02:39.000]  有很多年輕的童工
[00:02:39.000 --> 00:02:41.000]  他是一個team leader
[00:02:41.000 --> 00:02:46.000]  他手下帶著一班門徒
[00:02:46.000 --> 00:02:48.000]  他是mentor
[00:02:48.000 --> 00:02:50.000]  他是師傅
[00:02:50.000 --> 00:02:55.000]  那班徒弟不是經常跟著保羅身邊
[00:02:55.000 --> 00:03:02.000]  跟他吃飯、買菜、煮飯、斬柴、淡水
[00:03:02.000 --> 00:03:05.000]  那些是我們中國少林寺的傳統
[00:03:05.000 --> 00:03:07.000]  今天也不是
[00:03:07.000 --> 00:03:11.000]  那班門徒不是經常圍著老師查經
[00:03:11.000 --> 00:03:13.000]  寧願聽他講的
[00:03:13.000 --> 00:03:14.000]  搞定了
[00:03:14.000 --> 00:03:15.000]  不是的
[00:03:15.000 --> 00:03:18.000]  保羅是將這班年輕的童工
[00:03:18.000 --> 00:03:21.000]  差派出去
[00:03:21.000 --> 00:03:22.000]  所以
[00:03:22.000 --> 00:03:25.000]  你有沒有留意到剛才我們讀哥羅西書
[00:03:25.000 --> 00:03:27.000]  如果你靠powerpoint
[00:03:27.000 --> 00:03:29.000]  現在你就很糟糕了
[00:03:29.000 --> 00:03:31.000]  如果你手頭上有聖經
[00:03:31.000 --> 00:03:35.000]  你可以看看第一章第七節
[00:03:35.000 --> 00:03:37.000]  那句話
[00:03:37.000 --> 00:03:41.000]  正如你們從我們所親愛
[00:03:41.000 --> 00:03:47.000]  一同作僕人的以巴忽所學的
[00:03:47.000 --> 00:03:50.000]  保羅在這裏提到
[00:03:50.000 --> 00:03:54.000]  傳福音給哥羅西的人
[00:03:54.000 --> 00:03:57.000]  使他們成為基督徒的
[00:03:57.000 --> 00:04:00.000]  就是這個年輕的童工
[00:04:00.000 --> 00:04:02.000]  以巴忽
[00:04:02.000 --> 00:04:05.000]  所以保羅從來沒有去過哥羅西
[00:04:05.000 --> 00:04:11.000]  保羅從來沒有和這班弟兄姊妹見過面
[00:04:11.000 --> 00:04:14.000]  但是保羅為他們祈禱
[00:04:14.000 --> 00:04:17.000]  你有沒有試過這樣祈禱
[00:04:17.000 --> 00:04:18.000]  有
[00:04:18.000 --> 00:04:21.000]  你為宣教士祈禱
[00:04:21.000 --> 00:04:22.000]  你沒有見過他
