
[00:00:00.000 --> 00:00:11.000]  各位聽眾平安,今天是我們思想詩篇信息的最後一次
[00:00:11.000 --> 00:00:19.000]  也以一個很重要的信息作為這一季的結束,就是感謝神
[00:00:19.000 --> 00:00:24.000]  在人生中,我們是屬神的人,不斷經歷神的恩惠
[00:00:24.000 --> 00:00:32.000]  有時我們更加放膽去上上求恩,也在領受恩典的時候,一生成為感恩的人
[00:00:32.000 --> 00:00:35.000]  我們大家再一起同心祈禱,我們再仰望著
[00:00:35.000 --> 00:00:44.000]  天父萬我們何等有福,今日領受永恆的上帝賜給我們的恩惠
[00:00:44.000 --> 00:00:52.000]  主人祢所賜的恩惠,沒有帶著條件,只因為祢是樂而向人施恩的神
[00:00:52.000 --> 00:01:00.000]  在祢裡面創造一切的豐盛,祢很樂意叫人都同得祢的豐盛
[00:01:00.000 --> 00:01:06.000]  我們今天在祢的面前敬拜祢,在清晨的時候再次到主的面前
[00:01:06.000 --> 00:01:13.000]  承認主人祢是那位生命的主宰,是我們所仰望,所等候的主
[00:01:13.000 --> 00:01:21.000]  主我們今天打開聖經思想祢的說話,祈求因主將一顆感恩的心賜給我們
[00:01:21.000 --> 00:01:27.000]  讓我們人生所做的所行的都成為對祢感恩的表達
[00:01:27.000 --> 00:01:34.000]  願祢自己在這段時間再次賜下祢自己的恩賢引導我們
[00:01:34.000 --> 00:01:38.000]  我們仰望祈禱奉耶穌基督聖名求,阿們
[00:01:38.000 --> 00:01:43.000]  我們再看回剛才的詩篇116篇
[00:01:43.000 --> 00:01:49.000]  我們想到教徒成為教徒都曾經經歷過一個過程
[00:01:49.000 --> 00:01:52.000]  就是求告主耶穌的名
[00:01:52.000 --> 00:01:59.000]  聖經很清楚說得一件事,人得福音的途徑是求告主
[00:01:59.000 --> 00:02:05.000]  所以聖經說凡求告主名的就必得救
[00:02:05.000 --> 00:02:12.000]  而聖經又再進一步說,福音的道離你不是很遠
[00:02:12.000 --> 00:02:16.000]  只是在你的口中,在你的心裡
[00:02:16.000 --> 00:02:20.000]  當我們願意在心裡誠實地表達出來
[00:02:20.000 --> 00:02:23.000]  透過自己的口向神求告的時候
[00:02:23.000 --> 00:02:26.000]  就領受神給我們的救恩
[00:02:26.000 --> 00:02:29.000]  因此聖經裡說到一個人
[00:02:29.000 --> 00:02:34.000]  當他由開始的時候領受救恩是透過求告主
[00:02:34.000 --> 00:02:40.000]  而他一生人繼續領受恩典都是求告主
[00:02:40.000 --> 00:02:44.000]  如果教徒信著之後不知道繼續向神求告
[00:02:44.000 --> 00:02:47.000]  他會有很大的損失
[00:02:47.000 --> 00:02:52.000]  也失去了神很樂意賜給我們繼續的恩惠
[00:02:52.000 --> 00:02:56.000]  教徒和神建立關係之後,不懂得向神求告
[00:02:56.000 --> 00:03:00.000]  他會有很大的損失
[00:03:00.000 --> 00:03:03.000]  相反來說,越知道向神求告
[00:03:03.000 --> 00:03:05.000]  越經歷更多神的恩
[00:03:05.000 --> 00:03:10.000]  也在一種感恩的生活當中,去經歷和神的關係
[00:03:10.000 --> 00:03:15.000]  他就可以更加緊緊地在地上跟隨上帝
[00:03:15.000 --> 00:03:18.000]  活在恩典當中
[00:03:18.000 --> 00:03:21.000]  教徒在禱告裡,常常要去感謝神
[00:03:21.000 --> 00:03:24.000]  因為神賜禱告的權柄
[00:03:24.000 --> 00:03:27.000]  可以在禱告當中領受神的恩
[00:03:27.000 --> 00:03:31.000]  因此今天當我們再思想到這篇詩篇的時候
[00:03:31.000 --> 00:03:33.000]  也要這樣去感謝神
[00:03:33.000 --> 00:03:37.000]  讓我們可以求告主,也可以領受恩典
[00:03:37.000 --> 00:03:40.000]  當你讀到詩篇116篇的時候
[00:03:40.000 --> 00:03:44.000]  你會發覺一開始的時候,詩人已經向神表達出
[00:03:44.000 --> 00:03:50.000]  他決定立意一生來求告主,以求主
[00:03:50.000 --> 00:03:52.000]  所以一開始的時候你會讀到
[00:03:52.000 --> 00:03:59.000]  我愛耶和華,因為祂聽了我的聲音,我的懇求
[00:03:59.000 --> 00:04:02.000]  他心裡面表達出對神的愛
[00:04:02.000 --> 00:04:05.000]  很簡單,很重要的原因
[00:04:05.000 --> 00:04:08.000]  第一,因為他很清楚地知道
[00:04:08.000 --> 00:04:12.000]  也經歷過神聽了他的禱告
[00:04:12.000 --> 00:04:15.000]  神是聽人懇求的聲音
[00:04:15.000 --> 00:04:18.000]  神願意將他的恩惠賜給人
[00:04:18.000 --> 00:04:21.000]  因為他聽人的禱告
[00:04:21.000 --> 00:04:24.000]  因此詩人就馬上回應在第二節
[00:04:24.000 --> 00:04:27.000]  你翻到後面那一頁,就馬上這樣說
[00:04:27.000 --> 00:04:30.000]  因為他留心聽我的懇求
[00:04:30.000 --> 00:04:34.000]  我一生一世便要求告他
[00:04:34.000 --> 00:04:37.000]  因為上帝肯聽人的祈禱
[00:04:37.000 --> 00:04:41.000]  他留心聽,聖經的翻譯是「執耳聽」
[00:04:41.000 --> 00:04:44.000]  表達出他內心很留意
[00:04:44.000 --> 00:04:47.000]  上帝留意聽我們的祈求
[00:04:47.000 --> 00:04:49.000]  當詩人這樣經歷的時候
[00:04:49.000 --> 00:04:55.000]  他就決定立意一生來繼續求告主
[00:04:55.000 --> 00:04:57.000]  經歷過神聽禱告的人
[00:04:57.000 --> 00:04:59.000]  經歷過神的恩典的人
[00:04:59.000 --> 00:05:02.000]  他會領受更大的動機
[00:05:02.000 --> 00:05:05.000]  是去一生,不單是一次兩次
[00:05:05.000 --> 00:05:08.000]  而是常常地去求告
[00:05:08.000 --> 00:05:10.000]  去仰望上帝來生活
[00:05:10.000 --> 00:05:14.000]  弟兄姊妹,除非你沒有經歷過神的恩
[00:05:14.000 --> 00:05:17.000]  可能因此你不會祈禱
[00:05:17.000 --> 00:05:18.000]  但你向神祈禱的時候
[00:05:18.000 --> 00:05:20.000]  你一定經歷他的恩惠
[00:05:20.000 --> 00:05:23.000]  你不會不祈禱
[00:05:23.000 --> 00:05:27.000]  如果你真的覺得自己沒有禱告的動力
[00:05:27.000 --> 00:05:30.000]  你要問有什麼阻礙著
[00:05:30.000 --> 00:05:33.000]  但反而當你再想起神的恩的時候
[00:05:33.000 --> 00:05:35.000]  你都會內心有一種動力
[00:05:35.000 --> 00:05:39.000]  要繼續向神尋求禱告
[00:05:39.000 --> 00:05:40.000]  詩人每講述道
[00:05:40.000 --> 00:05:43.000]  他自己是經歷過很多艱難的人
[00:05:43.000 --> 00:05:45.000]  所以你看第三節就說
[00:05:45.000 --> 00:05:48.000]  死亡的繩索纏繞著我
[00:05:48.000 --> 00:05:51.000]  陰間的痛苦抓住我
[00:05:51.000 --> 00:05:54.000]  我遭遇患難和受苦
