
[00:00:00.000 --> 00:00:05.000]  我們講道之聖日齊剃頭祈禱
[00:00:05.000 --> 00:00:07.000]  慈悲天父我們感恩
[00:00:07.000 --> 00:00:11.000]  主真是祢自己的恩典是何等大
[00:00:11.000 --> 00:00:13.000]  特別是在艱難的日子裏面
[00:00:13.000 --> 00:00:17.000]  除了祢自己的恩典我們還能靠什麼呢?
[00:00:17.000 --> 00:00:19.000]  主求祢幫助我們
[00:00:19.000 --> 00:00:23.000]  今早藉著祢自己的話語提醒
[00:00:23.000 --> 00:00:25.000]  主真是在彎曲薄謬
[00:00:25.000 --> 00:00:28.000]  主祢自己審判的世代裏面
[00:00:28.000 --> 00:00:31.000]  我們如何依靠祢自己的恩典
[00:00:31.000 --> 00:00:33.000]  繼續服侍主祢自己
[00:00:33.000 --> 00:00:37.000]  祢自己的靈在我們當中運行教導
[00:00:37.000 --> 00:00:39.000]  祈禱奉耶穌基督德性的名求
[00:00:39.000 --> 00:00:40.000]  阿妹
[00:00:40.000 --> 00:00:42.000]  我不知道你有沒有試過
[00:00:42.000 --> 00:00:48.000]  你小時候兄弟姐妹或同學被人罰
[00:00:48.000 --> 00:00:50.000]  你的反應是怎樣呢?
[00:00:50.000 --> 00:00:53.000]  你會不會拍手說好東西,活該
[00:00:53.000 --> 00:00:56.000]  可能你未必會這樣做
[00:00:56.000 --> 00:01:00.000]  還是你會擔心下一個是否輪到你呢?
[00:01:00.000 --> 00:01:04.000]  你如何考慮下一個是否你呢?
[00:01:04.000 --> 00:01:06.000]  你檢視一下
[00:01:06.000 --> 00:01:08.000]  我有沒有做同一樣的事呢?
[00:01:08.000 --> 00:01:13.000]  當你發覺你是下一個的時候
[00:01:13.000 --> 00:01:15.000]  你會怎樣做呢?
[00:01:15.000 --> 00:01:17.000]  我有一個哥哥
[00:01:17.000 --> 00:01:19.000]  我很少被我爸爸罰
[00:01:19.000 --> 00:01:22.000]  因為當我哥哥被罰的時候
[00:01:22.000 --> 00:01:24.000]  他馬上回轉
[00:01:24.000 --> 00:01:30.000]  及時回轉就能夠救我脫離患難
[00:01:30.000 --> 00:01:34.000]  當審判的時候
[00:01:34.000 --> 00:01:40.000]  但如果你發覺原來你是沒事的
[00:01:40.000 --> 00:01:42.000]  你會怎樣呢?
[00:01:42.000 --> 00:01:44.000]  你會不會祈禱
[00:01:44.000 --> 00:01:49.000]  希望你身旁的那個不要被罰得這麼厲害呢?
[00:01:49.000 --> 00:01:55.000]  我講這個故事是去反思今天神審判這個世代的時候
[00:01:55.000 --> 00:01:59.000]  究竟我們應該怎樣去回應呢?
[00:01:59.000 --> 00:02:03.000]  可能你沒有事,可能你有事
[00:02:03.000 --> 00:02:07.000]  我們知道在疫情,經濟下行的時候
[00:02:07.000 --> 00:02:10.000]  很多行業都受到影響
[00:02:10.000 --> 00:02:15.000]  我們知道教會也受到很大的衝擊
[00:02:15.000 --> 00:02:16.000]  移民潮
[00:02:16.000 --> 00:02:20.000]  今天想和大家分享的是以利亞的故事
[00:02:20.000 --> 00:02:24.000]  相信很多大英姐妹都認識以利亞
[00:02:24.000 --> 00:02:28.000]  希望會是一系列的講道
[00:02:28.000 --> 00:02:36.000]  來將以利亞17-19章的三章聖經講完
[00:02:36.000 --> 00:02:41.000]  當我去研讀以利亞的時候
[00:02:41.000 --> 00:02:45.000]  我發覺以利亞不像我想像中那樣
[00:02:45.000 --> 00:02:48.000]  當我讀的時候,我發覺非常震撼
[00:02:48.000 --> 00:02:51.000]  所以就和大家分享
[00:02:51.000 --> 00:02:53.000]  今天第一講就是
[00:02:53.000 --> 00:02:58.000]  列王紀上17章會分三點和大家講
[00:02:58.000 --> 00:03:01.000]  就是服侍不順的世代
[00:03:01.000 --> 00:03:02.000]  為什麼呢?
[00:03:02.000 --> 00:03:06.000]  我們去問一個問題,以利亞是什麼時候出現的呢?
[00:03:06.000 --> 00:03:09.000]  就是神審判以色列的時候
[00:03:09.000 --> 00:03:12.000]  興起他的先知
[00:03:12.000 --> 00:03:14.000]  以利亞不是普通的先知
[00:03:14.000 --> 00:03:19.000]  以利亞是整個以色列最偉大的先知
[00:03:19.000 --> 00:03:20.000]  同意嗎?
[00:03:20.000 --> 00:03:23.000]  你不能不同意,因為猶太人覺得他最偉大
[00:03:23.000 --> 00:03:24.000]  他怎樣偉大呢?
[00:03:24.000 --> 00:03:26.000]  他裂火戰車
[00:03:26.000 --> 00:03:28.000]  神接他回去
[00:03:28.000 --> 00:03:32.000]  整個舊約沒有一個先知可以和以利亞相比
[00:03:32.000 --> 00:03:35.000]  在舊約有兩個人是最重要的
[00:03:35.000 --> 00:03:38.000]  摩西代表律法
[00:03:38.000 --> 00:03:40.000]  以利亞代表什麼?
[00:03:40.000 --> 00:03:41.000]  代表先知
[00:03:41.000 --> 00:03:47.000]  所以希望和大家用另一個角度去讀以利亞
[00:03:47.000 --> 00:03:48.000]  神是什麼時候出現的呢?
[00:03:48.000 --> 00:03:50.000]  神就是一個不順的世代
[00:03:50.000 --> 00:03:52.000]  是一個神審判的世代
[00:03:52.000 --> 00:03:55.000]  來將以利亞拆離給以色列人
[00:03:55.000 --> 00:03:59.000]  第二點就是審判中的保護和恩典
[00:03:59.000 --> 00:04:01.000]  原來神審判以色列人的時候
[00:04:01.000 --> 00:04:03.000]  神保護自己的僕人
[00:04:03.000 --> 00:04:05.000]  他怎樣保護呢?
[00:04:05.000 --> 00:04:07.000]  烏鴉供養他,記不記得?
[00:04:07.000 --> 00:04:12.000]  讓以利亞能夠經歷到神的恩典
[00:04:12.000 --> 00:04:15.000]  第三點就是新約加入
[00:04:15.000 --> 00:04:21.000]  不知道大家有沒有讀烏鴉供養以利亞的時候
[00:04:21.000 --> 00:04:23.000]  三年,可能沒有三年
[00:04:23.000 --> 00:04:25.000]  以利亞在做什麼呢?
[00:04:25.000 --> 00:04:28.000]  躺平,沒事做
[00:04:28.000 --> 00:04:31.000]  不是,雅各書告訴你什麼?
[00:04:31.000 --> 00:04:33.000]  隱藏的伏事
[00:04:33.000 --> 00:04:35.000]  神收埋以利亞是怎樣呢?
[00:04:35.000 --> 00:04:36.000]  禱告
[00:04:36.000 --> 00:04:39.000]  所以用三點來跟大家看
[00:04:39.000 --> 00:04:42.000]  上17章第一節
[00:04:42.000 --> 00:04:45.000]  經文開始提比斯人以利亞
[00:04:45.000 --> 00:04:48.000]  就是從基列的提比斯來的先知
[00:04:48.000 --> 00:04:50.000]  和阿哈說
[00:04:50.000 --> 00:04:54.000]  我指著我所侍奉永活的耶和華以色列的神起誓
[00:04:54.000 --> 00:04:57.000]  這幾年若是沒有我的命令
