
[00:00:00.000 --> 00:00:13.000]  今天會和大家一起思想的經文是出自於《馬太福音》第七章,第21至23節
[00:00:13.000 --> 00:00:24.000]  今天我給了一個題目,叫做教會不是由事工堆砌出來的,Church is not built up by ministries
[00:00:24.000 --> 00:00:34.000]  我相信在教會裡面,最多時候信徒經常問一條問題就是
[00:00:34.000 --> 00:00:42.000]  究竟我怎樣去選擇參加一間教會他們的侍奉
[00:00:42.000 --> 00:00:46.000]  或者怎樣偉身在一間教會裡面
[00:00:46.000 --> 00:00:54.000]  憑什麼的條件,或者什麼的因素而去參加一間教會呢?
[00:00:54.000 --> 00:01:04.000]  我想這個問題對於所有活在教會裡面的人,特別是一些已經反了很多年教會的信徒
[00:01:04.000 --> 00:01:08.000]  可能這個問題仍然在他們問這個題目
[00:01:08.000 --> 00:01:16.000]  於是有些人就說,不如簡單點,我們看看他的招牌
[00:01:16.000 --> 00:01:28.000]  按照招牌去做事,所以如果我是最初參加教會第一次接觸的,甚至後來受洗的教會
[00:01:28.000 --> 00:01:40.000]  是叫做浸信會的,如果我去到別的地方生活的時候,我可以找浸信會的教會撞進去嗎?
[00:01:40.000 --> 00:01:46.000]  那實情一定不會有錯,是不是真的這樣就一定沒有錯呢?
[00:01:46.000 --> 00:01:52.000]  有些人就說,招牌也未必一定是那麼值得相信的
[00:01:52.000 --> 00:01:58.000]  但是其實即使是浸信會,我不敢說太多,在加拿大來計算
[00:01:58.000 --> 00:02:06.000]  加拿大的浸信會基本上都有兩大類,即是兩大團體
[00:02:06.000 --> 00:02:10.000]  一個就是我們所屬的風陰浸信會聯會
[00:02:10.000 --> 00:02:16.000]  是屬於比較傳統上,傳統上是比較保守的
[00:02:16.000 --> 00:02:24.000]  是很著重於聖經的教導,很著重於聖經的權威
[00:02:24.000 --> 00:02:28.000]  另外一個就是我們所謂的安徽兩省
[00:02:28.000 --> 00:02:36.000]  現在他們改了名字,以前叫做BCOQ,現在叫做BQOC
[00:02:36.000 --> 00:02:40.000]  我不是太記得他的名字了
[00:02:40.000 --> 00:02:46.000]  於是浸信會也是很多類,既然神學也有些不同的
[00:02:46.000 --> 00:02:53.000]  後者我剛才所說的比較偏重於自由神學的一些Libro Theology
[00:02:53.000 --> 00:03:01.000]  於是我們浸信會也未必一定是這個招牌,是很肯定是一間合神深意的教會
[00:03:01.000 --> 00:03:07.000]  最好就是按照教會大勢來處理
[00:03:07.000 --> 00:03:14.000]  人多一定好,好像有些人說我工作要找一間大公司
[00:03:14.000 --> 00:03:19.000]  大公司就怎樣,那個人窮也很遮陰
[00:03:19.000 --> 00:03:24.000]  有什麼他都會保護我多一點
[00:03:24.000 --> 00:03:30.000]  所以大一點的教會,越大間的教會應該都不會錯
[00:03:30.000 --> 00:03:34.000]  因為這麼多人都錯嗎?機會小一點的
[00:03:34.000 --> 00:03:40.000]  有些人是用這個準則來決定那一間教會
[00:03:40.000 --> 00:03:44.000]  還有其他原因選擇那間教會
[00:03:44.000 --> 00:03:48.000]  可能是因為某種個人的原因
[00:03:48.000 --> 00:03:54.000]  我有些朋友在那間教會裡面,我就參加那間教會
[00:03:54.000 --> 00:03:59.000]  免得我去另一間教會,一個人都不認識,很陌生的
[00:03:59.000 --> 00:04:06.000]  於是乎這樣的情況下,我就要重新適應,找朋友
[00:04:06.000 --> 00:04:09.000]  又不知道別人怎麼看我
[00:04:09.000 --> 00:04:17.000]  所以有些人就說,我按照我有沒有朋友在那間教會,決定那一間教會
[00:04:17.000 --> 00:04:21.000]  另外還有其他種種的原因,詳細說
[00:04:21.000 --> 00:04:25.000]  比如教會有沒有名的講員在裡面
[00:04:25.000 --> 00:04:30.000]  那些牧師我認不認識,那些士工多不多
[00:04:30.000 --> 00:04:34.000]  他又不能夠滿足到我的屬靈需要
[00:04:34.000 --> 00:04:38.000]  還有沒有很多機會給我去發揮我侍奉的專長
[00:04:38.000 --> 00:04:41.000]  種種很多這些原因
[00:04:41.000 --> 00:04:45.000]  但最可怕的一種原因是什麼呢?
[00:04:45.000 --> 00:04:50.000]  信條就說,我要在另一間教會滿足到我的屬靈需要
[00:04:50.000 --> 00:04:55.000]  滿足到我自己的各方面,在屬靈的路程上
[00:04:55.000 --> 00:05:01.000]  種種我要要求有的事情、條件
[00:05:01.000 --> 00:05:06.000]  於是乎,比如那間教會,很多人很喜歡做運動的
[00:05:06.000 --> 00:05:09.000]  有個大運動場,那這間教會我要選擇
[00:05:09.000 --> 00:05:14.000]  因為選擇這間教會,有很多球友可以和我一起去打羽毛球
[00:05:14.000 --> 00:05:21.000]  打足球、打baseball、softball等等這些活動
[00:05:21.000 --> 00:05:26.000]  甚至我曾經遇見過有些教會裡面有很多興趣班
[00:05:26.000 --> 00:05:33.000]  有攝影班、有中樂班、有西樂班
[00:05:33.000 --> 00:05:40.000]  還有一些音樂的侍奉,比如有整個樂隊、Orchard
[00:05:40.000 --> 00:05:44.000]  去到那裡就最好了
[00:05:44.000 --> 00:05:51.000]  很多這些因素,很多人去決定去選哪一間教會
[00:05:51.000 --> 00:05:54.000]  今天我們會一起看這段聖經
[00:05:54.000 --> 00:05:57.000]  《馬太福音》第七章第21至23節
[00:05:57.000 --> 00:06:01.000]  我們會深入探討這個問題
[00:06:01.000 --> 00:06:08.000]  希望今天透過這段聖經讓我們從耶穌基督的此記講話裡面
[00:06:08.000 --> 00:06:12.000]  讓我們找回我們為什麼要參加這間教會
[00:06:12.000 --> 00:06:16.000]  以及因什麼原因我會去參加教會
[00:06:16.000 --> 00:06:21.000]  而我參與這間教會也應該以一種什麼心態而參與
[00:06:21.000 --> 00:06:26.000]  所以今天這段經文我想和大家一起思想一下
[00:06:26.000 --> 00:06:31.000]  為了方便大家我們先熟習一下這段經文
[00:06:31.000 --> 00:06:37.000]  請大家一起打開《馬太福音》第七章第21至23節
[00:06:37.000 --> 00:06:43.000]  一段很熟悉的經文,可以說是非常熟悉的經文
[00:06:43.000 --> 00:06:46.000]  經常基督徒引用的經文
[00:06:46.000 --> 00:06:49.000]  不過從這段經文裡面
[00:06:49.000 --> 00:06:53.000]  究竟一般我們所聽的講章
