
[00:00:00.000 --> 00:00:05.200]  有一天見到他的屋主或者是住戶的太太
[00:00:05.200 --> 00:00:07.080]  我太太就跟他聊天
[00:00:07.080 --> 00:00:10.400]  發覺為什麼你們搬走?是啊
[00:00:10.400 --> 00:00:13.600]  過往很少見你們
[00:00:13.600 --> 00:00:20.440]  是啊 原來發覺他的女兒還是兒子
[00:00:20.440 --> 00:00:24.360]  就知道考不到沙田的學校了
[00:00:24.360 --> 00:00:26.760]  就要搬回自己的家
[00:00:26.760 --> 00:00:30.560]  原來我才明白他有家在另外一個區
[00:00:30.560 --> 00:00:32.760]  不過為了沙田的名校
[00:00:32.760 --> 00:00:37.040]  處心積慮兩年的時間就弄了一間房子
[00:00:37.040 --> 00:00:39.640]  不知道是買還是租也好
[00:00:39.640 --> 00:00:43.840]  結果進不了 就算了
[00:00:43.840 --> 00:00:47.360]  原來香港的父母、外子女這麼重要
[00:00:47.360 --> 00:00:52.840]  有沒有人是這樣的?
[00:00:52.840 --> 00:00:56.240]  但是我想起來
[00:00:56.240 --> 00:00:58.240]  我在外國的時候生活
[00:00:58.240 --> 00:00:59.920]  我也認識一些弟兄姊妹
[00:00:59.920 --> 00:01:02.920]  是弟兄姊妹 也不是一般的不信主人
[00:01:02.920 --> 00:01:05.040]  他們怎樣呢?
[00:01:05.040 --> 00:01:07.480]  他們很疼愛子女
[00:01:07.480 --> 00:01:09.880]  很多都可能是移民過來的
[00:01:09.880 --> 00:01:12.480]  很為子女的前途著想
[00:01:12.480 --> 00:01:14.800]  他們不只是為錢的問題
[00:01:14.800 --> 00:01:17.960]  而是為他們在屬靈上的成長
[00:01:17.960 --> 00:01:20.560]  所以他們就找在那區附近
[00:01:20.560 --> 00:01:24.320]  哪間教會的兒童事工是最好的
[00:01:24.320 --> 00:01:26.880]  又有哥哥姐姐帶他們
[00:01:26.880 --> 00:01:28.800]  暑期有暑期聖經班
[00:01:28.800 --> 00:01:31.520]  假期有夏令營、冬令營
[00:01:31.520 --> 00:01:34.120]  務求子女在成長過程裡面
[00:01:34.120 --> 00:01:36.040]  不要被美國的文化侵襲
[00:01:36.040 --> 00:01:37.840]  做一些好基督徒
[00:01:37.840 --> 00:01:39.840]  第一 這樣的服務真好
[00:01:39.840 --> 00:01:42.240]  不過有些問題
[00:01:42.240 --> 00:01:46.000]  那對夫婦、弟兄姊妹
[00:01:46.000 --> 00:01:48.400]  她們無法適應那間教會
[00:01:48.400 --> 00:01:50.200]  那間教會不適合他們
