
[00:00:00.000 --> 00:00:07.000]  上一次我和大家開始介紹事司記
[00:00:07.000 --> 00:00:11.000]  今天要講事司記的第一章和第二章
[00:00:11.000 --> 00:00:14.000]  介紹的時候我都和大家說過
[00:00:14.000 --> 00:00:18.000]  事司記不單止是講到事司期所發生的事
[00:00:18.000 --> 00:00:21.000]  也有前期和後期
[00:00:21.000 --> 00:00:26.000]  今天所講的一至二章就是前期所發生的事
[00:00:26.000 --> 00:00:31.000]  後期就是事司記的十七至二十一章
[00:00:31.000 --> 00:00:33.000]  一共有五章經文
[00:00:33.000 --> 00:00:37.000]  我今天要講的是以色列的黑暗期
[00:00:37.000 --> 00:00:40.000]  在失敗中的希望
[00:00:40.000 --> 00:00:44.000]  究竟我們在以色列人這麼黑暗的時代
[00:00:44.000 --> 00:00:46.000]  能夠學到什麼
[00:00:46.000 --> 00:00:49.000]  又有什麼希望能夠給我們呢
[00:00:49.000 --> 00:00:53.000]  我們等下結束的時候會回來看這一點
[00:00:53.000 --> 00:01:00.000]  在介紹事司記的時候我也說過
[00:01:00.000 --> 00:01:04.000]  其實猶太人手上的聖經有一個好處
[00:01:04.000 --> 00:01:10.000]  就是他們的編排能夠將律法書和前線之書
[00:01:10.000 --> 00:01:13.000]  有一個非常鮮明的對比
[00:01:13.000 --> 00:01:17.000]  就是讓我們看到在律法書裏面
[00:01:17.000 --> 00:01:19.000]  充滿了神的應許
[00:01:19.000 --> 00:01:21.000]  充滿了神的恩典
[00:01:21.000 --> 00:01:23.000]  給他們有地的應許
[00:01:23.000 --> 00:01:25.000]  後裔的應許
[00:01:25.000 --> 00:01:27.000]  這一切都不是他們所配接受
[00:01:27.000 --> 00:01:29.000]  這一切都是神的恩典
[00:01:29.000 --> 00:01:32.000]  但是在前線之書開始
[00:01:32.000 --> 00:01:37.000]  尤其是在事司記我們看到猶太人就開始失敗
[00:01:37.000 --> 00:01:41.000]  他們被敵人征服成為奴僕
[00:01:41.000 --> 00:01:44.000]  究竟出現了什麼問題
[00:01:44.000 --> 00:01:47.000]  在事司記的二章七節
[00:01:47.000 --> 00:01:51.000]  和約書亞記的二十四章三十一節
[00:01:51.000 --> 00:01:53.000]  都有很相似的經文
[00:01:53.000 --> 00:01:57.000]  說約書亞在世和約書亞死後
[00:01:57.000 --> 00:02:02.000]  那些知道耶和華為以色列人所行諸事的長老
[00:02:02.000 --> 00:02:04.000]  還在的時候
[00:02:04.000 --> 00:02:07.000]  以色列人侍奉耶和華
[00:02:07.000 --> 00:02:08.000]  但是很可惜
[00:02:08.000 --> 00:02:11.000]  很快就有新的一代興起
[00:02:11.000 --> 00:02:13.000]  他們不認識約書亞
[00:02:13.000 --> 00:02:16.000]  也不認識約書亞的神
[00:02:16.000 --> 00:02:19.000]  所以他們沒有辦法享受從神而來
[00:02:19.000 --> 00:02:22.000]  在律法書裡給他們的恩典
