
[00:00:00.000 --> 00:00:10.000]  各位大兄姐妹平安!新年快樂!新年蒙恩!
[00:00:10.000 --> 00:00:21.000]  我們希望在未來這一年,我們得到上帝更大的恩典,願意更加握緊上帝,握緊主耶穌的手。
[00:00:21.000 --> 00:00:31.000]  今年的第一篇講道,可以說是第一個系列的講道,我給它一個名字就是「跟耶穌去旅行」。
[00:00:31.000 --> 00:00:41.000]  「跟耶穌去旅行」,一講旅行,大家都很開心,可能在想上一次去旅行,很開心,或者很不開心。
[00:00:41.000 --> 00:00:55.000]  為什麼說跟耶穌去旅行呢?原來當你看路加福音由9章51節到19章44節這一段十章的聖經,
[00:00:55.000 --> 00:01:03.000]  原來就是記載到耶穌由加利利離開,而結尾去到耶路撒冷。
[00:01:03.000 --> 00:01:16.000]  所以很多書或者很多目者的講道都會說這個叫做旅程敘事,或者旅行記事,就講到這十章的聖經。
[00:01:16.000 --> 00:01:25.000]  而很特別的就是路加記載這十章的時候,很多的內容都是獨家報導的。
[00:01:25.000 --> 00:01:31.000]  獨家報導就是幾卷的福音沒有提及,而只是路加去記述這一點。
[00:01:31.000 --> 00:01:40.000]  而路加用了很詳盡的筆墨去記錄的時候,其實他記錄了很多耶穌跟人的對話。
[00:01:40.000 --> 00:01:50.000]  就是說你會覺得好像很即興,好像耶穌見到什麼,可能見到飛鳥,見到有人在耕田,那耶穌就會去講。
[00:01:50.000 --> 00:01:58.000]  或者說當一路的旅程的時候,耶穌是經常被人打斷的,可能很多人中間就去找耶穌問他一些事情,
[00:01:58.000 --> 00:02:05.000]  那耶穌又會用一些故事,用比喻去回應那些人。
[00:02:05.000 --> 00:02:14.000]  如果這一刻耶穌說邀請大家真的去旅行,大家去不去?
[00:02:14.000 --> 00:02:20.000]  大家去不去?去!去!
[00:02:20.000 --> 00:02:30.000]  但是有些人不表態,去哪裡?去多久?去了之後這裡的侍奉怎麼樣?
[00:02:30.000 --> 00:02:36.000]  我們真的要想一想,但如果大家絕大部分人從香港來,我不知道其他地方是不是這樣,
[00:02:36.000 --> 00:02:43.000]  當你報了團去旅行,旅行社會邀請你出席一個活動,
[00:02:43.000 --> 00:02:53.000]  那活動叫什麼名字?茶會,大家有沒有去過茶會?有吧?你在這邊長大可能沒有了。
[00:02:53.000 --> 00:03:00.000]  聽完耶穌這個茶會,你才決定報不報這個團。
[00:03:00.000 --> 00:03:06.000]  旅行之前有茶會,我記得我小時候沒有機會去旅行,很窮,
[00:03:06.000 --> 00:03:12.000]  去到大學才有機會第一次坐飛機去旅行,但是在小學的時候,
[00:03:12.000 --> 00:03:17.000]  有一次我要代表我姑姑去茶會,在尖沙咀,
